
[00:00:00.000 --> 00:00:01.380]  好,大線節目早晨
[00:00:01.380 --> 00:00:07.440]  好,我們暫時在今天去做少少的detour
[00:00:07.440 --> 00:00:09.420]  我們不講providence
[00:00:09.420 --> 00:00:11.520]  我們講一講耳巴的衝突
[00:00:11.520 --> 00:00:15.420]  大家在新聞上面和在傳媒上面
[00:00:15.420 --> 00:00:17.520]  應該接觸了很多這樣的資訊
[00:00:17.520 --> 00:00:20.160]  我相信我們作為基督徒
[00:00:20.160 --> 00:00:22.140]  我們都需要去了解一下
[00:00:22.140 --> 00:00:25.400]  到底這個地方發生了什麼事
[00:00:25.400 --> 00:00:30.560]  在我自己這麼多年對耳巴的接觸
[00:00:30.560 --> 00:00:32.400]  不單止有時候會帶團
[00:00:32.400 --> 00:00:36.300]  甚至裡面去做一些工作等等
[00:00:36.300 --> 00:00:38.800]  我想在這裡和大家分享一下
[00:00:38.800 --> 00:00:41.000]  因為我認為有很多時候
[00:00:41.000 --> 00:00:43.280]  每逢耳巴有衝突的時候
[00:00:43.280 --> 00:00:46.000]  在傳媒或者在基督教的圈子裡面
[00:00:46.000 --> 00:00:49.320]  就會有一些不同的講論
[00:00:49.320 --> 00:00:51.520]  我認為有兩套講論
[00:00:51.520 --> 00:00:54.620]  第一套講論是一些比較helpful
[00:00:54.620 --> 00:00:58.360]  比較有幫助的進路
[00:00:58.360 --> 00:01:02.600]  另一套講論很多時候在傳統教會的圈子裡面
[00:01:02.600 --> 00:01:04.520]  我認為是很harmful
[00:01:04.520 --> 00:01:06.860]  沒有什麼建設性
[00:01:06.860 --> 00:01:14.600]  甚至是有傷害的一種進路來討論耳巴的問題
[00:01:14.600 --> 00:01:16.120]  為什麼需要講這件事情
[00:01:16.120 --> 00:01:17.360]  除了在傳媒裡面
[00:01:17.360 --> 00:01:21.760]  我們已經不能夠避免地
[00:01:21.760 --> 00:01:24.660]  我們要接觸很多這樣的新聞、資訊
[00:01:24.660 --> 00:01:28.200]  甚至在教會的圈子裡面
[00:01:28.200 --> 00:01:32.200]  我們接觸到不同的講論
[00:01:32.200 --> 00:01:33.500]  我相信我們作為督徒
[00:01:33.500 --> 00:01:36.760]  在世界上也需要了解一下
[00:01:36.760 --> 00:01:40.600]  用我們的理性去思想一下
[00:01:40.600 --> 00:01:43.520]  到底這件事情是一回什麼事
[00:01:43.520 --> 00:01:48.000]  或者有什麼叫做我所說的helpful的comments
[00:01:48.000 --> 00:01:50.800]  或者一些harmful的comments
[00:01:50.800 --> 00:01:52.360]  每逢講到耳巴的時候
[00:01:52.360 --> 00:01:55.400]  一定會觸碰到很多不同的意見
[00:01:55.400 --> 00:01:57.360]  我相信我今天講的這篇文章
[00:01:57.360 --> 00:01:59.820]  在網上也有不同的迴響
[00:01:59.820 --> 00:02:02.200]  這些已經預料到了
[00:02:02.200 --> 00:02:05.600]  耳巴裡面有很多不同的爭執
[00:02:05.600 --> 00:02:11.700]  甚至是矛盾的講法
[00:02:11.700 --> 00:02:14.800]  但是也需要我們去做一些反思
[00:02:14.800 --> 00:02:15.460]  正如我所說的
[00:02:15.460 --> 00:02:18.200]  有一些講論是幫助比較大的
[00:02:18.200 --> 00:02:22.600]  有些講論我認為幫助是比較少一些的
[00:02:22.600 --> 00:02:25.100]  甚至是有害的
[00:02:25.100 --> 00:02:27.300]  每逢耳巴爆發的時候
[00:02:27.300 --> 00:02:29.960]  很多人就會很快用聖經
[00:02:29.960 --> 00:02:33.100]  或者用一些末世的語言
[00:02:33.100 --> 00:02:40.160]  來解釋當前的一些局勢
[00:02:40.160 --> 00:02:43.660]  有很多時候這些坊間裡面所流行的講法
[00:02:43.660 --> 00:02:49.060]  我們需要問一個問題到底是不是嚴謹的
[00:02:49.060 --> 00:02:54.900]  是不是有一些地方不是很仔細去想清楚
[00:02:54.900 --> 00:02:58.200]  我覺得作為基督徒我們手握著聖經
[00:02:58.200 --> 00:03:00.600]  我們是不是認識聖經
[00:03:00.600 --> 00:03:02.420]  是不是真的明白聖經
[00:03:02.420 --> 00:03:06.700]  然後是不是將我們一些一知半解的看法
[00:03:06.700 --> 00:03:12.320]  然後我們套上去一個這麼複雜的情勢
[00:03:12.320 --> 00:03:15.400]  所以我們會處理一些經文
[00:03:15.400 --> 00:03:19.220]  然後在這些經文裡面我們去想一想
[00:03:19.220 --> 00:03:23.800]  到底會不會是和現在地上發生的事情有關
[00:03:23.800 --> 00:03:25.520]  還是沒有關
[00:03:25.520 --> 00:03:28.900]  這個就是以色列加沙的地圖
[00:03:28.900 --> 00:03:31.720]  在左下角就是加沙街
[00:03:31.720 --> 00:03:34.120]  或者加沙走廊
[00:03:34.120 --> 00:03:37.320]  加沙沿路
[00:03:37.320 --> 00:03:41.120]  左下角那個長長的在海邊的那個地方
[00:03:41.120 --> 00:03:47.100]  就是今天我們在新聞裡面看到以色列和所謂巴斯坦地
[00:03:47.100 --> 00:03:51.700]  或者以色列和加沙之間有一些衝突
[00:03:51.700 --> 00:03:59.000]  這個地方加沙街是大概三百六十多個平方公里而已
[00:03:59.000 --> 00:04:00.900]  有多大
[00:04:00.900 --> 00:04:03.320]  它是香港的三分之一
[00:04:03.320 --> 00:04:05.320]  大家有些是香港來的
[00:04:05.320 --> 00:04:06.260]  香港三分之一
[00:04:06.260 --> 00:04:12.620]  裡面有二百三十萬的巴斯坦人是住在那裡的
[00:04:12.620 --> 00:04:16.220]  另外右上角那個地方好像蝴蝶的一半
[00:04:16.220 --> 00:04:18.120]  那個地方就叫西岸
[00:04:18.120 --> 00:04:19.000]  叫做West Bank
[00:04:19.000 --> 00:04:20.320]  為什麼叫西岸
[00:04:20.320 --> 00:04:22.560]  因為是約旦河的西岸
[00:04:22.560 --> 00:04:24.960]  約旦河 Jordan River的West Bank
[00:04:24.960 --> 00:04:26.460]  那裡是中央山地
