
[00:00:00.000 --> 00:00:04.200]  我們經常看到一些有人字的成語
[00:00:04.200 --> 00:00:05.340]  譬如
[00:00:05.340 --> 00:00:07.580]  「人海茫茫」
[00:00:07.580 --> 00:00:10.300]  「大快人心」
[00:00:10.300 --> 00:00:11.940]  「出人頭地」
[00:00:11.940 --> 00:00:14.280]  「人才仔仔」
[00:00:14.280 --> 00:00:15.500]  其實
[00:00:15.500 --> 00:00:17.220]  有人字的成語
[00:00:17.220 --> 00:00:20.060]  中國的成語有接近一千個
[00:00:20.060 --> 00:00:21.860]  但是這麼多人
[00:00:21.860 --> 00:00:24.940]  究竟「人」是什麼呢?
[00:00:24.940 --> 00:00:26.940]  自古以來有不同的人
[00:00:26.940 --> 00:00:28.180]  有不同的見解
[00:00:28.180 --> 00:00:30.260]  在古希臘
[00:00:30.260 --> 00:00:31.460]  一個哲學家
[00:00:31.460 --> 00:00:32.600]  蘇格拉底
[00:00:32.600 --> 00:00:33.760]  他說「人」是什麼呢?
[00:00:33.760 --> 00:00:37.280]  人是一個能夠對理性問題
[00:00:37.280 --> 00:00:40.920]  提出理性答案的存在物
[00:00:40.920 --> 00:00:42.300]  你知不知道是什麼來的?
[00:00:42.300 --> 00:00:43.980]  都不知道是什麼
[00:00:43.980 --> 00:00:45.920]  我們回看中國吧
[00:00:45.920 --> 00:00:47.980]  中國的孟子說
[00:00:47.980 --> 00:00:50.380]  人和動物的分別是什麼?
[00:00:50.380 --> 00:00:51.600]  人有四樣東西
[00:00:51.600 --> 00:00:53.700]  第一,「測人之心」
[00:00:53.700 --> 00:00:55.460]  第二,「修護之心」
[00:00:55.460 --> 00:00:58.020]  就是人做錯事會覺得羞恥
[00:00:58.020 --> 00:00:59.100]  「持讓之心」
[00:00:59.100 --> 00:01:00.900]  人是懂得禮讓的
[00:01:00.900 --> 00:01:03.700]  第四就是「是非之心」
[00:01:03.700 --> 00:01:05.660]  有一個小說家馬克吐溫
[00:01:05.660 --> 00:01:06.660]  他說「人」是什麼呢?
[00:01:06.660 --> 00:01:08.720]  人是神在週末的時候
[00:01:08.720 --> 00:01:13.340]  已經工作到很疲倦的時候創作的
[00:01:13.340 --> 00:01:14.620]  也有人說
[00:01:14.620 --> 00:01:17.140]  不是,人是萬物之靈
[00:01:17.140 --> 00:01:21.820]  所以全世界所有事物的中心就是人
[00:01:21.820 --> 00:01:26.140]  我記得很久之前有一個導演
[00:01:26.140 --> 00:01:30.720]  他拿到奧斯卡金像獎的最佳電影
[00:01:30.720 --> 00:01:32.420]  當他上台領獎的時候
[00:01:32.420 --> 00:01:35.380]  他在台上拿著他的獎狀大喊
[00:01:35.380 --> 00:01:39.540]  「I am the king of the world」
[00:01:39.540 --> 00:01:40.860]  是不是呢?
[00:01:40.860 --> 00:01:45.540]  不如我們看看創世紀的二章七節神怎麼說
[00:01:45.540 --> 00:01:46.140]  我們一起讀
[00:01:46.140 --> 00:01:47.580]  一二三
[00:01:47.580 --> 00:01:51.540]  耶和華神用地上的塵土做人
[00:01:51.540 --> 00:01:54.580]  將生氣吹在鼻孔裡
[00:01:54.580 --> 00:01:59.820]  他就成了「有靈的活人,名叫亞當」
[00:01:59.820 --> 00:02:02.820]  為什麼人們說人是萬物之靈呢?
[00:02:02.820 --> 00:02:04.540]  就是因為這句話
[00:02:04.540 --> 00:02:08.420]  「有靈的活人,名叫亞當」
[00:02:08.420 --> 00:02:14.020]  但是當我們看回希伯來文的原文
[00:02:14.020 --> 00:02:15.180]  沒有這個字
[00:02:15.180 --> 00:02:18.860]  沒有「有靈的活人,名叫亞當」
[00:02:18.860 --> 00:02:21.540]  以下創世紀的二章七節
[00:02:21.540 --> 00:02:24.660]  希伯來文是逐個字翻譯排列出來的
[00:02:24.660 --> 00:02:26.340]  我們看回他原本的意思是怎樣
[00:02:26.340 --> 00:02:27.100]  我們一起讀
[00:02:27.100 --> 00:02:28.300]  一二三
[00:02:28.300 --> 00:02:32.660]  耶和華神用地上的塵土創造人
[00:02:32.660 --> 00:02:37.020]  將生命的氣吹入他的鼻孔裡
[00:02:37.020 --> 00:02:40.180]  就成為人,生物
[00:02:40.180 --> 00:02:41.740]  不是「有靈的活人」
[00:02:41.740 --> 00:02:43.500]  是「人,生物」
[00:02:43.500 --> 00:02:45.940]  這個「生物」叫做「人」
[00:02:45.940 --> 00:02:48.020]  這個「人」是「生物」
[00:02:48.020 --> 00:02:49.060]  這個字
[00:02:49.060 --> 00:02:52.900]  其實不是只有二章七節出現
[00:02:52.900 --> 00:02:55.940]  我們看回之前創世紀一章二十和二十四節
[00:02:55.940 --> 00:02:57.140]  都有同樣的字出現
[00:02:57.140 --> 00:02:58.780]  我們一起讀讀這段聖經
[00:02:58.780 --> 00:03:00.020]  一二三
[00:03:00.020 --> 00:03:05.220]  神說:水要多多之生,有生命的物
[00:03:05.220 --> 00:03:09.140]  要有雀鳥飛在地面以上
[00:03:09.140 --> 00:03:10.860]  天空之中
[00:03:10.860 --> 00:03:16.020]  神說:地要生出各樣活物
[00:03:16.020 --> 00:03:20.540]  生口、昆蟲和地上各種走獸
[00:03:20.540 --> 00:03:22.900]  就這樣成鳥
[00:03:22.900 --> 00:03:25.860]  紅色的字有生命的物
[00:03:25.860 --> 00:03:26.460]  活物
[00:03:26.460 --> 00:03:29.660]  就是跟剛才的「生物」是同一個字
[00:03:29.660 --> 00:03:30.340]  換句話說
[00:03:30.340 --> 00:03:32.420]  不是我們很特別
[00:03:32.420 --> 00:03:34.380]  厲害,比其他動物更厲害
[00:03:34.380 --> 00:03:38.460]  其實我們跟海上的魚
[00:03:38.460 --> 00:03:40.660]  地上的走獸是一樣的
[00:03:40.660 --> 00:03:41.660]  同等的
[00:03:41.660 --> 00:03:44.540]  我們再看回創世紀二章七節
[00:03:44.540 --> 00:03:46.980]  我們再讀一次,好嗎?一二三
[00:03:46.980 --> 00:03:50.940]  耶和華神用地上的塵土做人
[00:03:50.940 --> 00:03:54.060]  將生氣吹在鼻孔裡
[00:03:54.060 --> 00:03:57.460]  他就成了有靈的活人
[00:03:57.460 --> 00:03:59.260]  名叫亞多
[00:03:59.260 --> 00:04:01.340]  這個地上
[00:04:01.340 --> 00:04:02.940]  希伯來文是「亞答媽」
[00:04:02.940 --> 00:04:04.500]  其實人是「亞答」
[00:04:04.500 --> 00:04:08.420]  其實你只看那個音的翻譯
[00:04:08.420 --> 00:04:09.860]  你會覺得很相似
[00:04:09.860 --> 00:04:11.500]  希伯來文這兩個字
[00:04:11.500 --> 00:04:13.460]  超級相似
[00:04:13.460 --> 00:04:16.940]  創世紀的作者將兩個這麼相似的字
[00:04:16.940 --> 00:04:18.100]  放在同一句
[00:04:18.100 --> 00:04:19.300]  有一個特別的意思
[00:04:19.300 --> 00:04:20.460]  他在說什麼?
[00:04:20.460 --> 00:04:24.740]  他說人的本質就是地上的塵土
[00:04:24.740 --> 00:04:27.860]  原來人的本質是地上的塵土
[00:04:27.860 --> 00:04:30.300]  所以大家參加安息禮拜
[00:04:30.300 --> 00:04:31.420]  就有一些牧師說
[00:04:31.420 --> 00:04:34.380]  塵歸於塵土歸於土
[00:04:34.380 --> 00:04:37.980]  為什麼?因為人本質就是塵土
[00:04:37.980 --> 00:04:40.460]  既然是塵土的話
[00:04:40.460 --> 00:04:42.500]  就很有趣了
[00:04:42.500 --> 00:04:45.060]  有些科學家分析人體
[00:04:45.060 --> 00:04:47.380]  人體的成分有以下的發現
[00:04:47.380 --> 00:04:51.500]  大家知不知道我們人體有什麼成分?
[00:04:51.500 --> 00:04:54.380]  因為人有十加侖水
[00:04:54.380 --> 00:04:58.100]  我們身體的脂肪可以製造七塊肥皂
[00:04:58.100 --> 00:05:02.300]  我們裡面的碳可以製造二十磅焦碳
[00:05:02.300 --> 00:05:06.540]  我們裡面的磷質可以製造二百二十支火柴
[00:05:06.540 --> 00:05:10.260]  我們裡面的鐵質可以製造一吋長的鐵釘
[00:05:10.260 --> 00:05:14.660]  如果把人的身體的成分抽出來製造日用品
[00:05:14.660 --> 00:05:16.020]  價值是多少呢?
[00:05:16.020 --> 00:05:18.820]  是不超過一百元港幣
[00:05:18.820 --> 00:05:21.380]  所以大家說:嘩!這樣就很奇怪了
[00:05:21.380 --> 00:05:24.980]  我們人的本質不單止是塵土
[00:05:24.980 --> 00:05:28.420]  並且價值不超過一百元
[00:05:28.420 --> 00:05:30.740]  如果這樣我們怎樣看自己呢?
[00:05:30.740 --> 00:05:33.220]  我們怎樣看自己的價值呢?
[00:05:33.220 --> 00:05:36.300]  這個世界往往將人與人之間比較
[00:05:36.300 --> 00:05:37.660]  你不想也是的
[00:05:37.660 --> 00:05:38.900]  這個世界就是這樣
[00:05:38.900 --> 00:05:40.820]  人與人之間比較的
[00:05:40.820 --> 00:05:43.540]  那些讀書成績好的那些
[00:05:43.540 --> 00:05:46.820]  嘩!聰明!嘩!參加比賽拿這麼多獎
[00:05:46.820 --> 00:05:48.700]  嘩!聰明!聰明!
[00:05:48.700 --> 00:05:50.340]  或者有些人有錢
[00:05:50.340 --> 00:05:51.540]  嘩!這個人真的有錢
[00:05:51.540 --> 00:05:52.460]  真的成功了
[00:05:52.460 --> 00:05:54.620]  不是說他有錢,是說他成功
[00:05:54.620 --> 00:05:56.740]  又或者有些人有型一點
[00:05:56.740 --> 00:05:58.540]  瘦一點、壯一點
[00:05:58.540 --> 00:06:00.500]  那些人就多人喜歡
[00:06:00.500 --> 00:06:03.020]  那麼變成我們的價值
[00:06:03.020 --> 00:06:05.900]  就是建立在這些東西的上面
[00:06:05.900 --> 00:06:09.100]  記住是一些東西來的,不是等於你
[00:06:09.100 --> 00:06:10.500]  如果又倒過來
[00:06:10.500 --> 00:06:11.580]  如果倒過來
[00:06:11.580 --> 00:06:14.100]  有些人讀書成績又沒有那麼好
[00:06:14.100 --> 00:06:16.420]  不是不好,沒有那麼好
[00:06:16.420 --> 00:06:20.260]  又或者他參加比賽又未必拿到獎
[00:06:20.260 --> 00:06:22.900]  又或者有些人沒有那麼多人喜歡
[00:06:22.900 --> 00:06:25.420]  又或者可能有些人生得普通一點
