
[00:00:00.000 --> 00:00:07.480]  今天我們會繼續針研的二十五章十一到十五節
[00:00:07.480 --> 00:00:10.000]  起初定這個講題的時候
[00:00:10.000 --> 00:00:11.720]  我都有點猶豫
[00:00:11.720 --> 00:00:15.680]  因為現代人講說話的藝術
[00:00:15.680 --> 00:00:18.080]  我怕我口音都不太好
[00:00:18.080 --> 00:00:22.400]  就會很多時候講到說話的藝術
[00:00:22.400 --> 00:00:26.040]  來諷刺的那些很會說話
[00:00:26.040 --> 00:00:27.840]  說話很有技巧
[00:00:27.840 --> 00:00:30.800]  講話懂得避重就輕
[00:00:30.800 --> 00:00:35.840]  或者公關能力超強的技倆的人
[00:00:35.840 --> 00:00:40.360]  聖經裏面怎樣去描述說話呢?
[00:00:40.360 --> 00:00:43.640]  聖經裏面說一句說話說得狹義
[00:00:43.640 --> 00:00:49.360]  絕對不是去強調說話者本身的說話技巧
[00:00:49.360 --> 00:00:53.320]  而是講到說話者本身的品格
[00:00:53.320 --> 00:00:56.400]  要具有忠誠可靠
[00:00:56.400 --> 00:01:02.000]  要有誠信和忍耐溫柔的品德修養
[00:01:02.000 --> 00:01:05.720]  在待會我們看到的十一到十五節裏面
[00:01:05.720 --> 00:01:07.720]  我們可以看到
[00:01:07.720 --> 00:01:09.960]  不如我們一起讀十一、十二節
[00:01:09.960 --> 00:01:14.000]  在針研的二十五章十一到十二節
[00:01:14.000 --> 00:01:16.480]  預備一、二、三
[00:01:16.480 --> 00:01:18.920]  一句說得狹義
[00:01:18.920 --> 00:01:22.240]  就如金蘋果在銀網子裏
[00:01:22.240 --> 00:01:26.280]  智慧人的勸誡在順從的人耳中
[00:01:26.280 --> 00:01:32.080]  好像金耳環和精金的裝飾
[00:01:32.080 --> 00:01:34.720]  這句說話說到一句說話說得狹義
[00:01:34.720 --> 00:01:37.840]  其實是智者的表現
[00:01:37.840 --> 00:01:41.360]  他說的話就是很寶貴
[00:01:41.360 --> 00:01:44.920]  好像金蘋果放在銀網
[00:01:44.920 --> 00:01:49.120]  或者有些翻譯是銀盤子上面
[00:01:49.120 --> 00:01:51.480]  另一個新譯本的翻譯
[00:01:51.480 --> 00:01:58.240]  他說就好像金蘋果鑲在銀器物的上方
[00:01:58.240 --> 00:02:02.800]  好像智慧人的責備在聽從人的耳中
[00:02:02.800 --> 00:02:09.760]  好像金耳環和精金的飾物
[00:02:09.760 --> 00:02:15.320]  在這裏描述到金蘋果鑲在銀器物的上方的時候
[00:02:15.320 --> 00:02:19.040]  是很漂亮、很貴重
[00:02:19.040 --> 00:02:21.640]  而智慧人的勸誡或者責備
[00:02:21.640 --> 00:02:23.520]  在聽從人的耳中
[00:02:23.520 --> 00:02:27.400]  好像金耳環和金飾物那麼寶貴
[00:02:27.400 --> 00:02:30.520]  那麼珍而重之
[00:02:30.520 --> 00:02:34.120]  所以智慧人不單單只是有知識
[00:02:34.120 --> 00:02:35.960]  又經驗豐富
[00:02:35.960 --> 00:02:39.200]  聖經所描述的智慧更加是指到
[00:02:39.200 --> 00:02:42.080]  我們很熟悉的《針研九章十節》
[00:02:42.080 --> 00:02:44.880]  驚威耶和華是智慧的開端
[00:02:44.880 --> 00:02:49.680]  認識至聖者是聰明
[00:02:49.680 --> 00:02:52.960]  因此智慧人的品德、修養
[00:02:52.960 --> 00:02:57.240]  才是經文背後的重點
[00:02:57.240 --> 00:03:02.200]  當然智慧人所講的勸誡或者責備
[00:03:02.200 --> 00:03:04.560]  要顯得有份量
[00:03:04.560 --> 00:03:10.680]  都需要有受教者願意領受這個心
[00:03:10.680 --> 00:03:13.360]  才可以傳遞出去
[00:03:13.360 --> 00:03:16.080]  有人願意講,但沒有人願意聽
[00:03:16.080 --> 00:03:21.320]  其實都不能成立溝通的關係
[00:03:21.320 --> 00:03:23.640]  所謂「忠言逆耳」
[00:03:23.640 --> 00:03:26.440]  歷史上有很多這些例子
[00:03:26.440 --> 00:03:28.720]  都是講到有願意講的人
[00:03:28.720 --> 00:03:36.000]  沒有一些願意受教、願意聆聽、願意領受的人
[00:03:36.000 --> 00:03:38.040]  農曆五月初五是端午節
[00:03:38.040 --> 00:03:43.800]  大家可能都知道是紀念屈原的事跡
[00:03:43.800 --> 00:03:47.120]  屈原是春秋時代的楚國大臣
[00:03:47.120 --> 00:03:49.080]  他很愛楚國
[00:03:49.080 --> 00:03:51.960]  亦都關心老百姓的生活
[00:03:51.960 --> 00:03:54.960]  可惜他後來不被信任
[00:03:54.960 --> 00:03:58.200]  更加被罷官、流放他鄉
[00:03:58.200 --> 00:04:01.120]  當秦國攻打楚國的時候
[00:04:01.120 --> 00:04:04.640]  他才知道君主不再聽他的勸告
