
[00:00:00.000 --> 00:00:05.000]  上次馮牧師講了羅馬書六章一至十四節
[00:00:05.000 --> 00:00:10.000]  上回馮牧師講解的經文是羅馬書六章一到十四節
[00:00:10.000 --> 00:00:17.000]  當中提到使徒保羅預計羅馬信徒會提出一個疑問
[00:00:17.000 --> 00:00:22.000]  當中提到使徒保羅預計羅馬信徒會提出一個疑問
[00:00:22.000 --> 00:00:25.000]  就是六章一至十四節
[00:00:25.000 --> 00:00:30.000]  就是六章一到一節
[00:00:30.000 --> 00:00:35.000]  這樣怎麼說呢?我們可以仍在最終較N點顯多嗎?
[00:00:35.000 --> 00:00:39.000]  羅馬信徒有試探神的疑問
[00:00:39.000 --> 00:00:43.000]  羅馬信徒有試探神的疑問
[00:00:43.000 --> 00:00:51.000]  由於較早前保羅曾經在羅馬書第五章二十節講過
[00:00:51.000 --> 00:00:56.000]  由於較早前保羅曾經在羅馬書第五章二十節講過
[00:00:56.000 --> 00:01:01.000]  罪在那裡顯多,N點就更顯多了
[00:01:01.000 --> 00:01:05.000]  罪在那裡顯多,N點就更顯多了
[00:01:05.000 --> 00:01:08.000]  如果這麼說
[00:01:08.000 --> 00:01:13.000]  人得救之後可以仍在最終嗎?
[00:01:13.000 --> 00:01:16.000]  人得救後可以仍在最終嗎?
[00:01:16.000 --> 00:01:21.000]  可不可以繼續犯罪,常留在罪當中呢?
[00:01:21.000 --> 00:01:25.000]  意思是我們可不可以繼續犯罪,常留在最終嗎?
[00:01:25.000 --> 00:01:29.000]  保羅的答案是斬釘截鐵
[00:01:29.000 --> 00:01:32.000]  保羅的答案是斬釘截鐵
[00:01:32.000 --> 00:01:36.000]  人斷不可如此犯罪
[00:01:36.000 --> 00:01:38.000]  人斷不可以如此犯罪
[00:01:38.000 --> 00:01:44.000]  因為禁禮就是表明信徒受禁歸入基督
[00:01:44.000 --> 00:01:49.000]  因為禁禮就是表明信徒受禁歸入基督
[00:01:49.000 --> 00:01:53.000]  與主同死同埋葬同復活
[00:01:53.000 --> 00:01:57.000]  和主同死同埋葬同復活
[00:01:57.000 --> 00:02:04.000]  所以受禁的人一舉一動都應該有新生的樣式
[00:02:04.000 --> 00:02:08.000]  所以受禁的人一舉一動都應該有新生的樣式
[00:02:08.000 --> 00:02:11.000]  既然救人已死
