
[00:00:00.000 --> 00:00:05.480]  「非一般的時代,非一般的崇拜」
[00:00:05.480 --> 00:00:08.920]  我不知道你有沒有看到新聞
[00:00:08.920 --> 00:00:11.320]  它說今晚的六合彩
[00:00:11.320 --> 00:00:15.000]  新春金多寶將會搞著之後
[00:00:15.000 --> 00:00:18.360]  可能下一次的六合彩不知道什麼時候
[00:00:18.360 --> 00:00:21.840]  有沒有想過今天你聽完這篇稻之後
[00:00:21.840 --> 00:00:25.440]  都不知道下次什麼時候才有稻再聽呢
[00:00:25.440 --> 00:00:28.840]  所以今天這篇稻是你的金多寶
[00:00:28.840 --> 00:00:32.000]  要留心一點聽入耳
[00:00:32.000 --> 00:00:34.320]  以致可以儲起來
[00:00:34.320 --> 00:00:38.640]  面對將來可能我們要停止崇拜的時候
[00:00:38.640 --> 00:00:39.600]  非常之感恩
[00:00:39.600 --> 00:00:43.640]  今天下午仍然可以如常的崇拜
[00:00:43.640 --> 00:00:45.280]  我們希望日後的日子
[00:00:45.280 --> 00:00:49.560]  我們都是可以繼續的一起去敬拜上帝
[00:00:49.560 --> 00:00:52.920]  歡迎大家來到我們的周六崇拜
[00:00:52.920 --> 00:00:54.280]  兩個禮拜之前
[00:00:54.280 --> 00:00:58.960]  我們開始了一個為期五個星期的講道系列
[00:00:58.960 --> 00:01:02.080]  講道系列的題目是「使命之文」
[00:01:02.080 --> 00:01:07.360]  講道系列的經文是《紹行傳》第二章第42節
[00:01:07.360 --> 00:01:10.360]  他們都專注於使徒的教訓
[00:01:10.360 --> 00:01:14.640]  彼此的團契、麥餅和祈禱
[00:01:14.640 --> 00:01:18.400]  我們思想的中心是《紹行傳》裏面的初期教會
[00:01:18.400 --> 00:01:21.040]  這個剛剛出世的嬰兒教會
[00:01:21.040 --> 00:01:24.280]  擁有五個屬天的特質
[00:01:24.280 --> 00:01:32.960]  分別是專注、教導、團契、麥餅、最後是祈禱
[00:01:32.960 --> 00:01:36.560]  之前兩個禮拜我們看了專注和教導
[00:01:36.560 --> 00:01:39.920]  今天我們繼續思想團契
[00:01:39.920 --> 00:01:41.400]  如果你上個禮拜又在這裏
[00:01:41.400 --> 00:01:42.440]  你應該記得
[00:01:42.440 --> 00:01:44.440]  我曾經講過在一至五之前
[00:01:44.440 --> 00:01:47.480]  其實還應該有多一個零的
[00:01:47.480 --> 00:01:50.720]  是那個零開始了教會
[00:01:50.720 --> 00:01:53.800]  那個零是初期教會的源頭
[00:01:53.800 --> 00:01:56.240]  和二一樣都是教導
[00:01:56.240 --> 00:01:58.520]  是使徒的教導
[00:01:58.520 --> 00:02:01.320]  那個零是彼得的教導
[00:02:01.320 --> 00:02:02.880]  彼得在五旬節那天
[00:02:02.880 --> 00:02:05.440]  聖靈降臨之後講了一篇道
[00:02:05.440 --> 00:02:10.320]  他那篇道創造了一個持久專注的群體
[00:02:10.320 --> 00:02:13.320]  他那篇道創造了一個新的
[00:02:13.320 --> 00:02:17.080]  嶄新的、新約裏面的團契
[00:02:17.080 --> 00:02:19.600]  團契在希臘的原文裏面是
[00:02:19.600 --> 00:02:21.760]  Koinonia,如果你上教會一段時間
[00:02:21.760 --> 00:02:23.160]  你大概都聽過
[00:02:23.160 --> 00:02:26.840]  有很多團契的名字叫做Koinonia Fellowship
[00:02:26.840 --> 00:02:29.720]  Koinonia Fellowship就等於Fellowship Fellowship
[00:02:29.720 --> 00:02:32.200]  其實是叫團契團契
[00:02:32.200 --> 00:02:34.800]  這個詞匯在新約聖經裏面
[00:02:34.800 --> 00:02:37.120]  總共出現了十九次
[00:02:37.120 --> 00:02:38.520]  而第一次的出現在哪裏
[00:02:38.520 --> 00:02:39.640]  在這裏
[00:02:39.640 --> 00:02:41.040]  就是在那一天
[00:02:41.040 --> 00:02:42.920]  在五旬節的那一天
[00:02:42.920 --> 00:02:44.760]  在彼得講完那篇道之後
[00:02:44.760 --> 00:02:48.280]  創造了新約裏面的
[00:02:48.280 --> 00:02:50.160]  這個叫團契
[00:02:50.160 --> 00:02:52.520]  我們會問彼得究竟是何時
[00:02:52.520 --> 00:02:57.840]  在哪裏學會一個這麼充滿大能的講道
[00:02:57.840 --> 00:03:00.240]  以致他可以起死回生
[00:03:00.240 --> 00:03:04.400]  以致他可以創造一個屬天的團契
[00:03:04.400 --> 00:03:08.040]  答案是彼得其實在路加福音那裏
[00:03:08.040 --> 00:03:10.800]  已經學了這篇這樣的講道
[00:03:10.800 --> 00:03:13.480]  他是從受死復活的耶穌那裏
[00:03:13.480 --> 00:03:16.520]  學到耶穌的復活神功
[00:03:16.520 --> 00:03:17.960]  如果你上個星期在這裏
[00:03:17.960 --> 00:03:20.680]  你應該還記得我說的這個故事
[00:03:20.680 --> 00:03:23.480]  這個路加福音第二十四章的故事
[00:03:23.480 --> 00:03:26.560]  也許是整個路加福音
[00:03:26.560 --> 00:03:28.320]  《紹行傳》上下冊裏面
[00:03:28.320 --> 00:03:29.960]  最重要的一個故事
[00:03:29.960 --> 00:03:34.400]  這個不是一個普通的一個敘述
[00:03:34.400 --> 00:03:38.360]  它是一個非常精挑細剁的文學作品
[00:03:38.360 --> 00:03:39.400]  他寫的時候
[00:03:39.400 --> 00:03:41.880]  他故意的前後呼應
[00:03:41.880 --> 00:03:44.560]  他凸顯中間基督的福音
[00:03:44.560 --> 00:03:47.320]  這個基督的福音是整個故事的中心
[00:03:47.320 --> 00:03:48.960]  這個基督的福音
[00:03:48.960 --> 00:03:53.040]  可以使黑眼的有光明的眼睛
