
[00:00:00.000 --> 00:00:01.320]  頂尖的那一邊
[00:00:01.320 --> 00:00:04.700]  《蒙照》去了一幅《使命餐座》
[00:00:04.700 --> 00:00:06.140]  我們來到第三講
[00:00:06.140 --> 00:00:07.280]  今天是第三講
[00:00:07.280 --> 00:00:09.480]  不知道你過去兩個星期
[00:00:09.480 --> 00:00:11.280]  有沒有安排過
[00:00:11.280 --> 00:00:16.320]  或者是參與過這些《使命餐座》
[00:00:16.320 --> 00:00:16.900]  有沒有?
[00:00:16.900 --> 00:00:18.700]  有沒有人安排過?
[00:00:18.700 --> 00:00:23.240]  牧師每個星期在家裡都有《使命餐座》
[00:00:23.240 --> 00:00:25.280]  有誰沒有去過的?
[00:00:25.280 --> 00:00:27.060]  有沒有其他人?
[00:00:27.060 --> 00:00:28.720]  如果沒有機會的話
[00:00:28.720 --> 00:00:31.380]  不要緊的總會有開始的一天
[00:00:31.380 --> 00:00:33.480]  不過不要太遲
[00:00:33.480 --> 00:00:37.240]  在我們進入第三講之前
[00:00:37.240 --> 00:00:41.320]  讓我們重溫一下上兩個星期的一些重點
[00:00:41.320 --> 00:00:45.600]  第一個星期第一課裡面
[00:00:45.600 --> 00:00:46.920]  第一課裡面牧師
[00:00:46.920 --> 00:00:51.200]  給了我們一個《使命餐座》的 overview(觀看)
[00:00:51.200 --> 00:00:52.520]  一個概觀
[00:00:52.520 --> 00:00:54.560]  之後他呼籲我們什麼呢?
[00:00:54.560 --> 00:00:58.520]  我們轉化友情飯局成為《使命餐座》
[00:00:58.840 --> 00:01:00.400]  將主餐的祝福
[00:01:00.400 --> 00:01:04.520]  移到新年度我們日常的生活當中
[00:01:04.520 --> 00:01:07.640]  然後在上個星期
[00:01:07.640 --> 00:01:12.440]  牧師丹尼爾
[00:01:12.440 --> 00:01:15.240]  他又提醒我們
[00:01:15.240 --> 00:01:18.480]  主耶穌要與人分享祂自己
[00:01:18.480 --> 00:01:19.400]  祂的愛
[00:01:19.400 --> 00:01:21.440]  祂對人的恩典
[00:01:21.440 --> 00:01:24.800]  又叫我們要去克服
[00:01:24.800 --> 00:01:29.640]  嘗試去克服那些實踐《使命餐座》時
[00:01:29.640 --> 00:01:32.560]  所遇到的一些阻仗
[00:01:32.560 --> 00:01:36.880]  我們有關亡的一些藉口
[00:01:36.880 --> 00:01:38.680]  食的一些藉口
[00:01:38.680 --> 00:01:40.600]  講的一些藉口
[00:01:40.600 --> 00:01:42.080]  我們嘗試去克服
[00:01:42.080 --> 00:01:45.400]  今天我們嘗試去看
[00:01:45.400 --> 00:01:48.000]  第三次了
[00:01:48.000 --> 00:01:49.880]  又是講食
[00:01:49.880 --> 00:01:54.680]  這次我們重溫一個大家都非常熟悉的一個場景
[00:01:55.440 --> 00:01:59.360]  就是一個很不一樣的延續
[00:01:59.360 --> 00:02:00.760]  很不一樣的延續
[00:02:00.760 --> 00:02:05.080]  但是大家不要因為熟悉這個故事
[00:02:05.080 --> 00:02:06.800]  就掉以輕心
[00:02:06.800 --> 00:02:10.360]  因為這段記載
[00:02:10.360 --> 00:02:11.640]  《五餅二魚》
[00:02:11.640 --> 00:02:13.160]  《耶穌基督的神蹟》
[00:02:13.160 --> 00:02:18.120]  是唯一一段四卷福音書裡面
