
[00:00:00.000 --> 00:00:03.460]  以上是耶穌在約翰福音所講的說話
[00:00:03.460 --> 00:00:04.720]  我們一起禱告,好嗎?
[00:00:04.720 --> 00:00:07.840]  天父,願我口中的說話
[00:00:07.840 --> 00:00:10.460]  願我們眾人的心思意念都蒙你越南
[00:00:10.460 --> 00:00:12.320]  願你轉化這個世代
[00:00:12.320 --> 00:00:15.000]  願你轉化我們仰望你
[00:00:15.000 --> 00:00:16.880]  我們祈禱在奉耶穌的名咎
[00:00:16.880 --> 00:00:17.700]  阿們
[00:00:17.700 --> 00:00:19.940]  覺不覺得這段經文似曾相識?
[00:00:19.940 --> 00:00:23.120]  如果你上回有看,是同一段經文
[00:00:23.120 --> 00:00:25.120]  我們今晚就是承接上星期
[00:00:25.120 --> 00:00:28.380]  繼續講「我是好人」的比喻
[00:00:29.600 --> 00:00:33.060]  羊有很多特性,我不知道大家是否知道
[00:00:33.060 --> 00:00:37.160]  其中一個特性就是羊是很聰明的動物
[00:00:37.160 --> 00:00:41.460]  有人說牠的智力是接近豬的程度
[00:00:41.460 --> 00:00:45.800]  接近豬,豬是在動物界頭十名
[00:00:45.800 --> 00:00:48.400]  甚至有人說是頭五名聰明的動物
[00:00:48.400 --> 00:00:50.400]  所以牠是挺聰明的羊
[00:00:50.400 --> 00:00:52.960]  第二就是羊有非常好的視力
[00:00:52.960 --> 00:00:56.000]  牠兩隻眼睛的分佈,如果你細心看
[00:00:56.000 --> 00:01:01.200]  可以讓牠看到270度到320度的視角
[00:01:01.200 --> 00:01:03.400]  即是說差不多可以看到自己的背脊
[00:01:03.400 --> 00:01:06.240]  差不多而已,不過是很好的視力
[00:01:06.240 --> 00:01:08.240]  以上是羊的長處
[00:01:08.240 --> 00:01:11.240]  但是羊也有兩個死穴
[00:01:11.240 --> 00:01:12.680]  是甚麼死穴呢?
[00:01:12.680 --> 00:01:16.400]  第一個就是牠沒有保護自己的能力
[00:01:16.400 --> 00:01:18.400]  告訴你一個秘密
[00:01:18.400 --> 00:01:22.080]  原來羊如果這樣反轉跌倒了
[00:01:22.080 --> 00:01:24.640]  牠是應該不能站起來的
[00:01:24.640 --> 00:01:28.040]  即使有人抬牠起來
[00:01:28.040 --> 00:01:30.040]  牠也需要幾分鐘去定神
[00:01:30.040 --> 00:01:34.640]  所以第一個死穴是牠沒有保護自己的能力
[00:01:34.640 --> 00:01:38.640]  第二就是牠沒有位置感和方向感
[00:01:38.640 --> 00:01:40.640]  很容易迷失方向
[00:01:40.640 --> 00:01:42.640]  兩個死穴很難保護自己
[00:01:42.640 --> 00:01:44.640]  以及沒有方向感
[00:01:44.640 --> 00:01:46.640]  跟今晚很有關係
[00:01:46.640 --> 00:01:49.640]  為甚麼呢?因為今晚剛才多謝Hugo我們讀的經文
[00:01:49.640 --> 00:01:51.640]  約翰福音九到十章耶穌
[00:01:51.640 --> 00:01:53.640]  牠用好牧人比喻自己
[00:01:53.640 --> 00:01:55.640]  用羊比喻我們
[00:01:55.640 --> 00:01:57.640]  中提到很多牧羊的情景
[00:01:57.640 --> 00:02:01.640]  正正就是針對這兩個死穴
[00:02:01.640 --> 00:02:04.640]  今晚第一個講的重點
[00:02:04.640 --> 00:02:08.640]  就是牧羊人怎樣保護每一隻羊
[00:02:08.640 --> 00:02:11.640]  令到每一隻羊不單止可以安全
[00:02:11.640 --> 00:02:14.640]  更加可以自由自在地生活
[00:02:14.640 --> 00:02:17.640]  不過要明白這個比喻
[00:02:17.640 --> 00:02:20.640]  我們先要明白當時的人是怎樣養羊的
[00:02:20.640 --> 00:02:22.640]  怎樣牧羊的
[00:02:22.640 --> 00:02:24.640]  因為約翰福音第十章十節經文
[00:02:24.640 --> 00:02:26.640]  剛才Hugo我們讀
[00:02:26.640 --> 00:02:30.640]  差不多每一句都是牧羊的術語
[00:02:30.640 --> 00:02:32.640]  當時的人一看就會明白
[00:02:32.640 --> 00:02:35.640]  但我們去看就要解釋解釋
[00:02:35.640 --> 00:02:38.640]  例如為何耶穌說自己是一道門
[00:02:38.640 --> 00:02:40.640]  是木門還是石門還是鐵門
[00:02:40.640 --> 00:02:42.640]  我們很難明白
[00:02:42.640 --> 00:02:47.640]  例如當中提到兩次賊和強盜
[00:02:47.640 --> 00:02:49.640]  賊和強盜
[00:02:49.640 --> 00:02:52.640]  賊當然是偷東西
[00:02:52.640 --> 00:02:54.640]  他們是怎樣偷羊的呢
[00:02:54.640 --> 00:02:58.640]  他們晚上偷進羊圈
[00:02:58.640 --> 00:03:00.640]  然後就會做一件事
[00:03:00.640 --> 00:03:02.640]  那件事就是割喉
[00:03:02.640 --> 00:03:04.640]  將羊割喉
[00:03:04.640 --> 00:03:05.640]  為何呢?
[00:03:05.640 --> 00:03:07.640]  一來可以很快殺死羊
[00:03:07.640 --> 00:03:08.640]  但還有一個原因
[00:03:08.640 --> 00:03:10.640]  你猜到嗎?
[00:03:10.640 --> 00:03:12.640]  對,就是...
[00:03:12.640 --> 00:03:13.640]  果然是牧者
[00:03:13.640 --> 00:03:15.640]  做牧羊人你不就...
[00:03:15.640 --> 00:03:17.640]  不是,OK
[00:03:17.640 --> 00:03:19.640]  就是他們割喉
[00:03:19.640 --> 00:03:20.640]  一來很快殺死羊
[00:03:20.640 --> 00:03:22.640]  二來羊叫不出
[00:03:22.640 --> 00:03:24.640]  那就不會驚醒其他羊
[00:03:24.640 --> 00:03:25.640]  不會驚醒牧羊人
[00:03:25.640 --> 00:03:27.640]  所以殺的方法是割喉
[00:03:27.640 --> 00:03:28.640]  之後就偷走
