
[00:00:00.000 --> 00:00:13.000]  有人說約翰福音第21章是連接著福音書和使徒行傳的
[00:00:13.000 --> 00:00:23.000]  在最後一章裏面,主耶穌跟彼得說要彼得餵養他的羊
[00:00:23.000 --> 00:00:30.000]  意思就是說叫主耶穌來去牧養他的信徒
[00:00:30.000 --> 00:00:35.000]  叫主耶穌來去建立教會
[00:00:35.000 --> 00:00:39.000]  主耶穌是叫彼得建立教會
[00:00:39.000 --> 00:00:44.000]  在這個使徒行傳開始的時候
[00:00:44.000 --> 00:00:50.000]  我們看到彼得講了第一次的佈道會
[00:00:50.000 --> 00:00:56.000]  在佈道會裏面眾人都集心
[00:00:56.000 --> 00:01:02.000]  在一次裏面竟然有三千人信耶穌
[00:01:02.000 --> 00:01:06.000]  從那天開始教會被建立
[00:01:06.000 --> 00:01:12.000]  我們就會問為什麼主耶穌要找彼得呢?
[00:01:12.000 --> 00:01:16.000]  大家看了這麼久聖經都知道彼得是一個怎樣的人
[00:01:16.000 --> 00:01:19.000]  看了這麼多聖經大家應該都知道彼得是一個怎樣的人
[00:01:19.000 --> 00:01:23.000]  彼得有衝動,有牙刷刷
[00:01:23.000 --> 00:01:28.000]  那個人又傻不拉機
[00:01:28.000 --> 00:01:36.000]  還在自誇自己可以願意和主耶穌一起入監獄和受死
[00:01:36.000 --> 00:01:40.000]  他又自誇自己可以和主耶穌一起入監獄去受死
[00:01:40.000 --> 00:01:44.000]  最後三次不認主
[00:01:44.000 --> 00:01:50.000]  其實他是一個愚夫,沒有受過什麼教育
[00:01:50.000 --> 00:01:53.000]  可以說他無權無錢無學識無地位
[00:01:53.000 --> 00:01:56.000]  可以說他沒錢沒學識沒地位
[00:01:56.000 --> 00:02:00.000]  那麼主耶穌為什麼要找彼得呢?
[00:02:00.000 --> 00:02:06.000]  今天我們就嘗試通過彼得的故事
[00:02:06.000 --> 00:02:12.000]  看一下他所經歷的人生路
[00:02:12.000 --> 00:02:18.000]  其實他所經歷的可能和我們在細節上或者形式上和我們的人生有很大分別
[00:02:18.000 --> 00:02:22.000]  他所經歷的可能和我們的人生在細節上有很大的分別
[00:02:22.000 --> 00:02:27.000]  總體上他所走過的路都是我們每一個人要走的天家路
[00:02:27.000 --> 00:02:31.000]  但是總體上他走的那一條都是我們要走的天家路
[00:02:31.000 --> 00:02:35.000]  當日主耶穌和彼得所發出的愛的挑戰
[00:02:35.000 --> 00:02:38.000]  當日主耶穌和彼得所發出的愛的挑戰
[00:02:38.000 --> 00:02:42.000]  其實今天你和我都是發出同樣的挑戰
[00:02:42.000 --> 00:02:45.000]  其實今天你和我都是發出同樣的挑戰
[00:02:45.000 --> 00:02:48.000]  我們要了解彼得的人生故事呢?
[00:02:48.000 --> 00:02:50.000]  我們要了解彼得的人生故事呢?
[00:02:50.000 --> 00:02:56.000]  我相信我們要回到主耶穌第一次與彼得相見的時候那一天
[00:02:56.000 --> 00:03:00.000]  我相信我們要回去主耶穌第一次跟彼得見面那一天
[00:03:00.000 --> 00:03:03.000]  在馬可福音的第一章告訴我們
[00:03:03.000 --> 00:03:05.000]  在馬可福音第一章跟我們說
[00:03:05.000 --> 00:03:11.000]  主耶穌見到彼得的第一次就是彼得在加利利海的時候
[00:03:11.000 --> 00:03:14.000]  主耶穌跟彼得見的第一面就是他在加利利海的時候
[00:03:14.000 --> 00:03:19.000]  當時彼得和他的同伴在海邊撒網
[00:03:19.000 --> 00:03:22.000]  彼得當時就跟他的同伴在海邊撒網
[00:03:22.000 --> 00:03:24.000]  當耶穌見到彼得的時候
[00:03:24.000 --> 00:03:26.000]  當主耶穌見到彼得的時候
[00:03:26.000 --> 00:03:29.000]  耶穌就叫彼得來跟隨我吧
[00:03:29.000 --> 00:03:32.000]  耶穌就跟他說來跟從我吧
[00:03:32.000 --> 00:03:35.000]  在這一次會面的三年之後
[00:03:35.000 --> 00:03:37.000]  在這一次會面的三年之後
[00:03:37.000 --> 00:03:41.000]  主耶穌也都在加利利的海邊
[00:03:41.000 --> 00:03:43.000]  主耶穌在加利利的海邊
[00:03:43.000 --> 00:03:44.000]  又是同一個地點
[00:03:44.000 --> 00:03:45.000]  又是同一個地方
[00:03:45.000 --> 00:03:49.000]  也都叫彼得來跟從我
[00:03:49.000 --> 00:03:51.000]  也都是叫彼得來跟從我
[00:03:51.000 --> 00:03:53.000]  在這三年的時間裡面
[00:03:53.000 --> 00:03:54.000]  在這三年的時間裡面
[00:03:54.000 --> 00:03:56.000]  同樣的一個呼召
[00:03:56.000 --> 00:03:57.000]  同樣的一個呼召
[00:03:57.000 --> 00:03:59.000]  但是裡面發生了很多的事情
[00:03:59.000 --> 00:04:01.000]  但是裡面發生了很多的事情
[00:04:01.000 --> 00:04:04.000]  在我們今天討論的一開始的時候
[00:04:04.000 --> 00:04:06.000]  在我們今天討論的一開始的時候
[00:04:06.000 --> 00:04:07.000]  在我們今天討論的一開始的時候
[00:04:07.000 --> 00:04:09.000]  「這些事以後」
[00:04:09.000 --> 00:04:10.000]  「這些事以後」
[00:04:10.000 --> 00:04:12.000]  很輕描淡寫地說了三個字
[00:04:12.000 --> 00:04:13.000]  「這些事」
[00:04:13.000 --> 00:04:15.000]  很輕描淡寫地寫了三個字
[00:04:15.000 --> 00:04:16.000]  「這些事」
[00:04:16.000 --> 00:04:18.000]  所謂「這些事」
[00:04:18.000 --> 00:04:21.000]  其實就包括了很多成功與失敗
[00:04:21.000 --> 00:04:22.000]  其實這三個字
[00:04:22.000 --> 00:04:24.000]  「這些事」包括了很多成功和失敗
[00:04:24.000 --> 00:04:26.000]  包括了很多眼淚和歡笑
[00:04:26.000 --> 00:04:28.000]  也包括了很多眼淚和歡笑
[00:04:28.000 --> 00:04:29.000]  大家如果記得
[00:04:29.000 --> 00:04:32.000]  當耶穌騎驢進入耶路撒冷城的時候
[00:04:32.000 --> 00:04:33.000]  大家還記得
[00:04:33.000 --> 00:04:35.000]  當耶穌進入耶路撒冷的時候
[00:04:35.000 --> 00:04:37.000]  很多人一齊來擁擠祂
[00:04:37.000 --> 00:04:38.000]  很多人一齊來擁擠祂
[00:04:38.000 --> 00:04:39.000]  很多人一齊來擁擠祂
[00:04:39.000 --> 00:04:41.000]  歡迎耶穌進入耶路撒冷城
