
[00:00:00.000 --> 00:00:01.440]  各位兄弟姊妹 早安
[00:00:01.440 --> 00:00:06.020]  今天一大清早
[00:00:06.020 --> 00:00:07.360]  大家精不精神
[00:00:07.360 --> 00:00:10.540]  因為我很久沒試過九點鐘崇拜
[00:00:10.540 --> 00:00:12.500]  所以我有些不太精神
[00:00:12.500 --> 00:00:16.820]  加上昨晚和太太談夜了
[00:00:16.820 --> 00:00:19.340]  所以差不多兩點才睡
[00:00:19.340 --> 00:00:20.760]  所以真是不好意思
[00:00:20.760 --> 00:00:23.000]  但是我覺得很重要的就是
[00:00:23.000 --> 00:00:24.500]  先介紹自己
[00:00:24.500 --> 00:00:26.480]  名字陳朝元
[00:00:26.480 --> 00:00:29.640]  看上去就像外國人
[00:00:30.000 --> 00:00:31.820]  實際就是潮州人
[00:00:31.820 --> 00:00:33.120]  你聽我的名字
[00:00:33.120 --> 00:00:36.080]  朝元 潮州是我源頭
[00:00:36.080 --> 00:00:39.840]  當然我問我爸爸我的名字是什麼意思的時候
[00:00:39.840 --> 00:00:41.160]  我爸爸就說
[00:00:41.160 --> 00:00:43.680]  生日的時候家裡缺水
[00:00:43.680 --> 00:00:46.060]  所以就要改名很多水
[00:00:46.060 --> 00:00:48.080]  我說這樣的層次
[00:00:48.080 --> 00:00:49.920]  原來是沒有水的
[00:00:49.920 --> 00:00:52.400]  他說不如我和你改一個意思
[00:00:52.400 --> 00:00:54.120]  我是潮州人
[00:00:54.120 --> 00:00:55.640]  潮州有一個源頭
[00:00:55.640 --> 00:00:58.360]  都是你的意思 爸爸
[00:00:58.360 --> 00:01:02.480]  今天和大家分享的一個題目是成為鼓勵人的人
[00:01:02.480 --> 00:01:05.280]  開始的時候我想問一下
[00:01:05.280 --> 00:01:07.760]  丁姐妹 你覺得自己
[00:01:07.760 --> 00:01:10.240]  是不是一個鼓勵人的人
[00:01:10.240 --> 00:01:12.260]  是不是
[00:01:12.260 --> 00:01:14.000]  這個最實際是什麼呢
[00:01:14.000 --> 00:01:16.320]  問你家人就知道了
[00:01:16.320 --> 00:01:17.960]  你鼓勵人多
[00:01:17.960 --> 00:01:22.480]  還是我們華人比較多是什麼呢
[00:01:22.480 --> 00:01:25.000]  我們就是要提點
[00:01:25.000 --> 00:01:26.200]  責備
[00:01:26.200 --> 00:01:27.560]  來鼓勵你的
[00:01:27.560 --> 00:01:30.400]  是不是 就是用一種不同的方式
[00:01:30.400 --> 00:01:34.720]  但今天我想和一個人物 巴拿巴
[00:01:34.720 --> 00:01:39.720]  在當中都提到一樣東西
[00:01:39.720 --> 00:01:42.320]  看一下 咦 不動的
[00:01:42.320 --> 00:01:43.440]  是動了
[00:01:43.440 --> 00:01:45.880]  剛才讀過這段經文
