
[00:00:00.000 --> 00:00:04.160]  今天給大家分享的題目是 啥種的比喻
[00:00:04.160 --> 00:00:05.760]  難聽之道
[00:00:05.760 --> 00:00:08.040]  這個題目有點奇奇怪怪的
[00:00:08.040 --> 00:00:11.680]  是不是難聽待會就可以揭曉了
[00:00:11.680 --> 00:00:16.720]  經文是在《馬太福音》的十三章
[00:00:16.720 --> 00:00:19.800]  一到九節 還有十八到二十三節
[00:00:19.800 --> 00:00:21.480]  我們如果有讀過《馬太福音》
[00:00:21.480 --> 00:00:24.160]  應該都比較熟悉這一段的經文
[00:00:24.160 --> 00:00:26.120]  中間其實它插了一段
[00:00:26.120 --> 00:00:28.680]  就是耶穌跟門徒講
[00:00:28.680 --> 00:00:31.920]  爲什麼要用比喻來講道
[00:00:31.920 --> 00:00:37.880]  所以待會也有一點點會提到這一部分
[00:00:37.880 --> 00:00:40.200]  但是主要的經文還是在
[00:00:40.200 --> 00:00:42.600]  啥種的比喻本身這個比喻
[00:00:42.600 --> 00:00:46.560]  一到九節 還有十八到二十三節
[00:00:46.560 --> 00:00:50.280]  我們先來讀一下今天的這個經文
[00:00:50.280 --> 00:00:51.960]  這個字可能有點小
[00:00:51.960 --> 00:00:53.000]  如果你看不清楚
[00:00:53.000 --> 00:00:55.640]  你可以打開你手機裏面的聖經
[00:00:55.640 --> 00:00:58.280]  找到《馬太福音》第十三章
[00:00:58.280 --> 00:01:00.280]  一到九節我們先來讀
[00:01:00.280 --> 00:01:01.560]  好 一二起
[00:01:01.560 --> 00:01:06.040]  當那一天 耶穌從房子裏出來
[00:01:06.040 --> 00:01:07.520]  坐在海邊
[00:01:07.520 --> 00:01:10.880]  有許多人到祂那裏聚集
[00:01:10.880 --> 00:01:13.720]  祂指的上船坐下
[00:01:13.720 --> 00:01:16.320]  衆人都站在岸上
[00:01:16.320 --> 00:01:19.960]  祂用比喻對他們講許多道理
[00:01:19.960 --> 00:01:23.800]  說有一個啥種的出去啥種
[00:01:23.800 --> 00:01:27.360]  啥的時候有落在路旁的
[00:01:27.360 --> 00:01:29.600]  飛鳥來喫進了
[00:01:29.600 --> 00:01:32.880]  有落在土淺石頭地上的
[00:01:32.880 --> 00:01:36.280]  土即不生 發苗最快
[00:01:36.280 --> 00:01:38.520]  日頭出來一曬
[00:01:38.520 --> 00:01:41.600]  因爲沒有根 就枯乾了
[00:01:41.600 --> 00:01:44.040]  有落在荊棘裏的
[00:01:44.040 --> 00:01:47.840]  荊棘長起來 把它擠住了
[00:01:47.840 --> 00:01:50.200]  又有落在豪土裏的
[00:01:50.200 --> 00:01:53.400]  就結實 有一百倍的
[00:01:53.400 --> 00:01:56.920]  有六十倍的 有三十倍的
[00:01:56.920 --> 00:02:00.440]  有耳可聽的 就應當聽
[00:02:00.440 --> 00:02:03.880]  我們再把十八到二十三節也讀完
[00:02:03.880 --> 00:02:05.160]  一二起
[00:02:05.160 --> 00:02:09.320]  所以 你們當聽這啥種的比喻
[00:02:09.320 --> 00:02:12.800]  凡聽見天國道理不明白的
[00:02:12.800 --> 00:02:14.760]  那二者就來
[00:02:14.760 --> 00:02:18.400]  把所撒在他心裏的奪了去
[00:02:18.400 --> 00:02:21.480]  這就是撒在路旁的
[00:02:21.480 --> 00:02:23.600]  撒在石頭地上的
[00:02:23.600 --> 00:02:27.800]  就是人聽了道 當下歡喜領受
[00:02:27.800 --> 00:02:32.280]  只因心裏沒有根 不過是暫時的
[00:02:32.280 --> 00:02:35.360]  即使味道遭了患難
[00:02:35.360 --> 00:02:37.480]  或是受了逼迫
[00:02:37.480 --> 00:02:39.760]  立刻就跌倒了
[00:02:39.760 --> 00:02:41.840]  撒在荊棘裏的
[00:02:41.840 --> 00:02:43.960]  就是人聽了道
[00:02:43.960 --> 00:02:46.600]  後來有世上的思慮
[00:02:46.600 --> 00:02:50.160]  錢財的迷惑 把道擠住了
[00:02:50.160 --> 00:02:51.880]  不能結實
[00:02:51.880 --> 00:02:54.440]  撒在豪地上的
[00:02:54.440 --> 00:02:57.360]  就是人聽道明白了
[00:02:57.360 --> 00:02:59.240]  後來結實
[00:02:59.240 --> 00:03:02.320]  有一百倍的 有六十倍的
[00:03:02.320 --> 00:03:05.640]  有三十倍的
[00:03:05.640 --> 00:03:09.600]  好 剛纔說的這個題目叫難聽之道
[00:03:09.600 --> 00:03:11.600]  這個難聽是什麼意思呢
[00:03:11.600 --> 00:03:13.800]  是不是說唱歌很難聽
[00:03:13.800 --> 00:03:15.600]  那個難聽呢
[00:03:15.600 --> 00:03:17.160]  當然不是
[00:03:17.160 --> 00:03:20.360]  這個難聽是指不好聽
[00:03:20.360 --> 00:03:22.680]  或者是不太容易聽
[00:03:22.680 --> 00:03:25.640]  就是難以明白 難以接受
[00:03:25.640 --> 00:03:28.240]  或者是很難去聽從
[00:03:28.240 --> 00:03:31.840]  主耶穌來到人間的第一個宣告
[00:03:31.840 --> 00:03:33.880]  你還記得是什麼嗎
[00:03:33.880 --> 00:03:36.120]  他的第一個宣告就是
[00:03:36.120 --> 00:03:38.480]  天國信了
[00:03:38.480 --> 00:03:40.920]  你們應當悔改信福音
[00:03:40.920 --> 00:03:42.960]  不過他所講的這個道
[00:03:42.960 --> 00:03:45.360]  很多人是不接受的
