
[00:00:00.000 --> 00:00:03.800]  最近好幾個晚上都是無眠之夜
[00:00:03.800 --> 00:00:09.000]  腦海裏面想起了好多近日我所面對的人和事
[00:00:09.000 --> 00:00:13.000]  比如一位昔日一起在教會裏面
[00:00:13.000 --> 00:00:15.500]  在一個宗派裏面侍奉的童工
[00:00:15.500 --> 00:00:17.500]  又是很熟悉的童工
[00:00:17.500 --> 00:00:19.000]  他離開了
[00:00:19.000 --> 00:00:22.000]  侍奉了好多年的十幾年的教會
[00:00:22.000 --> 00:00:24.000]  於是乎我約他出來
[00:00:24.000 --> 00:00:25.500]  一起去詳談
[00:00:25.500 --> 00:00:27.500]  表達我對他的關心
[00:00:27.500 --> 00:00:30.500]  聆聽他在侍奉上的困難
[00:00:30.500 --> 00:00:32.500]  另一方面
[00:00:32.500 --> 00:00:35.500]  我們的姊妹堂所面對的人事問題
[00:00:35.500 --> 00:00:39.500]  也讓我去腦海裏面多了一份沉重
[00:00:39.500 --> 00:00:43.500]  而誠堂本身也都面對著一些要思考的問題
[00:00:43.500 --> 00:00:48.500]  於是乎上主就讓我有了幾個無眠之夜
[00:00:48.500 --> 00:00:52.500]  無眠是祈禱的時刻
[00:00:52.500 --> 00:00:57.500]  每當侍奉的時候遇到一些我不知怎樣面對的事情的時候
[00:00:57.500 --> 00:01:00.500]  神就會提醒我來禱告
[00:01:00.500 --> 00:01:05.500]  所以當我見到枕邊人已經沉睡的時候
[00:01:05.500 --> 00:01:07.500]  我就在黑夜裏面
[00:01:07.500 --> 00:01:09.500]  獨自這樣來到那位
[00:01:09.500 --> 00:01:12.500]  看一暗好像白晝的主面前
[00:01:12.500 --> 00:01:15.500]  向他來掃說
[00:01:15.500 --> 00:01:18.500]  就在這個禱告思考的過程裏面
[00:01:18.500 --> 00:01:21.500]  我決定講這個新的講道的系列
[00:01:21.500 --> 00:01:23.500]  治理教會系列
[00:01:23.500 --> 00:01:25.500]  我想和大家一齊思考
[00:01:25.500 --> 00:01:29.500]  一齊去面對教會治理的這個課題
[00:01:29.500 --> 00:01:35.500]  事實上教會的治理除了是全隊者的任務之外
[00:01:35.500 --> 00:01:39.500]  同時也是教會裏面的領袖、堂委、執事
[00:01:39.500 --> 00:01:42.500]  以及教會裏面熱心和資深的信徒
[00:01:42.500 --> 00:01:45.500]  所應該關注、所應該學習的事
[00:01:45.500 --> 00:01:48.500]  我希望透過這個系列的講道
[00:01:48.500 --> 00:01:50.500]  可以讓教會裏面的領袖
[00:01:50.500 --> 00:01:52.500]  熱心的信徒
[00:01:52.500 --> 00:01:56.500]  對治理教會有更多深入並正確的認識
[00:01:56.500 --> 00:01:58.500]  而今日講道的題目是
[00:01:58.500 --> 00:02:00.500]  教會是甚麼
[00:02:00.500 --> 00:02:04.500]  讓我一齊思考一份面前有禱告
[00:02:04.500 --> 00:02:08.500]  請主我們來到面前
[00:02:08.500 --> 00:02:11.500]  我們在教會當中侍奉
[00:02:11.500 --> 00:02:14.500]  我們在教會當中來到服侍你
[00:02:14.500 --> 00:02:16.500]  服侍身邊的頂姐妹
[00:02:16.500 --> 00:02:19.500]  求主讓我們傳戰經和敬畏的心
[00:02:19.500 --> 00:02:23.500]  讓我們不傷害每一個屬於你的兒女
[00:02:23.500 --> 00:02:28.500]  讓他們每一個都是你用補血的代價救贖回來
[00:02:28.500 --> 00:02:31.500]  他們每一位都是你按明所認識
[00:02:31.500 --> 00:02:33.500]  主讓我們傳敬畏的心
[00:02:33.500 --> 00:02:35.500]  又與你同心
[00:02:35.500 --> 00:02:38.500]  在教會裏面我們高舉主
[00:02:38.500 --> 00:02:40.500]  讓神的家被建立
[00:02:40.500 --> 00:02:42.500]  讓每一個屬於你的兒女
[00:02:42.500 --> 00:02:46.500]  都能夠在你的樹上成長、蒙恩
[00:02:46.500 --> 00:02:49.500]  我們仰望你,奉耶穌基督名求
[00:02:49.500 --> 00:02:54.500]  當我們思考治理教會這個課題的時候
[00:02:54.500 --> 00:02:57.500]  第一個問題我們要面對的
[00:02:57.500 --> 00:02:59.500]  或者說我們要回答的
[00:02:59.500 --> 00:03:01.500]  就是教會是甚麼呢
[00:03:01.500 --> 00:03:04.500]  正如管理一間學校和管理一個醫院
[00:03:04.500 --> 00:03:06.500]  很明顯是不相同
[00:03:06.500 --> 00:03:08.500]  管理一間盈利的公司
[00:03:08.500 --> 00:03:10.500]  和管理一個政府的部門
[00:03:10.500 --> 00:03:12.500]  同樣都是不相同
[00:03:12.500 --> 00:03:14.500]  所以如果我們不搞清楚
[00:03:14.500 --> 00:03:16.500]  甚麼是教會
[00:03:16.500 --> 00:03:20.500]  我們只會在治理教會上錯漏百出
[00:03:20.500 --> 00:03:23.500]  如果從事管理學的人這樣來說
[00:03:23.500 --> 00:03:26.500]  他說世界上很多的組織
[00:03:26.500 --> 00:03:28.500]  可以分類
[00:03:28.500 --> 00:03:30.500]  可以分為政府
[00:03:30.500 --> 00:03:32.500]  可以分為盈利
[00:03:32.500 --> 00:03:35.500]  或者非盈利的組織或者公司
[00:03:35.500 --> 00:03:38.500]  英文叫profit making organization
[00:03:38.500 --> 00:03:41.500]  或者叫non-profit making organization
[00:03:41.500 --> 00:03:46.500]  政府和普通的公司或者組織很不同
[00:03:46.500 --> 00:03:49.500]  因為政府擁有一些權力
[00:03:49.500 --> 00:03:51.500]  這些權力是普通的公司
[00:03:51.500 --> 00:03:53.500]  普通的組織所沒有的
[00:03:53.500 --> 00:03:55.500]  譬如說政府擁有立法的權力
[00:03:55.500 --> 00:03:57.500]  擁有司法的權力
[00:03:57.500 --> 00:03:59.500]  擁有警方警隊的權力
[00:03:59.500 --> 00:04:01.500]  擁有軍隊的權力
[00:04:01.500 --> 00:04:03.500]  擁有開戰的權力
[00:04:03.500 --> 00:04:05.500]  即是戰爭的權力
[00:04:05.500 --> 00:04:08.500]  而政府他們服務的對象
[00:04:08.500 --> 00:04:10.500]  或者我們的客戶
[00:04:10.500 --> 00:04:12.500]  吳國裏面的所有的百姓
[00:04:12.500 --> 00:04:16.500]  在政府之上是沒有其他的單位
[00:04:16.500 --> 00:04:17.500]  可以管理他們的
[00:04:17.500 --> 00:04:19.500]  於是乎在國際社會裏面
[00:04:19.500 --> 00:04:22.500]  政府和政府之間的交往
[00:04:22.500 --> 00:04:24.500]  國家和國家之間的交往
[00:04:24.500 --> 00:04:26.500]  是以實力為主
[00:04:26.500 --> 00:04:28.500]  以實力作為後盾
[00:04:28.500 --> 00:04:30.500]  個個強大就可以話事
[00:04:30.500 --> 00:04:33.500]  國家弱小就被人欺負
[00:04:33.500 --> 00:04:36.500]  譬如我們很多的牧師常常都說
[00:04:36.500 --> 00:04:38.500]  這個國家美國是常常都祝福的
[00:04:38.500 --> 00:04:40.500]  因為信奉基督教
[00:04:40.500 --> 00:04:42.500]  聖經說以耶和華為王的
[00:04:42.500 --> 00:04:44.500]  哪個是有福的
[00:04:44.500 --> 00:04:46.500]  於是乎這個國家就奉主的名
[00:04:46.500 --> 00:04:48.500]  到處去欺負到處去屠殺
[00:04:48.500 --> 00:04:50.500]  所以我常常都覺得
[00:04:50.500 --> 00:04:52.500]  今天的美國都不是很屬於耶穌基督的了
[00:04:52.500 --> 00:04:56.500]  至於那些普通的組織
[00:04:56.500 --> 00:04:58.500]  或者普通的公司
[00:04:58.500 --> 00:05:00.500]  我們就分做盈利的
[00:05:00.500 --> 00:05:02.500]  和非盈利的公司或者組織
[00:05:02.500 --> 00:05:04.500]  盈利的很簡單
[00:05:04.500 --> 00:05:08.500]  就是說他們以賺錢為首要的目的
[00:05:08.500 --> 00:05:10.500]  譬如說電話公司
[00:05:10.500 --> 00:05:12.500]  電燈公司、巴士公司
[00:05:12.500 --> 00:05:14.500]  對他們來說
[00:05:14.500 --> 00:05:16.500]  他們的存在就是為了賺錢
[00:05:16.500 --> 00:05:18.500]  所以我們自己開一間公司
[00:05:18.500 --> 00:05:20.500]  我們開一間公司的目的就是賺錢的話
[00:05:20.500 --> 00:05:22.500]  我們的公司
[00:05:22.500 --> 00:05:24.500]  就是一間盈利的公司
[00:05:24.500 --> 00:05:26.500]  非盈利的
[00:05:26.500 --> 00:05:28.500]  是指什麼呢?
[00:05:28.500 --> 00:05:30.500]  就是它不是以賺錢為目的
[00:05:30.500 --> 00:05:32.500]  可能是以慈善作為目的
[00:05:32.500 --> 00:05:34.500]  以前我們會稱這些
[00:05:34.500 --> 00:05:36.500]  慈善機構
[00:05:36.500 --> 00:05:38.500]  自願機構、義務機構
[00:05:38.500 --> 00:05:40.500]  現在多了一個新的名詞
[00:05:40.500 --> 00:05:42.500]  叫NGO
[00:05:42.500 --> 00:05:44.500]  非政府組織
[00:05:44.500 --> 00:05:46.500]  於是乎有人主張
[00:05:46.500 --> 00:05:48.500]  教會是NGO
[00:05:48.500 --> 00:05:50.500]  我個人都同意
[00:05:50.500 --> 00:05:52.500]  但又不完全同意這個說法
[00:05:52.500 --> 00:05:54.500]  同意因為教會的確不是政府
[00:05:54.500 --> 00:05:56.500]  所以我們的確是NGO
[00:05:56.500 --> 00:05:58.500]  但不同意
[00:05:58.500 --> 00:06:00.500]  因為NGO這個名詞
[00:06:00.500 --> 00:06:02.500]  在教會上並不是這樣用的
[00:06:02.500 --> 00:06:04.500]  NGO這個名詞
[00:06:04.500 --> 00:06:06.500]  是相對於政府來說的
[00:06:06.500 --> 00:06:08.500]  通常這個詞語
[00:06:08.500 --> 00:06:10.500]  都和政治帶有些關係
[00:06:10.500 --> 00:06:12.500]  就是指一些組織
[00:06:12.500 --> 00:06:14.500]  它執行了一些
[00:06:14.500 --> 00:06:16.500]  屬於政府才會執行的
[00:06:16.500 --> 00:06:18.500]  機能、一些事務
[00:06:18.500 --> 00:06:20.500]  但這個組織可能不是政府
[00:06:20.500 --> 00:06:22.500]  所以NGO
[00:06:22.500 --> 00:06:24.500]  在西方來說
