
[00:00:00.000 --> 00:00:03.400]  因為過往幾年都是早上起床看到他
[00:00:03.400 --> 00:00:04.920]  晚上睡覺看到他
[00:00:04.920 --> 00:00:06.480]  絕大部份時間都是這樣
[00:00:06.480 --> 00:00:10.120]  但這個時候的耶穌復活的幾十天
[00:00:10.120 --> 00:00:11.840]  好像若隱若現
[00:00:11.840 --> 00:00:14.680]  遲些又說要升天
[00:00:14.680 --> 00:00:17.440]  究竟他們還有什麼把握呢?
[00:00:17.440 --> 00:00:20.160]  過往不知道怎麼做什麼
[00:00:20.160 --> 00:00:23.120]  面對很大的挑戰
[00:00:23.120 --> 00:00:26.480]  可能是來自一些病患的人
[00:00:26.480 --> 00:00:28.360]  一些被鬼纏磨的人
[00:00:28.360 --> 00:00:29.560]  或者是政權
[00:00:29.560 --> 00:00:31.720]  或者是經濟沒得吃
[00:00:31.720 --> 00:00:33.160]  耶穌都能搞定
[00:00:33.160 --> 00:00:34.560]  但現在怎麼辦呢?
[00:00:34.560 --> 00:00:38.160]  超市又不知道
[00:00:38.160 --> 00:00:38.960]  今天有沒有生日
[00:00:38.960 --> 00:00:39.520]  我不知道
[00:00:39.520 --> 00:00:41.240]  今天超市又說
[00:00:41.240 --> 00:00:43.160]  銀行又說擠提
[00:00:43.160 --> 00:00:44.760]  突然之間
[00:00:44.760 --> 00:00:47.320]  這些問題湧現
[00:00:47.320 --> 00:00:49.120]  所以十九節那裡說
[00:00:49.120 --> 00:00:50.680]  那天晚上是
[00:00:50.680 --> 00:00:52.120]  一周的第一天
[00:00:52.120 --> 00:00:54.360]  門徒因為害怕猶太人
[00:00:54.360 --> 00:00:57.920]  他們所在的地方門都關上了
[00:00:59.320 --> 00:01:00.320]  害怕
[00:01:00.320 --> 00:01:04.880]  在約翰福音裡面用了三次害怕字眼
[00:01:04.880 --> 00:01:07.320]  其實三次都是說到害怕猶太人
[00:01:07.320 --> 00:01:11.600]  七章說到指示沒有人明明的講論他
[00:01:11.600 --> 00:01:12.840]  因為怕猶太人
[00:01:12.840 --> 00:01:13.840]  十九章
[00:01:13.840 --> 00:01:15.200]  這件事以後
[00:01:15.200 --> 00:01:17.120]  有亞利瑪泰的約瑟
