
[00:00:00.000 --> 00:00:05.120]  今天講到2020年1月5日
[00:00:05.120 --> 00:00:06.320]  第一個主日
[00:00:06.320 --> 00:00:10.760]  太初有道,道成了欲生
[00:00:10.760 --> 00:00:14.520]  在座很多人都信了主一段時間
[00:00:14.520 --> 00:00:16.520]  會不會覺得這個題目
[00:00:16.520 --> 00:00:18.960]  我早就知道了
[00:00:18.960 --> 00:00:20.840]  這麼熟悉的經文
[00:00:20.840 --> 00:00:22.840]  是的,是我們很熟悉的經文
[00:00:22.840 --> 00:00:24.520]  但是很熟悉
[00:00:24.520 --> 00:00:28.760]  只是要再去檢討一下
[00:00:28.760 --> 00:00:35.200]  究竟是不是我們對這節的經文是熟悉的
[00:00:35.200 --> 00:00:40.080]  太初有道記載在哪一段的經文呢?
[00:00:40.080 --> 00:00:44.000]  大家看到那些小字
[00:00:44.000 --> 00:00:47.080]  若翰福音第一章第一節
[00:00:47.080 --> 00:00:50.320]  太初有道,道與神同在
[00:00:50.320 --> 00:00:54.920]  我們去探討這個話題的時候
[00:00:54.920 --> 00:00:59.760]  我又從另一個進度跟大家講講閒話
[00:00:59.760 --> 00:01:03.200]  我們中國人,講中國
[00:01:03.200 --> 00:01:05.760]  講到道
[00:01:05.760 --> 00:01:08.920]  最有趣的是這段經文有個道字
[00:01:08.920 --> 00:01:11.680]  太初有道,這個道是什麼來的呢?
[00:01:11.680 --> 00:01:17.000]  在中國我們講關乎這個道有個很出名的老字
[00:01:17.000 --> 00:01:20.000]  老字是什麼時候的人來的呢?
[00:01:20.000 --> 00:01:23.120]  他是公元前五百多年
[00:01:23.120 --> 00:01:27.080]  即是公元前六世紀的人
[00:01:27.080 --> 00:01:29.360]  即是耶穌出世之前
[00:01:29.360 --> 00:01:31.440]  再數五百七十一年
[00:01:31.440 --> 00:01:33.160]  差不多六百年的人
[00:01:33.160 --> 00:01:34.480]  中國的人
[00:01:34.480 --> 00:01:39.640]  他很有名的寫了一些文字記錄下來
[00:01:39.640 --> 00:01:41.640]  特別是關乎這個道
[00:01:41.640 --> 00:01:44.000]  有些記載的
[00:01:44.000 --> 00:01:47.600]  我們很熟悉的就會有這個
[00:01:47.600 --> 00:01:50.760]  有時熟悉得連電影的雪柏也拿來唱歌
[00:01:50.760 --> 00:01:54.000]  叫做道可道,非常道
[00:01:54.000 --> 00:01:56.280]  名可名,非常名
[00:01:56.280 --> 00:01:58.960]  無名天地之始
[00:01:58.960 --> 00:02:01.640]  有名萬物之母
[00:02:01.640 --> 00:02:03.000]  在《道德經》裡面
[00:02:03.000 --> 00:02:06.200]  究竟這一句是怎麼解釋的呢?
[00:02:06.200 --> 00:02:07.200]  很有趣的
[00:02:07.200 --> 00:02:08.720]  原來這一句的解釋
[00:02:08.720 --> 00:02:11.560]  有兩個不同的方向
[00:02:11.560 --> 00:02:16.040]  按傳統很多學術上的中文老師
[00:02:16.040 --> 00:02:18.080]  或者一直下來解釋
[00:02:18.080 --> 00:02:22.200]  道這件事是不可以拿出來講的
[00:02:22.200 --> 00:02:25.400]  是講不明白、講不通的
[00:02:25.400 --> 00:02:30.040]  如果道這件事可以講得到的話
[00:02:30.040 --> 00:02:35.080]  就不是一個永恆不變的道了
[00:02:35.080 --> 00:02:37.720]  用這樣的方式去解釋這一句話
[00:02:37.720 --> 00:02:40.120]  所以就叫做道可道,非常道
[00:02:40.120 --> 00:02:41.720]  後面那些不解釋了
[00:02:41.720 --> 00:02:43.640]  後面那些是輔助性質而已
[00:02:43.640 --> 00:02:44.640]  我們講道
[00:02:44.640 --> 00:02:47.000]  道可道,非常道就是這麼說的
[00:02:47.000 --> 00:02:50.760]  如果道是可以講得明白的
