
[00:00:00.000 --> 00:00:02.360]  各位親愛的弟兄姊妹,你們好!
[00:00:02.360 --> 00:00:08.880]  特別感謝教會讓我在復活節的時間與大家分享
[00:00:08.880 --> 00:00:11.440]  雖然我身在外地
[00:00:11.440 --> 00:00:15.160]  但能夠藉著網絡與大家分享是一個祝福
[00:00:15.160 --> 00:00:19.560]  更感恩是特意借了一間很美的教堂
[00:00:19.560 --> 00:00:22.160]  可以在這裡錄影給大家
[00:00:22.160 --> 00:00:24.960]  這是神給我的恩典
[00:00:24.960 --> 00:00:31.160]  今天和大家分享的題目是「漫天黑暗待黎明」
[00:00:31.160 --> 00:00:37.200]  我們會特別的來探索耶穌基督祂面對的苦楚
[00:00:37.200 --> 00:00:42.880]  在祂被釘十字架之前所面對的挑戰、困難和壓力
[00:00:42.880 --> 00:00:45.520]  更加門徒有什麼反應
[00:00:45.520 --> 00:00:51.480]  但當然最重要的是主耶穌復活之後有什麼改變
[00:00:51.480 --> 00:00:54.560]  我們來看這次很特別
[00:00:54.560 --> 00:01:01.520]  就是這個課題會與現今的社會有一個較密切的關係
[00:01:01.520 --> 00:01:04.800]  我們用聖經對照現在我們的處境
[00:01:04.800 --> 00:01:09.840]  然後我們看看我們如何去面對今天這個情況
[00:01:09.840 --> 00:01:12.400]  「漫天黑暗」
[00:01:12.400 --> 00:01:16.360]  耶穌基督去面對的就是「殺身之禍」
[00:01:16.360 --> 00:01:17.360]  為什麼呢?
[00:01:17.360 --> 00:01:20.800]  不要忘記主耶穌降生最重要的目的
[00:01:20.800 --> 00:01:22.640]  就是要完成這個救贖
[00:01:22.640 --> 00:01:26.440]  要拯救我們脫離罪惡的困所
[00:01:26.440 --> 00:01:33.120]  祂為了我們來死去完成這個對公義的審判
[00:01:33.120 --> 00:01:34.680]  雖然是這樣
[00:01:34.680 --> 00:01:36.960]  但絕對不要忘記
[00:01:36.960 --> 00:01:40.080]  原來要殺害耶穌的人
[00:01:40.080 --> 00:01:42.960]  他絕對不能夠逃避這個責任
[00:01:42.960 --> 00:01:45.840]  就正如《馬太福音》第26章的24節
[00:01:45.840 --> 00:01:48.160]  「人子必要去世
[00:01:48.160 --> 00:01:51.320]  正如經上指著他所捨的
[00:01:51.320 --> 00:01:54.400]  但賣人子的人有禍了
[00:01:54.400 --> 00:01:57.200]  乃人不生在世上倒好」
[00:01:57.200 --> 00:02:01.560]  或者我們想一想為什麼耶穌要被謀害呢?
[00:02:01.560 --> 00:02:06.200]  因為原來當時那些權貴、那些法利賽人
[00:02:06.200 --> 00:02:07.840]  那些宗教人士
[00:02:07.840 --> 00:02:09.400]  他們受著威脅
[00:02:09.400 --> 00:02:11.120]  他們受著挑戰
[00:02:11.120 --> 00:02:13.240]  他們甚至被耶穌來指責
[00:02:13.240 --> 00:02:14.880]  所以他們很憎恨耶穌
[00:02:14.880 --> 00:02:17.600]  他要「隨之而後快」
[00:02:17.600 --> 00:02:21.200]  主耶穌出來宣講天國道理的時候
[00:02:21.200 --> 00:02:22.760]  顯淺易明
[00:02:22.760 --> 00:02:25.240]  但是很有力的訊息
[00:02:25.240 --> 00:02:27.280]  所以那些人是很容易接受
[00:02:27.280 --> 00:02:29.880]  也是很歡迎耶穌
[00:02:29.880 --> 00:02:31.280]  正正是這樣的時候
