
[00:00:00.000 --> 00:00:03.360]  請在坐下的時候和你旁邊的朋友說一聲
[00:00:03.360 --> 00:00:04.960]  要保守你的眼睛
[00:00:04.960 --> 00:00:10.240]  我上次講到要提到要保守你的耳朵
[00:00:10.240 --> 00:00:12.280]  去聽聽神的說話
[00:00:12.280 --> 00:00:13.600]  聆聽神的聲音
[00:00:13.600 --> 00:00:16.280]  今天我們講的是要保守你的眼睛
[00:00:16.280 --> 00:00:18.680]  在《馬太方》6章22-23節
[00:00:18.680 --> 00:00:19.800]  耶穌這樣說
[00:00:19.800 --> 00:00:21.600]  眼睛就是身上的燈
[00:00:21.600 --> 00:00:24.880]  你的眼睛若果遼亮全身都光明
[00:00:24.880 --> 00:00:28.160]  你的眼睛若果分花全身就黑暗
[00:00:28.160 --> 00:00:30.200]  你裏頭光榮的黑暗了
[00:00:30.200 --> 00:00:31.920]  黑暗是何等呢?
[00:00:31.920 --> 00:00:34.080]  耶穌用了一個燈
[00:00:34.080 --> 00:00:36.840]  成爲了一個比喻關於我們的眼睛
[00:00:36.840 --> 00:00:37.880]  他在講什麼呢?
[00:00:37.880 --> 00:00:40.240]  他在講的重點是
[00:00:40.240 --> 00:00:42.600]  我們在看什麼的時候
[00:00:42.600 --> 00:00:46.320]  就在影響我們內心的價值觀
[00:00:46.320 --> 00:00:51.360]  我們內心的價值觀又影響我們怎麼去看任何的事物
[00:00:51.360 --> 00:00:52.360]  他在講什麼呢?
[00:00:52.360 --> 00:00:55.640]  他在講我們每天在看什麼的時候
[00:00:55.640 --> 00:00:58.960]  是在影響我們內心的價值觀
[00:00:58.960 --> 00:01:03.800]  而我們內心的價值觀就在影響我們怎麼去看任何的事物
[00:01:03.800 --> 00:01:04.720]  所以爲什麼呢?
[00:01:04.720 --> 00:01:05.800]  同一個處境
[00:01:05.800 --> 00:01:07.480]  同一個事件
[00:01:07.480 --> 00:01:08.680]  有人會看到積極的
[00:01:08.680 --> 00:01:10.120]  有人會看到消極的
[00:01:10.120 --> 00:01:11.360]  有人看到困局
[00:01:11.360 --> 00:01:12.880]  有人看到盼望
[00:01:12.880 --> 00:01:16.880]  因爲在我們內心的價值觀是不一樣的
[00:01:16.880 --> 00:01:18.240]  耶穌提到
[00:01:18.240 --> 00:01:20.920]  若果裏頭的光是黑暗了
[00:01:20.920 --> 00:01:22.600]  黑暗是何等的大
[00:01:22.600 --> 00:01:26.520]  因爲當我們內心的價值觀已經失效
[00:01:26.520 --> 00:01:28.560]  或者完全失衡的時候
[00:01:28.560 --> 00:01:30.680]  我們就好像一個黑眼的人
[00:01:30.680 --> 00:01:33.920]  我們的整個生命就活在一個沒有價值
[00:01:33.920 --> 00:01:36.680]  完全迷失方向的道路里面
[00:01:36.680 --> 00:01:39.720]  所以我們必須要保守我們的眼
[00:01:39.720 --> 00:01:40.560]  跟你教授一樣說
[00:01:40.560 --> 00:01:43.560]  你要保守你的眼
[00:01:43.560 --> 00:01:45.640]  在眼目的情慾
[00:01:45.640 --> 00:01:48.440]  是指導犯罪的原因之一
[00:01:48.440 --> 00:01:50.560]  我們看看在《創世紀》二章九字要說
