
[00:00:00.000 --> 00:00:05.000]  哥倫多前書九章二十四至二十七節,我們一齊讀一次好嗎?
[00:00:05.000 --> 00:00:06.000]  預備起!
[00:00:06.000 --> 00:00:13.000]  豈不知在場上賽跑的高跑,但得獎賞的自有一人。
[00:00:13.000 --> 00:00:18.000]  你們也當這樣跑,好叫你們得著獎賞。
[00:00:18.000 --> 00:00:22.000]  但教你真正的書士都有潔濟。
[00:00:22.000 --> 00:00:26.000]  他們不過是要得能懷的冠冕,
[00:00:26.000 --> 00:00:29.000]  我們卻是要得不能懷的冠冕。
[00:00:29.000 --> 00:00:33.000]  所以我奮跑不像無定向的,
[00:00:33.000 --> 00:00:36.000]  我鬥拳不像打空氣的,
[00:00:36.000 --> 00:00:40.000]  我是攻克己身,叫身服我。
[00:00:40.000 --> 00:00:46.000]  恐怕我全福音給別人,自己反被棄絕了。
[00:00:46.000 --> 00:00:48.000]  問大家一條問題,
[00:00:48.000 --> 00:00:52.000]  你有沒有人生目標?
[00:00:52.000 --> 00:00:55.000]  你有沒有人生目標?
[00:00:55.000 --> 00:01:02.000]  有些人可能這樣說,人生目標好像讀書,讀完書出來工作,
[00:01:02.000 --> 00:01:07.000]  工作後拍拖,拍拖後結婚,生孩子或者加起來要買樓,
[00:01:07.000 --> 00:01:11.000]  孩子長大後要結婚就要帶孫子,
[00:01:11.000 --> 00:01:14.000]  如果要帶孫子就要退休,
[00:01:14.000 --> 00:01:16.000]  這些就是人生目標。
[00:01:16.000 --> 00:01:18.000]  不知你會否是這樣呢?
[00:01:18.000 --> 00:01:22.000]  這些就是成長任務,
[00:01:22.000 --> 00:01:25.000]  每個人到一個階段就是這樣去做,
[00:01:25.000 --> 00:01:27.000]  當然不是人人都跟足這個階段,
[00:01:27.000 --> 00:01:32.000]  有些人中途不在,就沒有這個。
[00:01:32.000 --> 00:01:38.000]  又或者假如你覺得可能我有八十歲命,
[00:01:38.000 --> 00:01:40.000]  現在都過了一半,或者已經退休了,
[00:01:40.000 --> 00:01:46.000]  那你人生下半場的目標是什麼呢?
[00:01:46.000 --> 00:01:48.000]  有些人說不知道,
[00:01:48.000 --> 00:01:50.000]  我記得有一次問我媽媽,她是老人家,
[00:01:50.000 --> 00:01:52.000]  我問她有沒有人生目標?
[00:01:52.000 --> 00:01:54.000]  她說什麼?人生目標是什麼?
[00:01:54.000 --> 00:01:56.000]  我沒有想過。
[00:01:56.000 --> 00:01:59.000]  你會否覺得人生目標是什麼?
[00:01:59.000 --> 00:02:01.000]  或者我都不知道什麼是人生目標,
[00:02:01.000 --> 00:02:03.000]  我都沒有什麼人生目標,
[00:02:03.000 --> 00:02:06.000]  總之就是做好事,做好這份工作,
[00:02:06.000 --> 00:02:08.000]  照顧好家庭,
[00:02:08.000 --> 00:02:10.000]  就是這樣。
[00:02:10.000 --> 00:02:15.000]  給你兩幅圖畫看看你認不認識這個人,
[00:02:15.000 --> 00:02:17.000]  知道是誰嗎?
[00:02:17.000 --> 00:02:19.000]  曹聖宇。
[00:02:19.000 --> 00:02:26.000]  他是一位拳手,超盈量級的拳手,
[00:02:26.000 --> 00:02:31.000]  在世界拳擊組織上年十月裏刊登第一位,
[00:02:31.000 --> 00:02:33.000]  即是世界冠軍。
[00:02:33.000 --> 00:02:35.000]  曹聖宇。
[00:02:35.000 --> 00:02:38.000]  這個認不認識?
[00:02:38.000 --> 00:02:40.000]  認識。
[00:02:40.000 --> 00:02:42.000]  李慧詩,牛夏女車神,
[00:02:42.000 --> 00:02:46.000]  亦都是香港第一位女子單車比賽世界冠軍。
[00:02:46.000 --> 00:02:48.000]  這些都很出名。
[00:02:48.000 --> 00:02:50.000]  他們兩個都是運動員,
[00:02:50.000 --> 00:02:52.000]  當你想起運動員的時候,
[00:02:52.000 --> 00:02:55.000]  你會否覺得運動員和基督徒有關係?
[00:02:55.000 --> 00:02:57.000]  即是除了那個運動員是基督徒,
[00:02:57.000 --> 00:03:00.000]  跟我們的基督徒有沒有關係呢?
[00:03:00.000 --> 00:03:01.000]  其實有的,
[00:03:01.000 --> 00:03:03.000]  因為聖經裏面,特別是新的聖經裏面,
[00:03:03.000 --> 00:03:05.000]  保羅至少有四段的聖經,
[00:03:05.000 --> 00:03:08.000]  用運動員來比喻基督徒,
[00:03:08.000 --> 00:03:13.000]  其中一段就是剛才我和大家看的那一段,
[00:03:13.000 --> 00:03:17.000]  他講到基督徒是好像運動員一樣,
[00:03:17.000 --> 00:03:19.000]  基督徒是什麼呢?
[00:03:19.000 --> 00:03:24.000]  運動員是很有目標,很有方向。
[00:03:24.000 --> 00:03:26.000]  基督徒都好像運動員一樣,
[00:03:26.000 --> 00:03:27.000]  在廿四節這樣說,
[00:03:27.000 --> 00:03:30.000]  「豈不知在場賽跑的都跑,
[00:03:30.000 --> 00:03:32.000]  但得獎賞的有亦人,
[00:03:32.000 --> 00:03:34.000]  你們也剛這般跑,
[00:03:34.000 --> 00:03:36.000]  可叫你們得著獎賞。」
[00:03:36.000 --> 00:03:37.000]  在運動場上比賽,
[00:03:37.000 --> 00:03:40.000]  得過獎賞就是得過人,冠軍。
[00:03:40.000 --> 00:03:42.000]  你們都好像他這樣,
[00:03:42.000 --> 00:03:43.000]  都要跑,奔跑,
[00:03:43.000 --> 00:03:45.000]  還要得到獎賞。
