
[00:00:00.000 --> 00:00:02.720]  好,我們低頭祈禱先
[00:00:02.720 --> 00:00:05.080]  太天府神帝感謝你
[00:00:05.080 --> 00:00:08.480]  因為今日又是你分別為聖的日子
[00:00:08.480 --> 00:00:11.880]  我們可以盡到主的面前來讚美你
[00:00:11.880 --> 00:00:14.960]  我們亦都可以去敬拜你
[00:00:14.960 --> 00:00:18.640]  所以我們特別要聽你自己親自對我們講說話
[00:00:18.640 --> 00:00:20.280]  透過詩篇23篇
[00:00:20.280 --> 00:00:23.040]  透過你僕人所準備的訊息
[00:00:23.040 --> 00:00:25.760]  你僕人的口都求著你告末
[00:00:25.760 --> 00:00:28.960]  亦都安靜我們的心,謙卑我們的心
[00:00:28.960 --> 00:00:33.720]  我們可以傳言的專心在你的華語上
[00:00:33.720 --> 00:00:37.520]  完全交託給你,奉主耶穌基督的聖名
[00:00:37.520 --> 00:00:38.440]  阿彌陀佛
[00:00:38.440 --> 00:00:52.440]  好,詩篇23篇就是大家非常熟悉的一個詩篇
[00:00:52.440 --> 00:00:54.640]  就算在聖經裏面
[00:00:54.640 --> 00:00:58.760]  都是信徒最熟悉的一篇經文
[00:00:58.760 --> 00:01:01.400]  可能在很多很多的經文裏面
[00:01:01.400 --> 00:01:04.560]  你會最喜歡就是這篇的詩篇
[00:01:04.560 --> 00:01:06.480]  就是詩篇23篇
[00:01:06.480 --> 00:01:10.600]  這個就是大衛所寫的詩篇
[00:01:10.600 --> 00:01:14.000]  作為曾經是牧人的大衛
[00:01:14.000 --> 00:01:19.280]  他可以寫出描繪神為牧者
[00:01:19.280 --> 00:01:22.000]  這樣的一篇詩篇是很特別的
[00:01:22.000 --> 00:01:25.320]  因為從古有古至今
[00:01:25.320 --> 00:01:30.120]  我們都很少聽說有哪位神是一位牧者
[00:01:30.120 --> 00:01:33.760]  所以他這樣去描繪這位神的時候
[00:01:33.760 --> 00:01:35.560]  就特別有意義的
[00:01:35.560 --> 00:01:37.640]  因為他作為牧者
[00:01:37.640 --> 00:01:42.520]  他明白羊和牧人的那種關係
[00:01:42.520 --> 00:01:44.560]  如果羊沒有了牧人
[00:01:44.560 --> 00:01:46.760]  就無法生存下去
[00:01:46.760 --> 00:01:49.760]  所以他寫出來就特別感受到
[00:01:49.760 --> 00:01:51.640]  人和神的那種關係
[00:01:51.640 --> 00:01:55.440]  人沒有了神就無法生存
[00:01:55.440 --> 00:01:58.280]  如果我們看這篇詩篇
[00:01:58.280 --> 00:02:01.160]  我們不是用古代的那種思想
[00:02:01.160 --> 00:02:05.400]  或者大衛當時的思想去看這篇詩篇的話
[00:02:05.400 --> 00:02:09.040]  我們比較難去明白
[00:02:09.040 --> 00:02:14.320]  但是我們用現代人的心情去讀這篇詩篇的時候
[00:02:14.320 --> 00:02:17.720]  就更加有很大的差別
[00:02:17.720 --> 00:02:19.080]  不是說我們不會讀
[00:02:19.080 --> 00:02:20.920]  但是我們讀出來的時候
[00:02:20.920 --> 00:02:25.040]  可能就是全部都套入現代人的那種思想
[00:02:25.040 --> 00:02:27.800]  可能你就了解不到
[00:02:27.800 --> 00:02:34.280]  這個詩篇裏面的那種很特別的地方
[00:02:34.280 --> 00:02:40.440]  有多少大英姊妹已經背了23篇詩篇?
[00:02:40.440 --> 00:02:43.440]  不要說整本聖經
[00:02:43.440 --> 00:02:45.240]  就算在詩篇裏面
[00:02:45.240 --> 00:02:51.440]  你可能要選一段一篇的詩篇來背的時候
[00:02:51.440 --> 00:02:54.440]  我相信你都不會選其他的
[00:02:54.440 --> 00:02:57.880]  你反而會想到是詩篇23篇
[00:02:57.880 --> 00:03:01.600]  有多少大英姊妹已經懂得背?
[00:03:01.600 --> 00:03:03.160]  一個?兩個?
[00:03:03.160 --> 00:03:03.880]  好少
[00:03:03.880 --> 00:03:08.120]  只有五六丁人
[00:03:08.120 --> 00:03:12.240]  那就不考試了
[00:03:12.240 --> 00:03:18.800]  如果不是的話我們就可以嘗試去背這個詩篇
[00:03:18.800 --> 00:03:21.840]  詩篇23篇
[00:03:21.840 --> 00:03:25.920]  給我們有一種很祥和的氣氛
[00:03:25.920 --> 00:03:27.680]  通常你讀的時候
[00:03:27.680 --> 00:03:31.960]  你就會覺得心中很寧靜
