
[00:00:00.000 --> 00:00:05.200]  我經常和一班弟兄姊妹去探訪
[00:00:05.200 --> 00:00:09.720]  我都會很留意一件很深刻的印象
[00:00:09.720 --> 00:00:13.320]  特別在最初期我探訪一些老人家
[00:00:13.320 --> 00:00:18.520]  我見到老人家當我們守完聖餐離開的時間
[00:00:18.520 --> 00:00:23.360]  他都會很慎重地將他的奉獻
[00:00:23.360 --> 00:00:30.000]  從他的荷包或原來已經預備好放在那裏的奉獻給我們
[00:00:30.000 --> 00:00:33.960]  起初我自己都會傻傻地
[00:00:33.960 --> 00:00:38.640]  見他已經退休了,沒有工作
[00:00:38.640 --> 00:00:40.400]  會不會不夠用啊?
[00:00:40.400 --> 00:00:43.200]  不夠用自己留下來也行啊
[00:00:43.200 --> 00:00:45.040]  有時我會和他這樣說
[00:00:45.040 --> 00:00:49.040]  但後來我回家後我再想我真的要悔改
[00:00:49.040 --> 00:00:54.360]  因為我怎可以因為我自己的感受
[00:00:54.360 --> 00:00:59.160]  而抹殺一個老人家對神的心意呢?
[00:00:59.160 --> 00:01:06.920]  其實這些老人家從小已經習慣在神的家裏參與
[00:01:06.920 --> 00:01:12.040]  我們都不應該去看他的金額是多是少
[00:01:12.040 --> 00:01:14.560]  或者他們是否有能力去做到
[00:01:14.560 --> 00:01:17.760]  而是他盡上自己的本份去做
[00:01:17.760 --> 00:01:20.560]  有時我去到一些老人院
[00:01:20.560 --> 00:01:24.360]  我更加擔心當我收這些奉獻的時候
[00:01:24.360 --> 00:01:29.600]  會不會被隔壁的人認為我是騙老婆婆的生果金呢?
[00:01:29.600 --> 00:01:31.480]  所以更加的尷尬
[00:01:31.480 --> 00:01:35.200]  但我後來也克服了這個矛盾
[00:01:35.200 --> 00:01:38.560]  我覺得能夠收他們的奉獻
[00:01:38.560 --> 00:01:41.200]  以致他們回不了教會
[00:01:41.200 --> 00:01:48.080]  可以奉獻到他們一份很莫大的尊重和榮幸
[00:01:48.080 --> 00:01:51.760]  我覺得他們很樂意去奉獻
[00:01:51.760 --> 00:01:56.160]  有時我們作為教睦
[00:01:56.160 --> 00:01:59.200]  我們有時也會想我們有沒有時候
[00:01:59.200 --> 00:02:02.720]  我們也會隨意一點去奉獻
[00:02:02.720 --> 00:02:06.680]  我們有時會將奉獻當作歡樂滿東華
[00:02:06.680 --> 00:02:10.880]  或者是人際慈善星輝夜
[00:02:10.880 --> 00:02:12.480]  隨緣樂助
[00:02:12.480 --> 00:02:14.840]  有多就多有多
[00:02:14.840 --> 00:02:16.800]  捐少有少捐
[00:02:16.800 --> 00:02:18.000]  福有由歸
[00:02:18.000 --> 00:02:19.080]  各位弟兄姊妹
[00:02:19.080 --> 00:02:23.880]  這是不是我們應該奉獻的態度呢?
[00:02:23.880 --> 00:02:28.760]  原來聖經裏面很清楚提到十一奉獻
[00:02:28.760 --> 00:02:32.040]  我相信在教會內的一定會知道這件事
[00:02:32.040 --> 00:02:34.400]  或者有些新來的朋友也不知道
[00:02:34.400 --> 00:02:36.520]  你說今天才知道?
[00:02:36.520 --> 00:02:37.840]  什麼叫十一?
[00:02:37.840 --> 00:02:42.240]  就是將我們收入的十分之一奉獻給神
[00:02:42.240 --> 00:02:43.600]  嘩!很多
[00:02:43.600 --> 00:02:46.920]  給稅也不用給這麼多
[00:02:46.920 --> 00:02:50.000]  有時我們也會有一個試探
[00:02:50.000 --> 00:02:52.800]  有時我們也會覺得很掙扎
[00:02:52.800 --> 00:02:54.640]  但是我們見到
