
[00:00:00.000 --> 00:00:04.000]  讀一段聖經 我們在提摩太前書第三章第十五節
[00:00:04.000 --> 00:00:07.000]  我們一同來念只有一節的聖經
[00:00:07.000 --> 00:00:09.000]  倘若我單言日久
[00:00:09.000 --> 00:00:11.000]  你也可以知道在神的家中
[00:00:11.000 --> 00:00:12.000]  當如何行
[00:00:12.000 --> 00:00:15.000]  這家就是永生神的教會
[00:00:15.000 --> 00:00:17.000]  真理的住室和根基
[00:00:17.000 --> 00:00:19.000]  我們就讀到這裡
[00:00:19.000 --> 00:00:21.000]  昨天有多少人參加我們
[00:00:21.000 --> 00:00:23.000]  快樂家庭日的活動呢
[00:00:23.000 --> 00:00:28.000]  感謝我們昨天的活動辦得成不成功啊
[00:00:29.000 --> 00:00:32.000]  我相信有超過一千五百人來參加
[00:00:32.000 --> 00:00:34.000]  我們遊戲豐富
[00:00:34.000 --> 00:00:36.000]  食物也非常好吃
[00:00:36.000 --> 00:00:38.000]  大人小孩都很盡興
[00:00:38.000 --> 00:00:41.000]  我想在這裡特別要感謝
[00:00:41.000 --> 00:00:44.000]  我們在幕前幕後多少的童工
[00:00:44.000 --> 00:00:46.000]  預備跟擺上
[00:00:46.000 --> 00:00:49.000]  好讓我們能夠享受這個美好的一天
[00:00:49.000 --> 00:00:51.000]  我們鼓掌來謝謝每一位童工們
[00:00:51.000 --> 00:00:56.000]  昨天我們也真的再一次
[00:00:56.000 --> 00:00:59.000]  經歷了當屬靈的大家庭聚集在一起
[00:00:59.000 --> 00:01:02.000]  這種歡聚一堂的喜樂
[00:01:02.000 --> 00:01:05.000]  最近年當我在侍奉的過程當中
[00:01:05.000 --> 00:01:09.000]  我越來越看見建造教會的重要性
[00:01:09.000 --> 00:01:12.000]  教會需要被建造起來
[00:01:12.000 --> 00:01:15.000]  然後每一位信徒在其中
[00:01:15.000 --> 00:01:18.000]  才可以一同被建造
[00:01:18.000 --> 00:01:20.000]  你知道過去在華人教會當中
[00:01:20.000 --> 00:01:22.000]  常常有一種錯誤的觀念
[00:01:22.000 --> 00:01:26.000]  那就是我們比較注重是個人靈命的成長
[00:01:26.000 --> 00:01:30.000]  我們比較注重到我們個人與神的關係
[00:01:30.000 --> 00:01:34.000]  卻很少看重教會的建造
[00:01:34.000 --> 00:01:36.000]  以至於在華人教會當中
[00:01:36.000 --> 00:01:39.000]  我們看見常常有很多很好的基督徒
[00:01:39.000 --> 00:01:41.000]  非常的盡情
[00:01:41.000 --> 00:01:43.000]  生活有美好的見證
[00:01:43.000 --> 00:01:46.000]  但教會卻沒有建造起來
[00:01:46.000 --> 00:01:49.000]  以至於我們也失去了
[00:01:49.000 --> 00:01:51.000]  對世界一個影響力
[00:01:51.000 --> 00:01:55.000]  但事實上我們看見今天神的心意
[00:01:55.000 --> 00:01:57.000]  不但是要我們在這個地上
[00:01:57.000 --> 00:02:00.000]  有更多的基督徒或是更好的基督徒
[00:02:00.000 --> 00:02:03.000]  神的心意乃是要在這個地上
[00:02:03.000 --> 00:02:06.000]  能夠興起一個有使命的群體
[00:02:06.000 --> 00:02:09.000]  能夠有效地影響世界
[00:02:09.000 --> 00:02:13.000]  教會必須先被建造起來
[00:02:13.000 --> 00:02:15.000]  然後信徒在其中
[00:02:15.000 --> 00:02:18.000]  才能夠一同被建造
[00:02:18.000 --> 00:02:22.000]  我們看見神非常看重教會的工作
[00:02:22.000 --> 00:02:24.000]  既然神如此看重教會
[00:02:24.000 --> 00:02:26.000]  那我們做一個神的兒女
