
[00:00:00.000 --> 00:00:04.000]  菩薩師妹,早上好,我們在聆聽主導的意思外,一起同心低頭禱告
[00:00:04.000 --> 00:00:12.000]  父神,多謝祢讓我們可以回到祢的面前
[00:00:12.000 --> 00:00:17.000]  打開祢的啟示,來明白主祢的心思意念
[00:00:17.000 --> 00:00:21.000]  認識主祢是怎樣的一位主,怎樣的一位神
[00:00:21.000 --> 00:00:27.000]  求祢遠為同在,藉著祢的話語,藉著聖靈的引導
[00:00:28.000 --> 00:00:32.000]  使我們能夠真的知道,怎樣在未來的往後的日子當中
[00:00:32.000 --> 00:00:37.000]  站穩在真理裡面,來行走這條屬靈的道路
[00:00:37.000 --> 00:00:43.000]  我們將以下下來,無論是聽的,說的,每一個大顯子妹的心思意念
[00:00:43.000 --> 00:00:46.000]  求聖靈再一次引導我們
[00:00:46.000 --> 00:00:50.000]  我們就同心禱告,奉靠主耶穌基督德性的名字而求
[00:00:50.000 --> 00:00:52.000]  阿們
[00:00:53.000 --> 00:01:00.000]  在教會裡面,有很多信徒可能已經回教會好一段時間了
[00:01:00.000 --> 00:01:07.000]  但究竟我們的信主,對上帝的認識有多少呢
[00:01:07.000 --> 00:01:15.000]  其實我發覺,今天很多信徒回教會的靈性狀態
[00:01:15.000 --> 00:01:20.000]  發展模式就好像很多老夫老妻那樣
[00:01:21.000 --> 00:01:23.000]  老夫老妻的特色是什麼呢
[00:01:23.000 --> 00:01:31.000]  就是你以為他認識了很多年,住在一起很多年,相處了很多年
[00:01:31.000 --> 00:01:36.000]  但原來根本他們所認識的,經過幾十年之後
[00:01:36.000 --> 00:01:40.000]  仍然好像和最初相識的時候,不是多少
[00:01:40.000 --> 00:01:48.000]  不過多了的部份就是平日吵架,為了生活小節爭執那些的部份
[00:01:49.000 --> 00:01:53.000]  他們對對方的認識,其實仍然是很皮毛的
[00:01:53.000 --> 00:01:58.000]  因為他們覺得最初的認識,就是最漂亮最美好
