
[00:00:00.000 --> 00:00:01.300]  這個世界
[00:00:01.300 --> 00:00:04.020]  真的是需要愛
[00:00:04.020 --> 00:00:07.120]  我們看見打開報紙
[00:00:07.120 --> 00:00:09.400]  到處都是紛爭
[00:00:09.400 --> 00:00:12.660]  感謝主
[00:00:12.660 --> 00:00:16.460]  在基督的裡面我們可以建立一個彼此相愛
[00:00:16.460 --> 00:00:18.800]  同心合一的教會
[00:00:18.800 --> 00:00:22.800]  在基督裡面我們可以成為一個平安的
[00:00:22.800 --> 00:00:25.280]  充滿和諧的一個地方
[00:00:25.280 --> 00:00:28.960]  這是教會在這個世界當中
[00:00:28.960 --> 00:00:31.880]  一個非常重要的角色
[00:00:31.880 --> 00:00:39.480]  剛才我們讀的這段聖經裡面
[00:00:39.480 --> 00:00:43.680]  其實如果我們看格林多後書
[00:00:43.680 --> 00:00:46.140]  前面一節大家會比較熟悉
[00:00:46.140 --> 00:00:48.440]  若有人在基督裡
[00:00:48.440 --> 00:00:51.980]  若有人在基督裡他就是新造的人
[00:00:51.980 --> 00:00:55.500]  就是已過一切都變成新的了
[00:00:55.500 --> 00:00:58.700]  在之前保羅在講什麼呢
[00:00:58.960 --> 00:01:01.440]  在十四節開始保羅講了說
[00:01:01.440 --> 00:01:03.800]  原來基督的愛激勵我們
[00:01:03.800 --> 00:01:07.420]  叫我們如今活著不再為自己活
[00:01:07.420 --> 00:01:11.620]  來為那位替我們死而復活的主而活
[00:01:11.620 --> 00:01:16.220]  所以保羅講到原來基督的愛激勵我們
[00:01:16.220 --> 00:01:18.960]  使我們活著為他而活
[00:01:18.960 --> 00:01:23.060]  接著他就說若有人在基督裡
[00:01:23.060 --> 00:01:24.060]  怎麼樣
[00:01:24.060 --> 00:01:26.860]  他就是新造的人
[00:01:26.860 --> 00:01:30.860]  就是已過一切都變成新的了
[00:01:30.860 --> 00:01:33.460]  然後接著他就講這一段話
[00:01:33.460 --> 00:01:35.920]  一切都是出於神
[00:01:35.920 --> 00:01:40.240]  他藉著基督使我們與他怎麼樣
[00:01:40.240 --> 00:01:41.500]  和好
[00:01:41.500 --> 00:01:43.180]  然後呢
[00:01:43.180 --> 00:01:46.540]  他說又將確認與他和好的職分怎麼樣
[00:01:46.540 --> 00:01:47.880]  賜給我們
[00:01:47.880 --> 00:01:50.880]  所以在這段聖經裡面一直在強調一件事情
[00:01:50.880 --> 00:01:52.900]  就是與神怎麼樣
[00:01:52.900 --> 00:01:54.140]  和好
[00:01:54.140 --> 00:01:56.820]  這是神的一個旨意
[00:01:56.820 --> 00:01:59.180]  這是神最重要的一個旨意
[00:01:59.180 --> 00:02:01.920]  就是神要使我們與他和好
[00:02:01.920 --> 00:02:04.360]  並且他也要藉著我們
[00:02:04.360 --> 00:02:07.660]  把這個確認與神和好的這一個職分
[00:02:07.660 --> 00:02:09.060]  他託付給我們
[00:02:09.060 --> 00:02:11.060]  這是今天我跟大家分享的
[00:02:11.060 --> 00:02:14.020]  首先我們來看一件事情
[00:02:14.020 --> 00:02:16.280]  什麼叫做和好
[00:02:16.280 --> 00:02:18.760]  和好的意思
[00:02:18.760 --> 00:02:22.140]  這個字在希臘文是兩個字合在一起的
[00:02:22.140 --> 00:02:24.700]  這個apō
