
[00:00:00.000 --> 00:00:02.560]  弟兄姊妹們 你們好嗎
[00:00:02.560 --> 00:00:04.720]  你們真的好嗎
[00:00:04.720 --> 00:00:07.000]  感謝神啊
[00:00:07.000 --> 00:00:10.520]  願聖靈的平安與大家同在
[00:00:10.520 --> 00:00:14.880]  這段經文說 你們要去
[00:00:14.880 --> 00:00:16.840]  我們怎麼去呢
[00:00:16.840 --> 00:00:18.800]  我首先給大家做一個
[00:00:18.800 --> 00:00:20.880]  廣東話是不是叫大龍鳳啊
[00:00:20.880 --> 00:00:22.560]  做一個大龍鳳
[00:00:22.560 --> 00:00:28.080]  這個呢 是我下個星期五要教的那個
[00:00:28.760 --> 00:00:31.600]  什麼 Eva可不可以幫我拿一下麥
[00:00:31.600 --> 00:00:35.600]  這個是我們下個星期五晚上要上的那個
[00:00:35.600 --> 00:00:39.680]  主日學 要帶領團契的那個DVD的內容
[00:00:39.680 --> 00:00:43.440]  這個呢 是下個星期五的下午
[00:00:43.440 --> 00:00:45.320]  我拿着 這是我的重擔 給我
[00:00:45.320 --> 00:00:48.560]  這個呢 是下個星期五的下午
[00:00:48.560 --> 00:00:50.400]  我們要學的一個親密之旅
[00:00:50.400 --> 00:00:51.760]  我們要帶的一個課程
[00:00:51.760 --> 00:00:54.280]  這個呢 拿這個代表啦
[00:00:54.280 --> 00:00:55.760]  這個是代表星期天
[00:00:55.760 --> 00:00:58.280]  我們要上的102的那個壽喜班
[00:00:59.520 --> 00:01:03.000]  然後這個呢 代表的是我的羊
[00:01:03.000 --> 00:01:05.920]  我關心我們當中的有大羊啦
[00:01:05.920 --> 00:01:08.040]  還有小羊啦
[00:01:08.040 --> 00:01:13.280]  這個呢 可能我家裏面有寵物啊
[00:01:13.280 --> 00:01:15.640]  對於大家來講可能是說
[00:01:15.640 --> 00:01:18.760]  我們家裏面要照顧的一隻寵物 它骨頭
[00:01:18.760 --> 00:01:22.240]  這個呢 代表着我們的重擔
[00:01:22.240 --> 00:01:23.280]  我們要做運動啊
[00:01:23.280 --> 00:01:25.240]  不然我們的肚腩就是我們的重擔了
[00:01:25.240 --> 00:01:26.840]  這是個運動毛巾啊
[00:01:28.800 --> 00:01:30.880]  這個呢 還有飲食健康啊
[00:01:30.880 --> 00:01:33.720]  現在都興喫這個叫什麼奇亞籽啊
[00:01:33.720 --> 00:01:35.520]  有抗氧化的功效
[00:01:35.520 --> 00:01:41.800]  這個呢 我們那個孩子們都要拿獎啊
[00:01:41.800 --> 00:01:42.840]  好申請學校
[00:01:42.840 --> 00:01:47.040]  這個呢 我找不着一層樓讓我背
[00:01:47.040 --> 00:01:50.800]  然後這個是我們要供一層樓啊
[00:01:50.800 --> 00:01:52.400]  生存很大壓力
[00:01:52.400 --> 00:01:56.960]  所以呢 我們就帶着些東西
[00:01:56.960 --> 00:01:57.680]  謝謝一萬
[00:01:58.280 --> 00:01:59.000]  給我
[00:01:59.000 --> 00:02:02.360]  我們就帶着這些東西
[00:02:02.360 --> 00:02:05.040]  我們到神的面前來
[00:02:05.040 --> 00:02:09.520]  神跟我們說 你們要去
[00:02:09.520 --> 00:02:11.760]  使萬民做我的門徒
[00:02:11.760 --> 00:02:16.040]  然後呢 我們就這樣子去
[00:02:16.040 --> 00:02:18.520]  這些呢
[00:02:18.520 --> 00:02:21.560]  你看 我也拿不到
[00:02:21.560 --> 00:02:23.880]  這些呢 就是我們的重擔
[00:02:23.880 --> 00:02:27.360]  我們戰戰兢兢地來到神的面前
[00:02:27.880 --> 00:02:30.960]  也是欣欣然然地要去做
[00:02:30.960 --> 00:02:33.240]  使萬民做神的門徒
[00:02:33.240 --> 00:02:38.000]  但是我們怎麼樣來 怎麼樣去呢
[00:02:38.000 --> 00:02:39.360]  讓我們一起禱告
[00:02:39.360 --> 00:02:45.080]  親愛的天父 我們感謝你
[00:02:45.080 --> 00:02:47.720]  今天是聖靈降靈節
[00:02:47.720 --> 00:02:52.600]  就是紀念耶穌復活昇天後的第五十天
[00:02:52.600 --> 00:02:57.200]  你拆派聖靈降靈
[00:02:58.000 --> 00:02:59.160]  聖靈如火
[00:02:59.160 --> 00:03:02.640]  感動三千人信主
[00:03:02.640 --> 00:03:05.600]  從此這就是一個教會的起點
[00:03:05.600 --> 00:03:09.960]  主啊 你也讓我們到萬民當中去
[00:03:09.960 --> 00:03:12.240]  使萬民做你的門徒
[00:03:12.240 --> 00:03:16.120]  主 我們自己真的是軟弱的
[00:03:16.120 --> 00:03:18.680]  我們不知道如何做你的門徒
[00:03:18.680 --> 00:03:22.240]  就求今天聖靈親自地教導我們
[00:03:22.240 --> 00:03:24.840]  親自地來硬幣我們
[00:03:25.440 --> 00:03:29.040]  把我們當中勞苦擔重擔的 軟弱的
[00:03:29.040 --> 00:03:30.760]  交在主你的手裏面
[00:03:30.760 --> 00:03:35.000]  願主你的聖靈就親自地安慰我們
[00:03:35.000 --> 00:03:37.360]  主你自己親自地與我們同在
[00:03:37.360 --> 00:03:41.320]  讓我們看到主耶穌基督 你對教會的心意
[00:03:41.320 --> 00:03:44.240]  你在我們身上 你對我們自己的心意
[00:03:44.240 --> 00:03:48.040]  謝謝神 聽我們的禱告 奉耶穌基督的名 阿們
[00:03:48.040 --> 00:03:52.040]  好 首先跟大家解一下經
[00:03:52.840 --> 00:03:55.880]  馬太福音第28章18-20節
[00:03:55.880 --> 00:03:57.400]  這段經文呢
[00:03:57.400 --> 00:04:00.880]  耶穌進前來對他們說
[00:04:00.880 --> 00:04:04.840]  天上地下所有的權柄都賜給我了
[00:04:04.840 --> 00:04:08.680]  所以你們要去使萬民做我的門徒
[00:04:08.680 --> 00:04:11.600]  奉父子聖靈的名給他們施洗
[00:04:11.600 --> 00:04:15.240]  凡我所吩咐你們的都教訓他們遵守
[00:04:15.240 --> 00:04:19.320]  我就常與你們同在 直到世界的末了
[00:04:21.320 --> 00:04:26.680]  我們在馬太福音當中有一段經文跟這段經文是平行的
[00:04:26.680 --> 00:04:32.240]  是在馬太福音11章25-30節 我們一起來讀一下
[00:04:32.240 --> 00:04:39.680]  那時耶穌說 父啊 天地的主 我感謝你
[00:04:39.680 --> 00:04:48.640]  因爲你將這些事向聰明通達人就藏起來 向嬰孩就顯出來
[00:04:49.600 --> 00:04:54.520]  父啊 是的 因爲你的美意本是如此
[00:04:54.520 --> 00:05:02.800]  一切所有的都是我父教父我的 除了父沒有人知道子
[00:05:02.800 --> 00:05:08.800]  除了子和子所願意指示的沒有人知道父
[00:05:08.800 --> 00:05:17.320]  凡勞苦擔重擔的人可以到我這裏來 我就使你們得安息
[00:05:18.200 --> 00:05:25.160]  我心裏柔和謙卑 你們擔負我的惡 學我的樣式
[00:05:25.160 --> 00:05:29.200]  你們心裏就必得安息
[00:05:29.200 --> 00:05:35.920]  因爲我的惡是容易的 我的擔子是輕省的
[00:05:35.920 --> 00:05:41.240]  弟兄姊妹 你們心裏面有勞苦重擔嗎
[00:05:41.240 --> 00:05:47.720]  有什麼樣的重擔 什麼樣的勞苦是你正在擔負的呢
[00:05:48.800 --> 00:05:53.720]  那這個地方講到了這兩段的經文 一段是大使命的經文
[00:05:53.720 --> 00:05:59.720]  一段是凡勞苦擔重擔可以到我這裏來的經文 爲什麼
[00:05:59.720 --> 00:06:08.600]  作者在馬太福音兩次講到這樣的經文呢 原來這兩段經文是有聯繫的
[00:06:09.360 --> 00:06:18.320]  首先在馬太福音28章第18節 耶穌說天上地下所有的全秉都賜給我了
[00:06:18.320 --> 00:06:25.880]  這裏的天上地下跟馬太福音11章25節 耶穌說父啊天地的主
[00:06:25.880 --> 00:06:28.640]  這一個天地是同一個字
[00:06:28.640 --> 00:06:37.200]  還有天上地下所有的全秉都賜給我了 這裏的所有的跟馬太福音11章27節
[00:06:38.040 --> 00:06:44.640]  耶穌說一切所有的都是我父教父我的 這兩個所有也是同一個字
[00:06:44.640 --> 00:06:50.640]  還有天上地下所有的全秉都賜給我了 這裏的給
[00:06:50.640 --> 00:06:58.240]  跟耶穌說一切所有的都是我父教父我的那個教父是同一個字
[00:06:58.240 --> 00:07:01.240]  再看一下兩段經文的下文
[00:07:01.960 --> 00:07:10.160]  下文這裏說使萬民做我的門徒 那馬太福音11章這裏29節講到你們
[00:07:10.160 --> 00:07:13.680]  當父我的惡 學我的樣式
[00:07:13.680 --> 00:07:21.040]  這裏的學和使萬民做我的門徒 做門徒和這個學字是同一個字根
[00:07:21.040 --> 00:07:25.400]  所以在這裏耶穌在說什麼呢 他其實是在說
[00:07:26.280 --> 00:07:33.560]  天上地下所有的東西已經賜給我了 所以你們要來來做什麼呢
[00:07:33.560 --> 00:07:41.760]  首先學做我的門徒 什麼是做主耶穌基督的門徒呢 就是不可以靠自己
[00:07:41.760 --> 00:07:43.880]  只可使用我的惡
[00:07:43.880 --> 00:07:50.560]  然後應該怎麼辦呢 然後你們要出去 使其他人也做我的門徒
[00:07:50.560 --> 00:07:55.200]  把我所吩咐你們的一切全都教訓他們遵守
[00:07:56.280 --> 00:08:00.080]  所以我們去之前要先學習來
[00:08:00.080 --> 00:08:10.520]  我們去使別人做門徒之前 我們先要來到耶穌的身邊去學怎麼樣去做耶穌的門徒
[00:08:10.520 --> 00:08:17.120]  那弟兄姊妹很多人都參加過短宣 可能很多人也很喜歡短宣呢
[00:08:17.120 --> 00:08:22.960]  在短宣當中 我們會經歷不一樣的這種的屬靈的經驗
[00:08:23.840 --> 00:08:27.480]  那麼在短宣當中我們可以做什麼呢
[00:08:27.480 --> 00:08:31.960]  其實以我的經驗來講 我們都做不到什麼
[00:08:31.960 --> 00:08:41.040]  我們是放下自己去拓寬自己的境界 不依靠自己的方法 而是看神在那裏去做什麼的功
[00:08:41.040 --> 00:08:48.160]  另外呢 我們在短宣培訓的時候呢 也有一個很重要的一個環節 就是說
[00:08:48.160 --> 00:08:53.600]  我們到了當地要怎麼注重我們每一個人的基督徒的表現
[00:08:54.280 --> 00:09:02.600]  因爲呢 他們看到我們是一個怎麼樣的人 他們就會對我們所信的神有一個怎麼樣的瞭解
[00:09:02.600 --> 00:09:08.800]  啊 我讀神圈院的時候 我們的老師跟我們講說一個啊
[00:09:08.800 --> 00:09:12.400]  messenger就是一個message
[00:09:12.400 --> 00:09:16.880]  就是講道的那個人本身就是一個message
[00:09:17.640 --> 00:09:24.960]  同樣的 我們去使萬民做耶穌基督的門徒的時候 我們是一個怎麼樣的人
[00:09:24.960 --> 00:09:28.000]  我們也帶出一個怎麼樣的信息
[00:09:28.000 --> 00:09:34.120]  那麼馬太福音28張18-20節說讓我們去
[00:09:34.120 --> 00:09:37.880]  使萬民做我的門徒
[00:09:37.880 --> 00:09:47.560]  那馬太福音11張25-30節就解開了這個畫面 就是說我們怎麼做耶穌基督的門徒
