
[00:00:00.000 --> 00:00:04.220]  今天我們看看主席和我們讀的兩段經文
[00:00:04.220 --> 00:00:06.860]  分別在以弗所和哥羅西
[00:00:06.860 --> 00:00:11.480]  保羅差不多類似的提醒
[00:00:11.480 --> 00:00:15.060]  在哥羅西和以弗所對著教會有這樣的提醒
[00:00:15.060 --> 00:00:17.600]  今天看看我們在現實生活裏面
[00:00:17.600 --> 00:00:19.200]  我們作為基督徒
[00:00:19.200 --> 00:00:22.240]  我們怎樣可以實踐主耶穌基督給我們的教訓
[00:00:22.240 --> 00:00:26.200]  在地上盡我們子女和父母的責任
[00:00:26.200 --> 00:00:38.280]  第一點 在主裡
[00:00:38.280 --> 00:00:39.920]  在主裡是甚麼意思
[00:00:39.920 --> 00:00:42.680]  剛才我們說在經文裏面
[00:00:42.680 --> 00:00:45.120]  作兒女的要點
[00:00:45.120 --> 00:00:53.640]  作兒女的要在主裡聽從父母
[00:00:53.640 --> 00:00:55.360]  這個是理所當然的
[00:00:55.360 --> 00:00:59.000]  在主裡聽從父母是理所當然的
[00:00:59.000 --> 00:01:00.280]  如果是父親的話
[00:01:00.280 --> 00:01:03.040]  不要惹兒女的氣
[00:01:03.040 --> 00:01:08.480]  只要照著主的教訓和警戒養育他們
[00:01:08.480 --> 00:01:12.920]  所以看到第一點我想和你們分享的就是在主裡
[00:01:12.920 --> 00:01:16.200]  在主裡是甚麼意思呢
[00:01:16.200 --> 00:01:19.360]  大家明白我們生活在澳洲
[00:01:19.360 --> 00:01:21.960]  不等於我們是Oxford的
[00:01:21.960 --> 00:01:26.360]  就算你拿了澳洲公民入籍
[00:01:26.360 --> 00:01:31.840]  你的生活模式仍然可以用自己家鄉的生活模式來過
[00:01:31.840 --> 00:01:40.080]  你未必在過澳洲人的生活模式、想法
[00:01:40.080 --> 00:01:41.360]  弟兄姊妹
[00:01:41.360 --> 00:01:43.800]  今天你回了教會
[00:01:43.800 --> 00:01:46.960]  甚至可能你洗禮浸禮
[00:01:46.960 --> 00:01:50.440]  不一定等於你在主裡
[00:01:50.440 --> 00:01:52.080]  你會說牧師不是吧
[00:01:52.080 --> 00:01:57.360]  我每個禮拜日都回小組、團契、崇拜
[00:01:57.360 --> 00:02:00.240]  我還不是在主裡
[00:02:00.240 --> 00:02:01.280]  留意
[00:02:01.280 --> 00:02:02.720]  在主裡是甚麼意思呢
[00:02:02.720 --> 00:02:05.360]  保羅說若有人在基督裡他就是新造的人
[00:02:05.360 --> 00:02:06.680]  舊事已過
[00:02:06.680 --> 00:02:08.600]  一切都變成新的
[00:02:08.600 --> 00:02:10.280]  所以最重要的是甚麼
[00:02:10.280 --> 00:02:12.280]  就是我們在神裏面
[00:02:12.280 --> 00:02:13.720]  我們經歷了
[00:02:13.720 --> 00:02:16.200]  我們和神有這個關係
[00:02:16.200 --> 00:02:17.520]  我們認識耶穌
[00:02:17.520 --> 00:02:18.960]  我們跟從耶穌
[00:02:18.960 --> 00:02:20.560]  和神有個人的關係
[00:02:20.560 --> 00:02:23.560]  我們每一天緊緊跟著耶穌
[00:02:23.560 --> 00:02:27.440]  這才是真正在主裡的意思
[00:02:27.440 --> 00:02:29.280]  在主裡
[00:02:29.280 --> 00:02:31.320]  就是我們經常在耶穌裏面
[00:02:31.320 --> 00:02:33.280]  耶穌在我們裏面
[00:02:33.280 --> 00:02:34.760]  在主裡
[00:02:34.760 --> 00:02:36.840]  以致你的心思、你的意念
[00:02:36.840 --> 00:02:40.120]  都會跟著神的心意去行
[00:02:40.120 --> 00:02:41.600]  在主裡
[00:02:41.600 --> 00:02:43.640]  可能有時你會說
[00:02:43.640 --> 00:02:44.400]  為甚麼呢
[00:02:44.400 --> 00:02:46.200]  有時我見到自己
[00:02:46.200 --> 00:02:48.280]  或者有時我們看到身邊的基督徒
[00:02:48.280 --> 00:02:50.600]  信了耶穌之後
[00:02:50.600 --> 00:02:54.560]  他都不改變的
[00:02:54.560 --> 00:02:55.600]  改變
[00:02:55.600 --> 00:02:58.840]  所以改變不是你信了耶穌多久
[00:02:58.840 --> 00:03:02.280]  而是你信耶穌、你跟從耶穌
[00:03:02.280 --> 00:03:06.040]  你有沒有時刻跟著耶穌在神裏面
[00:03:06.040 --> 00:03:07.080]  我很肯定告訴你
[00:03:07.080 --> 00:03:08.920]  如果你時刻和神有一個好的關係
[00:03:08.920 --> 00:03:11.360]  你的生命一定是會有改變的
[00:03:11.360 --> 00:03:12.840]  你身邊的人一定會經歷到
[00:03:12.840 --> 00:03:15.160]  看到你會有改變
[00:03:15.160 --> 00:03:18.280]  有些人可能以前脾氣不好
[00:03:18.280 --> 00:03:19.160]  可能信了耶穌之後
[00:03:19.160 --> 00:03:21.200]  脾氣一樣比較差
[00:03:21.200 --> 00:03:23.960]  但起碼脾氣比起以前
