
[00:00:00.000 --> 00:00:06.120]  保羅的《羅馬書》是一本頗長的新約經卷
[00:00:06.120 --> 00:00:09.200]  總共有十六章
[00:00:09.200 --> 00:00:13.680]  當我們來到十五章下半部的時候
[00:00:13.680 --> 00:00:19.280]  我們知道保羅開始為這封信埋美
[00:00:19.280 --> 00:00:22.080]  我們知道保羅開始為這封信埋美
[00:00:22.080 --> 00:00:24.520]  是因為有很多地方
[00:00:24.520 --> 00:00:31.600]  保羅的思路和用詞開始對應《羅馬書》第一章
[00:00:31.600 --> 00:00:36.160]  如果我們一起去看《羅馬書》第一章和十五章對比的時候
[00:00:36.160 --> 00:00:40.320]  你會發覺這兩章聖經分別都提到
[00:00:40.320 --> 00:00:44.200]  羅馬信徒的信德良善
[00:00:44.200 --> 00:00:49.840]  保羅要在愛邦人中得的果子使愛邦人馴服
[00:00:49.840 --> 00:00:54.760]  保羅有多次的難阻沒辦法來到羅馬的教會
[00:00:54.760 --> 00:00:59.120]  保羅說他自己欠了愛邦人福音的債
[00:00:59.120 --> 00:01:03.520]  而愛邦人又欠了猶太人的債
[00:01:03.520 --> 00:01:07.760]  保羅說他想去到羅馬那裡
[00:01:07.760 --> 00:01:10.880]  將上帝屬靈的恩賜賜給他們
[00:01:10.880 --> 00:01:17.040]  保羅又說他要將基督的封聖的恩典賜給他們
[00:01:17.040 --> 00:01:21.960]  保羅在第一章告訴他們他常常為羅馬教會祈禱
[00:01:21.960 --> 00:01:28.000]  在十五章保羅說叫羅馬教會切切為他祈求
[00:01:28.000 --> 00:01:32.840]  這些對應的思維詞句告訴我們
[00:01:32.840 --> 00:01:35.680]  保羅已經去到尾聲
[00:01:35.680 --> 00:01:42.640]  保羅要幫這本《羅馬書》做一個總結
[00:01:42.640 --> 00:01:45.680]  但是當我們細心看第十五章的時候
[00:01:45.680 --> 00:01:47.920]  我們發現保羅加了一樣東西
[00:01:47.920 --> 00:01:49.840]  加了一樣很重要的東西
[00:01:49.840 --> 00:01:54.720]  加了一樣前面十四、十五章聖經還沒說過的東西
[00:01:54.720 --> 00:02:00.360]  就是他的夢想之旅——西遊記
[00:02:00.360 --> 00:02:01.600]  聖經學者告訴我們
[00:02:01.600 --> 00:02:04.280]  當時保羅寫《羅馬書》的時候
[00:02:04.280 --> 00:02:09.720]  大概在哥倫多 就是中間那個藍色的地點
[00:02:09.720 --> 00:02:16.080]  他當時準備由哥倫多去耶路撒冷 紅色那一帶
[00:02:16.080 --> 00:02:22.040]  接著他希望從耶路撒冷再坐船去羅馬 黃色那一帶
[00:02:22.040 --> 00:02:30.680]  最後他希望從羅馬再坐船去西班牙 綠色那一帶
[00:02:30.680 --> 00:02:32.960]  如果你就這樣看這個地圖的時候
[00:02:32.960 --> 00:02:39.200]  你會發覺如果保羅最終的目的是要去西班牙
[00:02:39.200 --> 00:02:42.880]  他故意要回去耶路撒冷
[00:02:42.880 --> 00:02:50.800]  其實是很浪費時間 很浪費力氣的一件事情
[00:02:50.800 --> 00:02:56.360]  為什麼保羅要反方向這樣去耶路撒冷
[00:02:56.360 --> 00:02:59.240]  難道機票便宜一點
[00:02:59.240 --> 00:03:03.840]  當然保羅不是坐飛機 他坐的是船
[00:03:03.840 --> 00:03:05.080]  聖經學者告訴我們
