
[00:00:00.000 --> 00:00:04.200]  今天跟大家分享的主題是
[00:00:04.200 --> 00:00:07.680]  「實踐祝福萬民的使命」
[00:00:07.680 --> 00:00:10.120]  不知道大家有沒有一種感覺呢
[00:00:10.120 --> 00:00:13.880]  這個主題似曾相識
[00:00:13.880 --> 00:00:18.680]  其實是今季課本的主題
[00:00:18.680 --> 00:00:21.800]  跟大家所選用的經文
[00:00:21.800 --> 00:00:26.440]  就在《紹行傳》第一章第六節至第八節
[00:00:26.440 --> 00:00:28.240]  請聽我讀出
[00:00:29.240 --> 00:00:32.200]  他們聚集的時候問耶穌說
[00:00:32.200 --> 00:00:35.320]  主啊,祢復興以色列國
[00:00:35.320 --> 00:00:37.720]  就在這時候嗎?
[00:00:37.720 --> 00:00:39.160]  耶穌對他們說
[00:00:39.160 --> 00:00:43.120]  負憑著自己的權並所定的時候
[00:00:43.120 --> 00:00:48.080]  日期不是你們可以知道的
[00:00:48.080 --> 00:00:50.840]  但聖靈光臨在你們身上
[00:00:50.840 --> 00:00:53.120]  你們就必得著能力
[00:00:53.120 --> 00:00:57.520]  並要在猶撒冷猶太傳遞和撒瑪利亞
[00:00:57.520 --> 00:01:01.000]  直到地極作我的見證
[00:01:28.280 --> 00:01:30.680]  即是在天國的拓展上
[00:01:30.680 --> 00:01:35.800]  和聖靈光臨在這群門徒身上是有關的
[00:01:35.800 --> 00:01:37.520]  這個我們很理解
[00:01:37.520 --> 00:01:39.640]  當一群門徒跟著耶穌的時候
[00:01:39.640 --> 00:01:41.160]  當耶穌釘上十字架
[00:01:41.160 --> 00:01:46.240]  這群比較年輕的門徒就
[00:01:46.240 --> 00:01:48.160]  做瘦了散,全走了
[00:01:48.160 --> 00:01:51.560]  有些偷偷地看著耶穌怎樣釘十字架
[00:01:51.560 --> 00:01:54.120]  心裡面是很恐懼
[00:01:54.120 --> 00:01:55.680]  恐懼官府
[00:01:55.680 --> 00:01:58.040]  恐懼猶太教的信徒
[00:01:58.040 --> 00:02:01.120]  聖靈那時候還沒有整體光臨到那群門徒身上
[00:02:01.120 --> 00:02:04.320]  所以他沒有辦法履行耶穌對他們的吩咐
[00:02:04.320 --> 00:02:05.840]  要傳福音
[00:02:05.840 --> 00:02:06.720]  要膽量
[00:02:06.720 --> 00:02:09.200]  膽量要從神而來
[00:02:09.200 --> 00:02:11.800]  這群門徒聚集的時候就問耶穌一個問題
[00:02:11.800 --> 00:02:16.640]  他說你復興以色列國就在這時候嗎?
[00:02:16.640 --> 00:02:18.120]  以色列國
[00:02:18.120 --> 00:02:20.520]  不知道大家聽到的時候有什麼印象
[00:02:20.520 --> 00:02:22.640]  今天也有一個以色列國
[00:02:22.640 --> 00:02:24.840]  我們不叫做猶太國
[00:02:24.840 --> 00:02:26.080]  是以色列國
[00:02:26.080 --> 00:02:30.200]  是代表十二支派統一的國度
[00:02:30.200 --> 00:02:31.480]  對這群門徒來說
[00:02:31.480 --> 00:02:35.120]  以色列國就是遠古時代有一個
[00:02:35.120 --> 00:02:37.480]  塑羅建立一個統一王國
[00:02:37.480 --> 00:02:39.400]  後來他離開世界
[00:02:39.400 --> 00:02:41.360]  大衛接續做皇帝
[00:02:41.360 --> 00:02:44.160]  再由他的兒子所羅門接續做王
[00:02:44.160 --> 00:02:45.440]  不過他一死之後
[00:02:45.440 --> 00:02:46.480]  所羅門一死
[00:02:46.480 --> 00:02:49.320]  馬上分為北國和南國
[00:02:49.320 --> 00:02:54.320]  分別被亞述和巴比倫毀滅了
[00:02:54.320 --> 00:02:57.240]  到門徒問耶穌這段時間
[00:02:57.240 --> 00:02:58.560]  何時復國的時候
[00:02:58.560 --> 00:03:02.160]  距離猶太國即是南國
[00:03:02.160 --> 00:03:07.240]  毀滅的時候有620年
[00:03:07.240 --> 00:03:09.280]  在歷史上
[00:03:09.280 --> 00:03:11.840]  沒有一個國家毀滅了之後
[00:03:11.840 --> 00:03:15.760]  超過200年可以復國
[00:03:15.760 --> 00:03:20.200]  所以當日這群猶太人的門徒
[00:03:20.200 --> 00:03:24.360]  問耶穌這個問題是難以實現
[00:03:24.360 --> 00:03:31.440]  除非上帝要復興一個屬地屬土的國家
[00:03:31.440 --> 00:03:36.000]  這群門徒原來最關心的不是天國的事
[00:03:36.000 --> 00:03:38.360]  他們關心的是甚麼事
[00:03:38.360 --> 00:03:43.600]  是他們的民族他們國家的前途
[00:03:43.600 --> 00:03:45.720]  我也是在香港出生的
[00:03:45.720 --> 00:03:48.640]  1959年
[00:03:48.640 --> 00:03:54.640]  如果今天是2019年的話
[00:03:54.640 --> 00:03:55.920]  我應該退休了
[00:03:55.920 --> 00:03:57.520]  剛剛60歲
[00:03:57.520 --> 00:03:58.720]  這麼神奇
[00:03:58.720 --> 00:04:03.960]  我30年前就有一個1989年的民運
[00:04:03.960 --> 00:04:06.320]  原來中國人自己說的
[00:04:06.320 --> 00:04:09.160]  我在內地讀歷史的教授說
[00:04:09.160 --> 00:04:14.720]  我們中國逢九必有大事發生
[00:04:14.720 --> 00:04:17.400]  如果找回歷史又像
[00:04:17.400 --> 00:04:19.640]  1999年有五四運動
[00:04:19.640 --> 00:04:20.760]  1949年又建國
[00:04:20.760 --> 00:04:23.000]  1959年有原子彈發明
[00:04:23.000 --> 00:04:26.160]  中國開始有原子彈等等
[00:04:26.160 --> 00:04:29.520]  去到1989年又有一個重大的政治風波
[00:04:29.520 --> 00:04:32.080]  現在2019年
[00:04:32.080 --> 00:04:34.200]  我收到一份很大的禮物
[00:04:34.200 --> 00:04:38.960]  就是一個叫做公眾活動
[00:04:38.960 --> 00:04:40.840]  我也愛香港
[00:04:40.840 --> 00:04:45.240]  我也很為香港的前途經常祈禱
[00:04:45.240 --> 00:04:48.000]  是很難的
[00:04:48.000 --> 00:04:50.400]  我愛一班學生
[00:04:50.400 --> 00:04:52.320]  我愛一班穿白衣的人
[00:04:52.320 --> 00:04:54.680]  穿黑衣的人
[00:04:54.680 --> 00:04:56.040]  我愛警察
[00:04:56.040 --> 00:04:57.520]  我們愛政府
[00:04:57.520 --> 00:05:00.680]  甚麼人我們都愛
[00:05:00.680 --> 00:05:03.040]  當我讀這段經文的時候
[00:05:03.040 --> 00:05:05.560]  似乎提醒自己
[00:05:05.560 --> 00:05:07.880]  這些沒錯都是我們所愛
[00:05:07.880 --> 00:05:10.600]  我們有感情
[00:05:10.600 --> 00:05:13.480]  我看到香港一時一默
[00:05:13.480 --> 00:05:16.080]  被破壞被蹂躪的時候
[00:05:16.080 --> 00:05:18.040]  心痛
[00:05:18.040 --> 00:05:22.200]  看到人的對立是心痛的
[00:05:22.200 --> 00:05:24.200]  但當我讀這段經文的時候
[00:05:24.200 --> 00:05:26.280]  反而鼓勵到自己
[00:05:26.280 --> 00:05:29.040]  更加的要仰望耶穌基督
[00:05:29.040 --> 00:05:31.800]  所講的每一句說話
[00:05:31.800 --> 00:05:33.440]  我就好像當日的門徒一樣
[00:05:33.440 --> 00:05:35.680]  關心自己的民族
[00:05:35.680 --> 00:05:41.040]  關心自己國家的前途
[00:05:41.040 --> 00:05:43.200]  似乎這班門徒
[00:05:43.200 --> 00:05:45.760]  將自己所關心屬地的角度
[00:05:45.760 --> 00:05:48.240]  和耶穌所關心的天國
[00:05:48.240 --> 00:05:51.240]  混為一談
[00:05:51.240 --> 00:05:56.080]  回到問題裡
[00:05:56.080 --> 00:05:57.800]  那班門徒關心的是
[00:05:57.800 --> 00:05:59.600]  以色列國何時復興
[00:05:59.600 --> 00:06:01.080]  今天有答案了
[00:06:01.080 --> 00:06:03.240]  因為1948年的時候
[00:06:03.240 --> 00:06:07.000]  以色列國真的復活
[00:06:07.000 --> 00:06:09.640]  在歷史上都說沒有一個民族國家
[00:06:09.640 --> 00:06:13.440]  毀滅之後200年可以復國
