
[00:00:00.000 --> 00:00:03.000]  郭先生:各位主席們,早安!
[00:00:03.000 --> 00:00:09.000]  讓我們先聽神的導議,然後再同心同道。
[00:00:09.000 --> 00:00:16.000]  慈悲天父,多謝您讓我們能夠再次回到聖殿當中,一同仰望,一同聆聽主祢的說話。
[00:00:16.000 --> 00:00:23.000]  願每個生命能夠迎見主祢,在永恆的當中,讓我們都能夠真正得見主祢的真光。
[00:00:23.000 --> 00:00:33.000]  所以求主祢真的讓我們在今天能夠再次打開祢的說話的時候,認真將主祢的道理去清楚的領受,並且付諸於實行。
[00:00:33.000 --> 00:00:45.000]  救生我們的生命得以更生變化,求祢都透過祢的聖靈能夠使我們能夠真正謙虛受教的心,存在在整個我們信徒的生命當中。
[00:00:45.000 --> 00:00:53.000]  讓我們能夠真正對主祢的說話不離不棄,對異端邪說的侵襲,我們能夠有智慧的懂識。
[00:00:53.000 --> 00:01:03.000]  讓鬼咋的心,人心,讓我們都能夠一一識破,求祢能夠讓我們這一切能夠透過認識祢的說話所得來的一個能力。
[00:01:03.000 --> 00:01:09.000]  我們禱告感恩,奉主耶穌基督的德性的名字,阿們。
[00:01:09.000 --> 00:01:17.000]  在今天的社會當中,我們經常會見到一些我們稱之為德高望重的人。
[00:01:17.000 --> 00:01:25.000]  什麼叫德高望重的人呢?
[00:01:25.000 --> 00:01:39.000]  這種人可能在社會裏面有很好的聲譽,甚至他以前擔當過一些很重要的職位。
[00:01:39.000 --> 00:01:53.000]  不過這一類的人也可以在這個時代是一點工作官職都沒有,但卻是能夠發出很有影響力的一個人士。
[00:01:53.000 --> 00:02:09.000]  而這些德高望重的人,通常在這個社會群體裏面,都被整體整個社會認為是一個很有領導才能的人。
[00:02:09.000 --> 00:02:24.000]  這些人有什麼例子呢?有時我會想起那些黑社會的江湖大佬,這些老江湖可能是其中的一類。
[00:02:24.000 --> 00:02:39.000]  又或者這一類人是在某一些機構裏面,是屬於元老級的機構的人物,他被人奉為最高權威的人士。
[00:02:39.000 --> 00:02:46.000]  只要他一開口,沒有一個人能夠否定他所說的話。
[00:02:46.000 --> 00:03:02.000]  他一開口所說的話,就好像金波玉律一樣,他一開口說話的決定,甚至被人覺得好像上帝說話一樣。
[00:03:02.000 --> 00:03:16.000]  不知道你有沒有曾經被這一類的德高望重的人去說服在你人生的某一個片段裏面呢?
[00:03:16.000 --> 00:03:24.000]  今天我們會一起去看《仕途行傳》第五章第三十三至四十二節。
[00:03:24.000 --> 00:03:38.000]  聖經同樣說我們記載了一個德高望重的人物,這個人物他有個名,在聖經裏面記載他叫加瑪烈。
[00:03:38.000 --> 00:03:46.000]  加瑪烈這個人,在我們華人教會的圈子裏面,一直流傳著一個這樣的印象。
[00:03:46.000 --> 00:03:59.000]  如果沒有加瑪烈的話,初期教會的信徒,他們的福音工作就會被攔走。
[00:03:59.000 --> 00:04:06.000]  初期教會的門徒,他們的命運也會因此而斷送。
[00:04:06.000 --> 00:04:28.000]  很多的華人信徒,在這種傳統之下,都認為這位加瑪烈德高望重的人,是值得我們華人信徒向他致謝的。
[00:04:28.000 --> 00:04:41.000]  是他救了初期教會的門徒,使他們不會被當時的宗教領袖迫害甚至殺死。
[00:04:41.000 --> 00:04:49.000]  我想這可能是很多弟兄姊妹在座當中有這樣的印象。
[00:04:49.000 --> 00:05:04.000]  不過不如這樣吧,讓我們今天很仔細地去看一下,這個正正是我們在華人教會裏,給那麼多的華人信徒去推崇的一個人物。
[00:05:04.000 --> 00:05:23.000]  看一下他講了什麼,然後我們反而要學習一件事,就是上帝在你和我當中不斷地工作。
[00:05:23.000 --> 00:05:34.000]  在你和我當中不斷地工作,讓我們的焦點調整好,看看上帝是怎麼做事。
[00:05:34.000 --> 00:05:53.000]  藉此可以幫助我們重新得力去面對一個在這個世界上不斷地被世俗化、江湖化的社會現象。
[00:05:53.000 --> 00:06:06.000]  甚至讓我們作為今天的基督徒去面對和處理一個已經深受世俗化影響的教會。
[00:06:06.000 --> 00:06:25.000]  讓我們再次回到聖經第33節開始,我們先看第33節,找到之後我們一起讀第33節。
[00:06:25.000 --> 00:06:36.000]  「公會的人聽見就極其牢牢,想要殺他們。」很簡單的一節聖經。
[00:06:36.000 --> 00:06:49.000]  從一開始,就從這裏開始教給我們知道,世俗化的世界之後,怎麼進入信仰的群體當中,它的表現是怎麼樣的。
[00:06:49.000 --> 00:07:08.000]  甚至第五章第29節,我們已經看過,聖經講到,門徒不害怕大祭司和公會的逼客。
[00:07:08.000 --> 00:07:27.000]  所以在第29節裏面講了一句這樣的說話,信從神不信從人是應當的,並且門徒不僅將這麼重要的信息介紹了出來,
[00:07:27.000 --> 00:07:45.000]  最重要的是他們將主耶穌基督的生命道傳了出來,但是大祭司和公會聽了之後,他們有沒有進行一些反思的工作呢?
[00:07:45.000 --> 00:08:03.000]  或者我們講一講,他們有沒有反省過呢?或者用我媽媽經常跟我說的那句話,你有沒有攝高枕頭想過呢?他們換來是什麼表現呢?
[00:08:03.000 --> 00:08:28.000]  好多時候我們聽別人講說話是很重要的,聖經教了我們一句說話,在雅各書當中,我們要快快地聽,我們要慢慢地動腦。
[00:08:28.000 --> 00:08:46.000]  講話都不要這麼快,聽清楚別人講的話。大祭司和公會的人聽到門徒這樣講,他們有沒有快快地聽呢?
[00:08:46.000 --> 00:09:13.000]  我們要快快地聽,很準確,很小心,很準確地去拿到當中的意義,不要動一下就反過來,現在這個世代的人,無論是老中青都好,聽別人講話就反了,動一下就罰你了。
[00:09:13.000 --> 00:09:37.000]  動一下就說不是,但是,別人還沒說完你還說但是,一聽完之後,他們有沒有反省呢?沒有啊,聖經告訴我們,那個怒氣馬上就出來了。
[00:09:37.000 --> 00:09:49.000]  公會的人一聽見,聖經這裡說,一聽見,他們怎麼樣呢?極其惱怒。
[00:09:49.000 --> 00:10:08.000]  我們留意一下,聖經說,他們接下來會怎麼樣發展呢?聖經說,他們接下來會怎麼樣發展呢?聖經說,他們接下來會怎麼樣發展呢?聖經說,他們接下來會怎麼樣發展呢?聖經說,他們接下來會怎麼樣發展呢?聖經說,他們接下來會怎麼樣發展呢?聖經說,他們接下來會怎麼樣發展呢?聖經說,他們接下來會怎麼樣發展呢?聖經說,他們接下來會怎麼樣發展呢?聖經說,他們接下來會怎麼樣發展呢?聖經說,他們接下來會怎麼樣發展呢?聖經說,他們接下來會怎麼樣發展呢?聖經說,他們接下來會怎麼樣發展呢?聖經說,他們接下來會怎麼樣發展呢?
[00:10:20.000 --> 00:10:48.000]  怎麼見識大祭司呢?叫滿心嫉恨,整天都在一種妒忌的心態裏面,來到這裏聽到真理了,聽到一些對他好的說話,真理是希望人迴轉,上帝希望人迴轉。
[00:10:49.000 --> 00:11:12.000]  聖經說,他們接下來會怎麼樣發展呢?叫滿心嫉恨,整天都在一種妒忌的心態裏面,來到這裏聽到一些對他好的說話,真理是希望人迴轉,上帝希望人迴轉。
[00:11:19.000 --> 00:11:31.000]  他們接下來會怎麼樣發展呢?叫滿心嫉恨,整天都在一種妒忌的心態裏面,來到這裏聽到一些對他好的說話,真理是希望人迴轉。
[00:11:49.000 --> 00:12:16.000]  他們接下來會怎麼樣發展呢?叫滿心嫉恨,整天都在一種妒忌的心態裏面,來到這裏聽到一些對他好的說話,真理是希望人迴轉。
[00:12:19.000 --> 00:12:39.000]  當一個人聽見真理,可以有兩種反應,還有第三種反應,第一個反應是悔改,想一想,反省,把枕頭抬高想一想。
