
[00:00:00.000 --> 00:00:02.760]  首先想大家先看一幅圖片
[00:00:02.760 --> 00:00:14.680]  你見不見到有兩個人
[00:00:14.680 --> 00:00:19.280]  認不認得到其中一個是我
[00:00:19.280 --> 00:00:23.480]  這個就是戴著口罩
[00:00:23.480 --> 00:00:26.520]  戴著面罩
[00:00:26.520 --> 00:00:28.600]  穿著保護衣
[00:00:29.640 --> 00:00:31.920]  去探望隔壁的美女
[00:00:31.920 --> 00:00:33.480]  就是我媽媽
[00:00:33.480 --> 00:00:35.800]  你知道我媽媽在哪裏嗎
[00:00:35.800 --> 00:00:38.120]  不是在醫院
[00:00:38.120 --> 00:00:39.400]  是在安老院
[00:00:39.400 --> 00:00:41.880]  這是上個月拍的照片
[00:00:41.880 --> 00:00:45.560]  差不多一年沒有見面
[00:00:45.560 --> 00:00:47.560]  就是因為疫情的緣故
[00:00:47.560 --> 00:00:51.760]  所謂沒有見面
[00:00:51.760 --> 00:00:53.560]  就是真身面對面
[00:00:53.560 --> 00:00:54.800]  能夠身體接觸
[00:00:55.040 --> 00:00:59.720]  之前都很少機會讓我們見面
[00:00:59.720 --> 00:01:04.000]  自從可能上年差不多五月開始已經停止
[00:01:04.000 --> 00:01:07.480]  直至上個月開始
[00:01:07.480 --> 00:01:09.720]  一個月見一次
[00:01:09.720 --> 00:01:10.720]  一個人
[00:01:10.720 --> 00:01:15.200]  所以我過去代表全家很多人去探望她
[00:01:15.200 --> 00:01:16.680]  我們開了Zoom
[00:01:16.680 --> 00:01:20.080]  就說世界各地孫孫一齊
[00:01:20.080 --> 00:01:21.200]  跟她聊天
[00:01:21.840 --> 00:01:25.800]  實在是很難得很寶貴的機會
[00:01:25.800 --> 00:01:30.000]  能夠可以重逢
[00:01:30.000 --> 00:01:31.920]  雖然在香港
[00:01:31.920 --> 00:01:33.840]  但都是因為疫情的緣故
[00:01:33.840 --> 00:01:36.600]  所以跟她一起聊天
[00:01:36.600 --> 00:01:39.840]  我還擔心她能不能認得到我
[00:01:39.840 --> 00:01:42.680]  年紀很大
[00:01:42.680 --> 00:01:44.280]  今年將會97歲
[00:01:44.280 --> 00:01:48.960]  所以我就問她知道我是誰嗎
[00:01:50.960 --> 00:01:53.040]  因為我變成這個樣子
[00:01:53.040 --> 00:01:54.520]  她可以脫下
[00:01:54.520 --> 00:01:56.440]  我不可以脫下口罩
[00:01:56.440 --> 00:02:01.680]  所以其實中間有很多互相祝福的話
[00:02:01.680 --> 00:02:05.080]  因為見到我都會問候我
[00:02:05.080 --> 00:02:05.760]  怎麼樣
[00:02:05.760 --> 00:02:07.160]  身體健康
[00:02:07.160 --> 00:02:08.920]  我又跟她說身體健康
[00:02:08.920 --> 00:02:11.400]  又要凡事仰望神等等
[00:02:11.400 --> 00:02:12.800]  在這裡都很開心
[00:02:12.800 --> 00:02:13.920]  是不是?等等
[00:02:13.920 --> 00:02:17.160]  最好笑就是我的兒子
[00:02:17.160 --> 00:02:18.320]  在澳洲的兒子
[00:02:18.320 --> 00:02:20.240]  就跟她一個視訊
[00:02:20.240 --> 00:02:21.600]  我兒子說什麼呢?
[00:02:21.600 --> 00:02:23.360]  差不多是說拜年的說話
[00:02:23.360 --> 00:02:24.240]  過年的時候
[00:02:24.240 --> 00:02:26.640]  因為那時候真的沒有機會跟她說
[00:02:26.640 --> 00:02:27.920]  她老公就說
[00:02:27.920 --> 00:02:29.520]  龍馬精神
[00:02:29.520 --> 00:02:30.680]  身體健康
[00:02:30.680 --> 00:02:31.920]  這些說話
[00:02:31.920 --> 00:02:34.480]  差在是否有勵士竇
[00:02:34.480 --> 00:02:37.400]  這個真是很感恩的事情
[00:02:37.400 --> 00:02:40.080]  今天我們都是很難得
[00:02:40.080 --> 00:02:42.480]  我們都是有實體的聚會
[00:02:42.480 --> 00:02:44.760]  真的我們見到面
[00:02:44.760 --> 00:02:47.080]  有時候都認不出
[00:02:47.080 --> 00:02:49.280]  都要慢慢看清楚
