
[00:00:00.000 --> 00:00:04.120]  從今個星期開始我們會開始一個新的講道系列
[00:00:04.120 --> 00:00:06.880]  我們會一同學習《史詩記》
[00:00:06.880 --> 00:00:11.600]  《史詩記》這本書是記錄了從約書雅死了之後
[00:00:11.600 --> 00:00:14.320]  一直到他們第一個國王
[00:00:14.320 --> 00:00:18.440]  出現之間這段以色列人的歷史
[00:00:18.440 --> 00:00:22.040]  這段時間有幾百年
[00:00:22.040 --> 00:00:24.520]  在這幾百年的歷史裏面
[00:00:24.520 --> 00:00:25.960]  他們沒有國王
[00:00:25.960 --> 00:00:27.240]  沒有政府
[00:00:27.240 --> 00:00:31.120]  沒有任何的管治人民的機構
[00:00:31.120 --> 00:00:33.960]  那就是一句話沒有王管
[00:00:33.960 --> 00:00:35.920]  雖然他們有摩西的律法
[00:00:35.920 --> 00:00:37.480]  但是沒有人
[00:00:37.480 --> 00:00:38.640]  也沒有政府
[00:00:38.640 --> 00:00:43.800]  沒有任何的架構機構來執行法律
[00:00:43.800 --> 00:00:45.920]  大家可不可以想象得到
[00:00:45.920 --> 00:00:48.840]  我們是一個社會
[00:00:48.840 --> 00:00:50.000]  是有法律的
[00:00:50.000 --> 00:00:55.680]  不過卻是沒有法律的機構去執行法律
[00:00:55.680 --> 00:00:58.120]  我想大家這樣想一想
[00:00:58.120 --> 00:00:59.600]  交通的條例告訴我們
[00:00:59.600 --> 00:01:03.400]  外面那條路最高只可以走60公里
[00:01:03.400 --> 00:01:05.840]  不過沒有警察
[00:01:05.840 --> 00:01:11.720]  沒有測試速度的錄影機
[00:01:11.720 --> 00:01:16.280]  也沒有政府去追究這些法律責任
[00:01:16.280 --> 00:01:18.200]  你以爲在這樣的情況下
[00:01:18.200 --> 00:01:22.680]  外面那條路的車還會不會走60公里呢
[00:01:22.680 --> 00:01:28.960]  還是外面那條路馬上變成賽車跑道呢
[00:01:28.960 --> 00:01:31.600]  我估計我們大家都不需要試
[00:01:31.600 --> 00:01:35.440]  大家都應該大概可以知道結果
[00:01:35.440 --> 00:01:40.760]  而且事實記這個書卷裏面所記載的故事
[00:01:40.760 --> 00:01:45.640]  也顯露給我們聽人性的軟弱
[00:01:45.640 --> 00:01:48.520]  在整個的事實時期
[00:01:48.520 --> 00:01:55.280]  意識的人其實是反覆地重複地經歷一個循環
[00:01:55.280 --> 00:01:57.280]  這個循環是什麼呢
[00:01:57.280 --> 00:01:59.640]  是他們離開他們的主
[00:01:59.640 --> 00:02:01.040]  離開他們的神
[00:02:01.040 --> 00:02:05.400]  然後他敬拜、侍奉假神、偶像
[00:02:05.400 --> 00:02:09.040]  因此令神憤怒
[00:02:09.040 --> 00:02:11.920]  因此失去了神的賜福
[00:02:11.920 --> 00:02:16.800]  因此就會遭受到外族的攻擊、迫害
[00:02:16.800 --> 00:02:20.840]  而當他們陷在一些困難、迫害的時候
[00:02:20.840 --> 00:02:22.000]  他們無能爲力
[00:02:22.000 --> 00:02:27.720]  沒有辦法去擺脫外族人的迫害
[00:02:27.720 --> 00:02:30.040]  於是他們就求神拯救
[00:02:30.040 --> 00:02:31.960]  神就憐憫他們
[00:02:31.960 --> 00:02:36.320]  在他們當中興起所謂的事司
[00:02:36.320 --> 00:02:39.640]  這個事司就帶領他們、拯救他們
[00:02:39.640 --> 00:02:43.040]  離開外族人的迫害
[00:02:43.040 --> 00:02:47.280]  然後他們又重新得到神的賜福
[00:02:47.280 --> 00:02:51.000]  又重新恢復生活上的和平
[00:02:51.000 --> 00:02:53.680]  甚至繁榮昌盛
[00:02:53.680 --> 00:02:54.840]  不過雖然是這樣
[00:02:54.840 --> 00:02:57.840]  當他們在好的日子的時候
[00:02:57.840 --> 00:02:59.080]  他們沒有感謝神
[00:02:59.080 --> 00:03:03.440]  反而覺得是應份的
[00:03:03.440 --> 00:03:06.840]  甚至再一次離開神
[00:03:06.840 --> 00:03:09.960]  去侍奉、敬拜假神、偶像
[00:03:09.960 --> 00:03:11.440]  就是這樣
[00:03:11.440 --> 00:03:13.040]  這樣的一個循環
[00:03:13.040 --> 00:03:16.640]  另一個循環又開始
[00:03:16.640 --> 00:03:18.960]  整個事司時代的歷史
[00:03:18.960 --> 00:03:22.480]  其實就好像神和偶像
[00:03:22.480 --> 00:03:27.040]  在人的心裏拔河角力一樣
[00:03:27.040 --> 00:03:32.160]  這就是我們今天善與惡之間的鬥爭
[00:03:32.160 --> 00:03:35.440]  雖然這個爭戰
[00:03:35.440 --> 00:03:39.160]  很像一個很抽象的心靈爭戰
[00:03:39.160 --> 00:03:44.280]  但事司紀的故事卻告訴我們
[00:03:44.280 --> 00:03:47.360]  我們錯誤選擇的後果
[00:03:47.360 --> 00:03:51.120]  是相當相當的嚴重
[00:03:51.120 --> 00:03:54.040]  今天事司紀講道系列的第一講
[00:03:54.040 --> 00:03:57.280]  讓我們從一個宏觀的角度
[00:03:57.280 --> 00:03:58.800]  從一個宏觀的角度
[00:03:58.800 --> 00:04:00.880]  來通過第二章的經文
[00:04:00.880 --> 00:04:04.240]  一同探討在這本書裏面
[00:04:04.240 --> 00:04:06.800]  讓我們可以反省神的恩典
[00:04:06.800 --> 00:04:08.880]  和人的軟弱
[00:04:08.880 --> 00:04:12.080]  我們第一個看的
[00:04:12.080 --> 00:04:14.280]  就是在二章一節
[00:04:14.280 --> 00:04:17.040]  講到神的恩典
[00:04:17.040 --> 00:04:18.760]  我想問一問大家
[00:04:18.760 --> 00:04:20.200]  你覺得神的恩典
[00:04:20.200 --> 00:04:22.360]  憐憫或者是愛
[00:04:22.360 --> 00:04:25.680]  是有條件的還是沒有條件的
[00:04:25.680 --> 00:04:27.080]  又或者這樣問
[00:04:27.080 --> 00:04:31.240]  你覺得人和神之間所立的約
[00:04:31.240 --> 00:04:36.040]  是有條件的還是沒有條件的
[00:04:36.040 --> 00:04:37.760]  在今天經文的第一節
[00:04:37.760 --> 00:04:42.040]  神很堅定的來和祂的百姓講
[00:04:42.040 --> 00:04:44.800]  祂說:我永不廢棄
[00:04:44.800 --> 00:04:48.520]  與你們所立的約
[00:04:48.520 --> 00:04:52.920]  這句話是在哪裏講的
[00:04:52.920 --> 00:04:56.840]  根據經文是在波金這個地方講的
[00:04:56.840 --> 00:04:58.640]  如果大家有留意的話
[00:04:58.640 --> 00:05:00.960]  經文也很特意的指出
[00:05:00.960 --> 00:05:04.200]  另外一個地方是吉甲
[00:05:04.200 --> 00:05:08.640]  祂說神的使者是從吉甲去到波金
[00:05:08.640 --> 00:05:10.280]  然後和百姓講話
[00:05:10.280 --> 00:05:12.920]  吉甲這個城市
[00:05:12.920 --> 00:05:14.960]  就在約旦河以西
[00:05:14.960 --> 00:05:19.480]  一個靠近耶利哥附近的城市
[00:05:19.480 --> 00:05:21.120]  我們要問的就是
[00:05:21.120 --> 00:05:22.560]  爲什麼在這裏
[00:05:22.560 --> 00:05:27.240]  聖經特別的來指出吉甲這個地方呢
[00:05:27.240 --> 00:05:28.400]  爲什麼呢
[00:05:28.400 --> 00:05:31.080]  如果我們看約書亞的五章九節
[00:05:31.080 --> 00:05:32.440]  在那裏告訴我們
[00:05:32.440 --> 00:05:37.520]  約書亞當時所領導的新一代的以色列民
