
[00:00:00.000 --> 00:00:03.020]  人生裏面有幾樣東西影響我們很大
[00:00:03.020 --> 00:00:05.020]  第一是我們的家庭
[00:00:05.020 --> 00:00:07.080]  你的家庭影響力很大
[00:00:07.080 --> 00:00:08.620]  你現在怎樣的性格
[00:00:08.620 --> 00:00:10.140]  你喜歡甚麼喜好
[00:00:10.140 --> 00:00:12.780]  即是你的家人、你的父母、你的兄弟姊妹
[00:00:12.780 --> 00:00:13.700]  影響力很大
[00:00:13.700 --> 00:00:16.320]  第二樣很大的影響是甚麼呢?
[00:00:16.320 --> 00:00:17.420]  是朋友
[00:00:17.420 --> 00:00:18.700]  對不對?
[00:00:18.700 --> 00:00:20.540]  所以我有些朋友問他
[00:00:20.540 --> 00:00:21.860]  你退休之後去哪裏呢?
[00:00:21.860 --> 00:00:24.460]  他說我就找我的好朋友
[00:00:24.460 --> 00:00:26.340]  住在同一個城市
[00:00:26.340 --> 00:00:27.800]  我不會搬去其他地方的了
[00:00:27.800 --> 00:00:29.740]  朋友影響力很大
[00:00:30.000 --> 00:00:30.700]  對不對?
[00:00:30.700 --> 00:00:34.300]  所以我們一直從我們成長的時候
[00:00:34.300 --> 00:00:36.300]  我們身邊的朋友影響力很大
[00:00:36.300 --> 00:00:38.100]  第三樣影響力是甚麼呢?
[00:00:38.100 --> 00:00:39.060]  是教會
[00:00:39.060 --> 00:00:39.940]  教會
[00:00:39.940 --> 00:00:43.020]  教會的朋友跟外面的朋友有少許不一樣
[00:00:43.020 --> 00:00:45.020]  教會的朋友我們今天講到
[00:00:45.020 --> 00:00:46.820]  可以有心交的
[00:00:46.820 --> 00:00:48.900]  可以是相交的朋友
[00:00:48.900 --> 00:00:51.860]  所以今天我們講到朋友
[00:00:51.860 --> 00:00:54.300]  你會發覺我們的題目很特別
[00:00:54.300 --> 00:00:56.500]  就是我不想太多瓜葛
[00:00:56.500 --> 00:00:58.420]  不知道是不是這樣寫
