
[00:00:00.000 --> 00:00:03.800]  讓我們首先做一次低頭祈禱
[00:00:03.800 --> 00:00:08.360]  親祖感謝祢去招聚我們在祢的殿裡敬拜
[00:00:08.360 --> 00:00:10.680]  可能有部分大英姐妹因為天與的關係
[00:00:10.680 --> 00:00:12.520]  要在網上參與
[00:00:12.520 --> 00:00:14.920]  讓祢的靈與我們同在
[00:00:14.920 --> 00:00:16.880]  雖然我們在不同的地域
[00:00:16.880 --> 00:00:18.640]  也願意祢教導我們
[00:00:18.640 --> 00:00:20.920]  祢會專一在祢的面前
[00:00:20.920 --> 00:00:23.880]  以心靈和誠實去敬拜祢
[00:00:23.880 --> 00:00:27.040]  更加求聖靈賜給我們有悟性
[00:00:27.040 --> 00:00:31.240]  以致我們能夠明白祢懷中要對我們所講的說話
[00:00:31.240 --> 00:00:32.560]  由遠聽的一道
[00:00:32.560 --> 00:00:35.280]  以及講的也同蒙你的月立
[00:00:35.280 --> 00:00:37.760]  祈禱奉主耶穌基督的名構
[00:00:37.760 --> 00:00:39.840]  阿們
[00:00:39.840 --> 00:00:42.920]  我不知道大家有沒有聽過一句說話
[00:00:42.920 --> 00:00:46.320]  就是對香港人來說
[00:00:46.320 --> 00:00:49.000]  「搵食大過天」
[00:00:49.000 --> 00:00:50.280]  不知道對你來說
[00:00:50.280 --> 00:00:53.520]  是不是「搵食都大過天」呢?
[00:00:53.520 --> 00:00:55.960]  我在網上看過黃子華
[00:00:55.960 --> 00:00:59.880]  他是1998年的動篤笑的
[00:00:59.880 --> 00:01:01.920]  其中一句金句
[00:01:01.920 --> 00:01:04.840]  他說「搵食罷了」
[00:01:04.840 --> 00:01:06.680]  犯法嗎?
[00:01:06.680 --> 00:01:08.920]  你以為我想的嗎?
[00:01:08.920 --> 00:01:11.440]  好像在這三句說話的面前的時候
[00:01:11.440 --> 00:01:14.520]  我們沒有東西可以去回應
[00:01:14.520 --> 00:01:16.040]  因為對香港人來說
[00:01:16.040 --> 00:01:17.880]  在「搵食」的面前
[00:01:17.880 --> 00:01:19.560]  只要「搵到食」
[00:01:19.560 --> 00:01:22.080]  差不多都豁出去了
[00:01:22.080 --> 00:01:23.960]  真的做什麼都可以
[00:01:23.960 --> 00:01:27.920]  遊走於法律的縫隙中間
[00:01:27.920 --> 00:01:29.640]  可以不講道德
[00:01:29.640 --> 00:01:32.000]  也不要講道義
[00:01:32.000 --> 00:01:34.920]  在2021年的一個廣告中
[00:01:34.920 --> 00:01:36.840]  黃子華又出來了
[00:01:36.840 --> 00:01:40.360]  給大家看看這段影片
[00:01:40.360 --> 00:01:42.040]  3 2 1
[00:01:42.040 --> 00:01:43.000]  Action
[00:01:43.000 --> 00:01:45.560]  香港人「搵食」世界第一
[00:01:45.560 --> 00:01:47.640]  因為在香港人的生活之中
[00:01:47.640 --> 00:01:50.640]  「搵食」排名第一
[00:01:50.640 --> 00:01:52.040]  「搵食」是精神
[00:01:52.040 --> 00:01:53.360]  「搵食」是信仰
[00:01:53.360 --> 00:01:55.080]  但只是「搵食」
[00:01:55.080 --> 00:01:58.160]  到頭來我們「搵到啲乜」
[00:01:58.160 --> 00:01:59.240]  「搵到份工」
[00:01:59.240 --> 00:02:01.400]  你父母「搵唔搵到你」
[00:02:01.400 --> 00:02:03.160]  你有沒有見過我兒子?
[00:02:03.160 --> 00:02:04.160]  有沒有見過我兒子?
