
[00:00:00.000 --> 00:00:03.340]  如果你有留意今日的程序的話
[00:00:03.340 --> 00:00:06.500]  你會知道今晚的氣慾
[00:00:06.500 --> 00:00:09.080]  不是我的講道
[00:00:09.080 --> 00:00:13.000]  而是講道之後的聖餐
[00:00:13.000 --> 00:00:15.340]  基督徒有句說話
[00:00:15.340 --> 00:00:20.200]  說「覆杯滿日,my cup overflows」
[00:00:20.200 --> 00:00:21.840]  是出於大衛的詩篇
[00:00:21.840 --> 00:00:24.340]  詩篇二十三篇
[00:00:24.340 --> 00:00:27.140]  但這個所謂的覆杯
[00:00:27.140 --> 00:00:30.380]  講的不是上帝如何祝福我的人生
[00:00:30.380 --> 00:00:35.880]  不是講我們的學業、家庭、事業、健康
[00:00:35.880 --> 00:00:37.500]  如何蒙上帝的福氣
[00:00:37.500 --> 00:00:40.540]  以致我們的覆杯滿日
[00:00:40.540 --> 00:00:43.640]  所謂的覆杯是指向主耶穌基督
[00:00:43.640 --> 00:00:51.040]  在十字架上為你和我成就的永恆的救恩
[00:00:51.040 --> 00:00:53.940]  而被裝載在這個小器皿
[00:00:53.940 --> 00:00:56.300]  稍後大家都有機會領受
[00:00:56.300 --> 00:00:59.340]  裡面的就是耶穌基督
[00:00:59.340 --> 00:01:03.600]  寶貴救恩的代表
[00:01:03.600 --> 00:01:06.300]  今晚我想和你一起思想
[00:01:06.300 --> 00:01:09.440]  有關覆杯的三個問題
[00:01:09.440 --> 00:01:11.080]  三樣東西
[00:01:11.080 --> 00:01:12.640]  第一
[00:01:12.640 --> 00:01:15.640]  這個覆杯的產地
[00:01:15.640 --> 00:01:16.640]  第二
[00:01:16.640 --> 00:01:19.400]  這個覆杯的成本
[00:01:19.400 --> 00:01:20.880]  第三
[00:01:20.880 --> 00:01:23.740]  這個覆杯的價值
[00:01:23.740 --> 00:01:26.500]  如果你是一個商學院的學生
[00:01:26.500 --> 00:01:28.800]  可能你會這樣回答
[00:01:28.800 --> 00:01:32.400]  這個覆杯的產地是中國
[00:01:32.400 --> 00:01:36.040]  這個覆杯的成本少於一元
[00:01:36.040 --> 00:01:40.900]  這個覆杯的價值最多兩元
[00:01:40.900 --> 00:01:43.180]  你這樣說
[00:01:43.180 --> 00:01:44.440]  不錯
[00:01:44.440 --> 00:01:46.780]  但如果你是一個基督徒
[00:01:46.780 --> 00:01:50.100]  你的答案將會很不一樣
[00:01:50.100 --> 00:01:57.700]  你會說這個覆杯的產地是各各他
[00:01:57.700 --> 00:02:00.200]  這個覆杯裡面
[00:02:00.200 --> 00:02:03.600]  裝著的是羔羊
[00:02:03.600 --> 00:02:06.140]  如月節的羔羊
[00:02:06.140 --> 00:02:08.240]  上帝的羔羊
[00:02:08.240 --> 00:02:10.500]  隨聚的羔羊
[00:02:10.500 --> 00:02:13.240]  十字架上面的聖子
[00:02:13.240 --> 00:02:15.440]  耶穌基督
[00:02:15.440 --> 00:02:18.940]  這個覆杯的成本是無價
[00:02:18.940 --> 00:02:21.800]  這個覆杯的成本是天價
[00:02:21.800 --> 00:02:24.100]  這個覆杯的成本是無限
[00:02:24.100 --> 00:02:25.100]  是無限
[00:02:25.100 --> 00:02:26.500]  除了上帝以外
[00:02:26.500 --> 00:02:29.000]  這個世界沒有任何一個人
[00:02:29.000 --> 00:02:31.300]  無論他是世界上最有錢的
[00:02:31.300 --> 00:02:33.360]  他沒有足夠的資源
[00:02:33.360 --> 00:02:38.160]  可以創造到這個覆杯出來
[00:02:38.160 --> 00:02:40.100]  他的產地是各各他
[00:02:40.100 --> 00:02:43.300]  他的成本是無限
[00:02:43.300 --> 00:02:45.760]  他的價值
[00:02:45.760 --> 00:02:48.560]  因人而異
[00:02:48.560 --> 00:02:49.260]  正經這樣說
[00:02:49.260 --> 00:02:53.360]  他說這杯在不信的人
[00:02:53.360 --> 00:02:55.460]  是愚絕
[00:02:55.460 --> 00:02:56.960]  毫無的價值
[00:02:56.960 --> 00:03:03.360]  然而這杯在我們相信的人的身上
[00:03:03.360 --> 00:03:06.160]  是珍貴的
[00:03:06.160 --> 00:03:06.940]  我想問你
[00:03:06.940 --> 00:03:09.960]  今晚你會怎樣對待這個覆杯
[00:03:09.960 --> 00:03:11.260]  一會兒我們都有機會
[00:03:11.260 --> 00:03:12.160]  如果你是一個基督徒
[00:03:12.160 --> 00:03:15.300]  我們有機會領受這個覆杯
[00:03:15.300 --> 00:03:18.440]  你會怎樣對待這個覆杯
[00:03:18.440 --> 00:03:21.400]  喝完就扔
[00:03:21.400 --> 00:03:23.660]  還是你會歡歡喜喜的
[00:03:23.660 --> 00:03:25.700]  變賣一切
[00:03:25.700 --> 00:03:28.500]  為要永遠得著
[00:03:28.500 --> 00:03:35.000]  這個在耶穌基督裡面的覆杯
[00:03:35.000 --> 00:03:40.000]  我想帶你回到二千多年前的耶路撒冷
[00:03:40.000 --> 00:03:42.200]  帶你回到耶穌基督
[00:03:42.200 --> 00:03:45.600]  受死受難的前一晚
[00:03:45.600 --> 00:03:50.200]  也是覆杯的源頭
[00:03:50.200 --> 00:03:53.400]  我們開始看約翰福音第十八章第一節
[00:03:53.400 --> 00:03:54.500]  這樣說
[00:03:54.500 --> 00:03:56.200]  耶穌說了這些話
[00:03:56.200 --> 00:03:59.600]  同門徒出去過了及倫溪
[00:03:59.600 --> 00:04:02.100]  在那裡有一個原子
[00:04:02.100 --> 00:04:05.900]  他和門徒進去了
[00:04:05.900 --> 00:04:07.100]  故事一開始的時候
[00:04:07.100 --> 00:04:11.300]  約翰給了我們兩個地理的標誌
[00:04:11.300 --> 00:04:13.300]  第一個標誌是有名的
[00:04:13.300 --> 00:04:15.100]  叫「及倫溪」
[00:04:15.100 --> 00:04:17.300]  另外一個是沒有名字的標誌
[00:04:17.300 --> 00:04:19.500]  叫「原子」
[00:04:19.500 --> 00:04:20.700]  所以我才告訴我們
[00:04:20.700 --> 00:04:23.500]  「及倫溪」是在「及倫谷」裡面
[00:04:23.500 --> 00:04:25.400]  「及倫谷」是將聖殿
[00:04:25.400 --> 00:04:29.700]  聖殿的山和橄欖山分開的一個谷
[00:04:29.700 --> 00:04:32.000]  遲些我們會回來再說
[00:04:32.000 --> 00:04:34.000]  「及倫溪」的重要性
[00:04:34.000 --> 00:04:35.300]  第二
[00:04:35.300 --> 00:04:37.900]  他說他們在一個原子裡面
[00:04:37.900 --> 00:04:40.900]  如果你去看馬可馬太
[00:04:40.900 --> 00:04:45.500]  福音你知道這個原子有個名字叫「赫西瑪利」
[00:04:45.500 --> 00:04:47.700]  馬可馬太沒有跟我們說
[00:04:47.700 --> 00:04:50.000]  這個原子的名字
[00:04:50.000 --> 00:04:52.300]  唯有約翰
[00:04:52.300 --> 00:04:54.700]  馬可馬太給了我們一個名字
[00:04:54.700 --> 00:04:56.500]  沒有告訴我們它是原子
[00:04:56.500 --> 00:04:58.300]  約翰沒有跟我們說那個名字
[00:04:58.300 --> 00:05:01.500]  但是他告訴我們它是一個原子
[00:05:01.500 --> 00:05:02.300]  如果你是基督徒
[00:05:02.300 --> 00:05:03.800]  你知道在這個原子裡面
[00:05:03.800 --> 00:05:05.200]  在赫西瑪利園裡面
[00:05:05.200 --> 00:05:09.500]  耶穌三次的極其悲傷
[00:05:09.500 --> 00:05:11.800]  耶穌三次的禱告
[00:05:11.800 --> 00:05:14.000]  馴服自己
[00:05:14.000 --> 00:05:17.300]  祂要為我們賞十字額
[00:05:17.300 --> 00:05:18.200]  約翰告訴我們
[00:05:18.200 --> 00:05:22.100]  這件事發生在一個原子裡面
[00:05:22.100 --> 00:05:23.100]  約翰告訴我們
[00:05:23.100 --> 00:05:27.500]  當時耶穌的門徒和耶穌一起
[00:05:27.500 --> 00:05:31.300]  但是我們知道其中一個人不在場
[00:05:31.300 --> 00:05:32.400]  在十二門徒裡面
[00:05:32.400 --> 00:05:36.800]  有一個叫尤大的他離開了
[00:05:36.800 --> 00:05:39.900]  是耶穌派他出去有一個特別的任務
[00:05:39.900 --> 00:05:45.300]  不過這個尤大很快又會歸隊
[00:05:45.300 --> 00:05:47.900]  這次當尤大歸隊的時候
[00:05:47.900 --> 00:05:49.500]  他不是獨自一人回來
[00:05:49.500 --> 00:05:52.800]  他帶了很多的新朋友回來
[00:05:52.800 --> 00:05:55.800]  約翰第十八章第三節
[00:05:55.800 --> 00:05:59.500]  他說尤大領了一隊兵
[00:05:59.500 --> 00:06:04.200]  以及祭司長和法利塞人聖殿的
[00:06:04.200 --> 00:06:11.900]  警衛拿著燈籠火把兵器來到原子裡
[00:06:11.900 --> 00:06:13.800]  尤大帶了兩班人回來
[00:06:13.800 --> 00:06:16.300]  第一班人是猶太人
[00:06:16.300 --> 00:06:17.500]  是有祭司長
[00:06:17.500 --> 00:06:18.900]  有法利塞人
[00:06:18.900 --> 00:06:21.300]  有聖殿的警衛
[00:06:21.300 --> 00:06:24.600]  大概我估計都是幾十人
[00:06:24.600 --> 00:06:26.800]  但是另外一班人是外邦人
[00:06:26.800 --> 00:06:29.400]  他說他帶了一隊兵
[00:06:29.400 --> 00:06:32.100]  這些是羅馬的兵政
[00:06:32.100 --> 00:06:34.700]  如果你讀你的中文、英文
[00:06:34.700 --> 00:06:39.200]  其實你真的不知道有多少個士兵來了
[00:06:39.200 --> 00:06:41.000]  然而在原文裡面
[00:06:41.000 --> 00:06:42.700]  在希臘文裡面
[00:06:42.700 --> 00:06:44.200]  是一個專有名詞
[00:06:44.200 --> 00:06:45.800]  這個一隊兵是一個專有名詞
[00:06:45.800 --> 00:06:47.100]  有多少人呢
[00:06:47.100 --> 00:06:51.000]  這個專有名詞說是一千個兵士
[00:06:51.000 --> 00:06:52.600]  七百六十個步兵
[00:06:52.600 --> 00:06:56.400]  再加二百四十個騎兵
[00:06:56.400 --> 00:06:59.400]  你可不可以想像
[00:06:59.400 --> 00:07:05.400]  那一晚有這麼多的人來圍毆耶穌
[00:07:05.400 --> 00:07:07.800]  就算沒有一千都有好幾百
[00:07:07.800 --> 00:07:10.000]  而且不是鬥固兵
[00:07:10.000 --> 00:07:11.600]  是武功高強
[00:07:11.600 --> 00:07:16.000]  訓練有素的羅馬鬥士
[00:07:16.000 --> 00:07:17.800]  或者你會想
[00:07:17.800 --> 00:07:20.700]  是不是有一點小題大做呢
