
[00:00:00.000 --> 00:00:02.240]  好,所以我們先領受成為位置
[00:00:02.240 --> 00:00:04.240]  我們再一次低頭我們祈禱好嗎?
[00:00:04.240 --> 00:00:08.320]  天位懇求你自己親自來帶去高門孩子所講的信息
[00:00:08.320 --> 00:00:11.960]  願意你自己來帶去透過你的靈
[00:00:11.960 --> 00:00:13.560]  來帶去幫助我們
[00:00:13.560 --> 00:00:15.440]  對我們有更多的反思
[00:00:15.440 --> 00:00:16.960]  求神你來有眷顧
[00:00:16.960 --> 00:00:18.280]  帶領日日的時間
[00:00:18.280 --> 00:00:19.960]  祈禱拉動主德聖的名
[00:00:19.960 --> 00:00:20.760]  Amen
[00:00:20.760 --> 00:00:23.560]  幼兒教育是絕對需要
[00:00:23.560 --> 00:00:25.080]  我想沒有一個人會否定
[00:00:25.080 --> 00:00:27.840]  而我們每一個幼兒教育者
[00:00:27.840 --> 00:00:29.520]  都一定會引用那段經文
[00:00:29.520 --> 00:00:30.560]  大家都很熟悉的
[00:00:30.560 --> 00:00:32.040]  大家都一起來讀一次好嗎?
[00:00:32.040 --> 00:00:33.520]  《針研二十二章》的第六節
[00:00:33.520 --> 00:00:34.520]  我們一起來讀出
[00:00:34.520 --> 00:00:46.040]  每一個的侍奉神
[00:00:46.040 --> 00:00:47.240]  服侍小孩子的人
[00:00:47.240 --> 00:00:48.680]  都會引用這段經文
[00:00:48.680 --> 00:00:50.560]  大家都知道在我們教會裡面
[00:00:50.560 --> 00:00:52.400]  如果你生第一胎的時候
[00:00:52.400 --> 00:00:54.760]  我們會送一個疑似水晶牌給你的
[00:00:54.760 --> 00:00:57.680]  那個水晶牌上面就刻著這一句經文
[00:00:57.680 --> 00:00:59.360]  成為你的提醒
[00:01:00.200 --> 00:01:01.200]  但是如果我們以為
[00:01:01.200 --> 00:01:03.160]  小孩子在他小時候
[00:01:03.160 --> 00:01:06.520]  來不來講一兩個聖經故事給他聽
[00:01:06.520 --> 00:01:10.040]  星期天帶他或者押他回來主一學
[00:01:10.040 --> 00:01:11.440]  那就叫做
[00:01:11.440 --> 00:01:14.720]  幫助到他去認識神的時候
[00:01:14.720 --> 00:01:16.440]  他到老都不偏離
[00:01:16.440 --> 00:01:19.480]  其實你就對這段經文有一個謬誤
[00:01:19.480 --> 00:01:21.280]  我們要承認一件事
[00:01:21.280 --> 00:01:23.400]  一個教會裡面的悲哀是什麼呢?
[00:01:23.400 --> 00:01:25.400]  就是第二代
[00:01:25.400 --> 00:01:27.320]  基督徒是很難成長的
[00:01:27.880 --> 00:01:31.000]  不是所有,但是比其他人更加難成長
[00:01:31.000 --> 00:01:32.800]  什麼叫第二代的基督徒呢?
[00:01:32.800 --> 00:01:34.240]  就是父母是基督徒
[00:01:34.240 --> 00:01:35.880]  從小已經帶回主一學
[00:01:35.880 --> 00:01:37.400]  帶回兒童崇拜
[00:01:37.400 --> 00:01:39.200]  這些人呢
[00:01:39.200 --> 00:01:42.080]  往往到了中學階段
[00:01:42.080 --> 00:01:44.280]  他有自己的獨立思想
[00:01:44.280 --> 00:01:47.040]  他也叫做反叛年齡了
[00:01:47.040 --> 00:01:48.320]  你想想小學的時候
[00:01:48.320 --> 00:01:50.760]  他每一天放學你都知道時間的
[00:01:50.760 --> 00:01:52.320]  但是當他讀到中學的時候
[00:01:52.320 --> 00:01:54.000]  Day 1,Day 2,Day 3,你不知道什麼
[00:01:54.000 --> 00:01:55.680]  他就會有自由時間
[00:01:56.280 --> 00:01:59.280]  好了,再加上不得不承認有時候主一學呢
[00:01:59.280 --> 00:02:00.960]  是教得沉悶一點的
[00:02:00.960 --> 00:02:03.000]  就是千篇一律的
[00:02:03.000 --> 00:02:05.280]  好,你再逼他回來的時候
[00:02:05.280 --> 00:02:07.640]  你中學的時候你逼不到他回來的了
[00:02:07.640 --> 00:02:10.760]  接著有些同學來又挑戰他的信仰
[00:02:10.760 --> 00:02:12.640]  你再怎麼逼他呢?
[00:02:12.640 --> 00:02:13.440]  逼不到
[00:02:13.440 --> 00:02:14.120]  於是
[00:02:14.120 --> 00:02:15.920]  可能他就會成為一個
[00:02:15.920 --> 00:02:17.080]  不信的人
[00:02:17.080 --> 00:02:20.200]  所以我在牧養的方式裡面我經常都有一些
[00:02:20.200 --> 00:02:22.120]  另類的想法的
[00:02:22.120 --> 00:02:25.000]  我就覺得這些小朋友到了六年級
[00:02:25.000 --> 00:02:26.680]  到了中一、中二、中三
[00:02:26.680 --> 00:02:29.600]  不要再逼他回到少年崇拜
[00:02:29.600 --> 00:02:30.880]  或者兒童崇拜
[00:02:30.880 --> 00:02:31.760]  或者主學
[00:02:31.760 --> 00:02:33.200]  如果他願意當然是好
[00:02:33.200 --> 00:02:35.880]  但是我一定會鼓勵他過渡什麼呢?
[00:02:35.880 --> 00:02:37.520]  不用回到崇拜
[00:02:37.520 --> 00:02:38.640]  回到團契
[00:02:38.640 --> 00:02:40.920]  因為團契是怎麼樣的呢?
[00:02:40.920 --> 00:02:42.880]  每個星期的周會都不同
[00:02:42.880 --> 00:02:46.640]  而且團契他們身分證可以自己參與在當中的
[00:02:46.640 --> 00:02:48.400]  領師啊,做些什麼的
[00:02:48.400 --> 00:02:51.640]  他能夠更加的幫助他成長
[00:02:51.640 --> 00:02:54.840]  在團契裡面有些哥哥姐姐來關心他
[00:02:55.160 --> 00:02:56.760]  這樣容易幫助他們
[00:02:56.760 --> 00:02:59.480]  如果他的信仰不掉的時候
[00:02:59.480 --> 00:03:01.640]  到了中三、中四的時候
[00:03:01.640 --> 00:03:03.800]  他就自然會回到崇拜
[00:03:03.800 --> 00:03:05.440]  冥恩堂
[00:03:05.440 --> 00:03:06.520]  頭十幾年
[00:03:06.520 --> 00:03:08.880]  哪有少年崇拜的?
[00:03:08.880 --> 00:03:12.280]  小朋友不是一樣坐在那裡聽大人講道?
[00:03:12.280 --> 00:03:14.000]  一樣可以栽培得到
[00:03:14.000 --> 00:03:16.000]  但是現在這個年代不同了
[00:03:16.000 --> 00:03:17.360]  還有
[00:03:17.360 --> 00:03:19.840]  最大的不幸就是那些抱著小朋友的
[00:03:19.840 --> 00:03:23.240]  我經常都說我有另類的教導的
[00:03:23.600 --> 00:03:26.120]  如果你家裡有工人照顧小朋友
[00:03:26.120 --> 00:03:29.040]  又或者有一些長輩照顧小朋友的時候
[00:03:29.040 --> 00:03:31.160]  而你星期六又不用上班的話
[00:03:31.160 --> 00:03:33.920]  我會建議你不用帶小朋友回崇拜
[00:03:33.920 --> 00:03:37.360]  自己回星期六的早課,星期六的晚課
[00:03:37.360 --> 00:03:39.400]  仍然用工人來照顧
[00:03:39.400 --> 00:03:42.080]  你不要不放心,你平時上班都要讓他照顧
[00:03:42.080 --> 00:03:44.200]  但是如果到了小朋友
[00:03:44.200 --> 00:03:46.640]  歲多的時候就要帶他回來了
[00:03:46.640 --> 00:03:48.680]  因為小朋友很小的時候他不知道什麼的
[00:03:48.680 --> 00:03:50.120]  你帶回來他都看不到的
[00:03:50.120 --> 00:03:52.920]  好了,那你就帶回來讓他有群體生活
[00:03:53.520 --> 00:03:55.320]  我又建議那些夫婦
[00:03:55.320 --> 00:03:56.600]  我知道他們很恩愛
[00:03:56.600 --> 00:04:00.000]  但是我又不覺得你一定要坐在一起來崇拜
[00:04:00.000 --> 00:04:01.520]  特別是在樓下的那些
[00:04:01.520 --> 00:04:04.160]  因為大家都看著小朋友去玩
[00:04:04.160 --> 00:04:05.600]  接著大家就說一下
[00:04:05.600 --> 00:04:07.720]  哎呀,上水的奶粉很貴
[00:04:07.720 --> 00:04:09.760]  哪裡的奶粉便宜
