
[00:00:00.000 --> 00:00:02.220]  激奠他的兒子
[00:00:02.220 --> 00:00:07.480]  如何黎大人有兄弟之間的爭拗
[00:00:07.480 --> 00:00:09.700]  甚至爲了要爭權
[00:00:09.700 --> 00:00:12.380]  而黎大人去殺了自己的兄弟
[00:00:12.380 --> 00:00:15.520]  兄弟之間出現了這些問題
[00:00:15.520 --> 00:00:20.160]  我們就會黎大人去看《士之記》第九章
[00:00:20.160 --> 00:00:23.680]  這一章的聖經其實是一個悲劇
[00:00:23.680 --> 00:00:25.560]  就是講到兄弟之間
[00:00:25.560 --> 00:00:29.120]  黎大人互相去仇殺
[00:00:29.120 --> 00:00:32.960]  很多基督徒對機電的認識集中起來
[00:00:32.960 --> 00:00:35.420]  機電是以小勝多
[00:00:35.420 --> 00:00:38.400]  301人連在內
[00:00:38.400 --> 00:00:41.360]  戰勝了十幾萬的米電人
[00:00:41.360 --> 00:00:44.360]  後來這些人就納他作王
[00:00:44.360 --> 00:00:47.600]  但他說我不要 要由耶和管理你
[00:00:47.600 --> 00:00:49.120]  表面上好像很好
[00:00:49.120 --> 00:00:53.240]  但其實他的生活就慢慢慢慢的墮落了
[00:00:53.240 --> 00:00:57.520]  上次我們看到失敗之父
[00:00:57.520 --> 00:00:58.720]  就是因爲成功
[00:00:58.720 --> 00:01:03.520]  機電他面對以發連人對他的挑戰
[00:01:03.520 --> 00:01:05.360]  好像都很謙讓
[00:01:05.360 --> 00:01:08.080]  就是溫柔的回答
[00:01:08.080 --> 00:01:09.840]  釋去了他們的怒火
[00:01:09.840 --> 00:01:13.160]  但其實是一個政治裏面的考量
[00:01:13.160 --> 00:01:16.380]  因爲以發連之派是很強盛
[00:01:16.380 --> 00:01:19.720]  所以對他的管理是有幫助的
[00:01:19.720 --> 00:01:21.500]  但接着我們又會看回
[00:01:21.500 --> 00:01:25.960]  對着自己的同胞有兩個民族
[00:01:25.960 --> 00:01:29.240]  因爲沒有即時去幫助機電
[00:01:29.240 --> 00:01:33.000]  結果機電就要怎樣去對付他們
[00:01:33.000 --> 00:01:34.880]  甚至要屠城
[00:01:34.880 --> 00:01:36.460]  但是自己人來的
[00:01:36.460 --> 00:01:40.840]  接着今天的這一張聖經
[00:01:40.840 --> 00:01:43.920]  我想很少基督徒在崇拜裏面
[00:01:43.920 --> 00:01:46.540]  會聽過這篇的講道
[00:01:46.540 --> 00:01:48.800]  因爲較爲少用
[00:01:48.800 --> 00:01:51.160]  稍後如果有時間
[00:01:51.160 --> 00:01:56.920]  我會再講一講我聽到一篇的講道令我很大感慨
[00:01:56.920 --> 00:02:00.040]  我們今天看到機電的家庭裏面
[00:02:00.040 --> 00:02:02.200]  他的子女如何互相殘殺
[00:02:02.200 --> 00:02:04.160]  同室抽窩的悲劇
[00:02:04.160 --> 00:02:08.960]  我們上次看到機電他的生活慢慢腐敗
[00:02:08.960 --> 00:02:11.040]  他有衆多的妻妾
[00:02:11.040 --> 00:02:16.080]  所以他的妻妾爲他生下了70個兒子
[00:02:16.080 --> 00:02:19.800]  他自己已經當自己是一個王
[00:02:19.800 --> 00:02:22.880]  因爲他受着迦南宗教的影響
[00:02:22.880 --> 00:02:25.280]  有很多妻妾
[00:02:25.280 --> 00:02:27.160]  他沒有吸取歷史的教訓
[00:02:27.160 --> 00:02:28.360]  不要忘記
[00:02:28.360 --> 00:02:31.520]  他們的祖先
[00:02:31.520 --> 00:02:33.920]  信心之父阿伯拉罕
[00:02:33.920 --> 00:02:36.160]  都有三個太太
[00:02:36.160 --> 00:02:38.960]  特別是頭兩個
[00:02:38.960 --> 00:02:40.500]  生下的兒子
[00:02:40.500 --> 00:02:41.500]  都產生問題
[00:02:41.500 --> 00:02:43.340]  以實、瑪利和以實
[00:02:43.340 --> 00:02:45.460]  還有就是以色列
[00:02:45.460 --> 00:02:46.880]  即是雅各
[00:02:46.880 --> 00:02:48.660]  有四個太太
[00:02:48.660 --> 00:02:50.840]  但亦都因爲這樣的緣故
[00:02:50.840 --> 00:02:52.040]  大家爭拗
[00:02:52.040 --> 00:02:54.820]  他的孩子亦都產生問題
[00:02:54.820 --> 00:02:57.820]  所以多妻帶來的不是幸福
[00:02:57.820 --> 00:02:59.280]  是一個禍患
[00:02:59.280 --> 00:03:01.280]  但他沒有吸取教訓
[00:03:01.280 --> 00:03:06.480]  於是就帶來了下一代的問題
[00:03:06.480 --> 00:03:10.120]  這70個兒子只有兩個兒子的名字被提及
[00:03:10.120 --> 00:03:13.300]  這個就是阿比米勒和約坦
[00:03:13.300 --> 00:03:16.500]  我們先看一看政客的宣傳
[00:03:16.500 --> 00:03:18.920]  第九章一開始時
[00:03:18.920 --> 00:03:22.380]  作者以耶路巴黎的遺址
[00:03:22.380 --> 00:03:25.160]  來描繪阿比米勒
