
[00:00:00.000 --> 00:00:04.000]  今天家庭主日要先轉過來這邊
[00:00:04.000 --> 00:00:06.000]  各位小朋友你們好
[00:00:06.000 --> 00:00:10.000]  可不可以把剛才的聲音給我聽
[00:00:10.000 --> 00:00:12.000]  你們好
[00:00:12.000 --> 00:00:14.000]  哎呀 好小聲啊
[00:00:14.000 --> 00:00:15.000]  希望待會大聲一點
[00:00:15.000 --> 00:00:16.000]  那邊也有
[00:00:16.000 --> 00:00:18.000]  各位大朋友你們好
[00:00:18.000 --> 00:00:19.000]  (大家好)
[00:00:19.000 --> 00:00:21.000]  是的 你們好
[00:00:21.000 --> 00:00:25.000]  歡迎大家來到光之城
[00:00:25.000 --> 00:00:29.000]  光之城是一個很出名又漂亮的城市
[00:00:29.000 --> 00:00:32.000]  還很厲害 經常得獎
[00:00:32.000 --> 00:00:35.000]  他們跟其他身邊周圍城市的關係
[00:00:35.000 --> 00:00:38.000]  都是非常之好的
[00:00:38.000 --> 00:00:41.000]  每一個住在這個城市的居民
[00:00:41.000 --> 00:00:43.000]  他們都覺得很光榮
[00:00:43.000 --> 00:00:45.000]  很自豪
[00:00:45.000 --> 00:00:48.000]  有一天他們要召開一個大會
[00:00:48.000 --> 00:00:51.000]  是一個光之城的代表大會
[00:00:51.000 --> 00:00:55.000]  影音兩個人早了出來
[00:00:55.000 --> 00:01:01.000]  他們怎樣可以讓這個城市更光更好呢
[00:01:01.000 --> 00:01:04.000]  是的 現在運動家出來了
[00:01:04.000 --> 00:01:07.000]  出席的有他們很著名的運動家
[00:01:07.000 --> 00:01:09.000]  這個運動家很強壯
[00:01:09.000 --> 00:01:13.000]  他之前代表光之城得了很多獎
[00:01:13.000 --> 00:01:19.000]  也有他們的又美麗又可愛的親善大使
[00:01:19.000 --> 00:01:21.000]  一個外交家
[00:01:21.000 --> 00:01:23.000]  因為他很親切的笑容
[00:01:23.000 --> 00:01:26.000]  他的表達又非常之好
[00:01:26.000 --> 00:01:29.000]  所以令到光之城和周圍城市的關係
[00:01:29.000 --> 00:01:31.000]  都很有好
[00:01:31.000 --> 00:01:33.000]  他們聊天的時候
[00:01:33.000 --> 00:01:35.000]  就自自然然地說起
[00:01:35.000 --> 00:01:37.000]  外交家就說
[00:01:37.000 --> 00:01:41.000]  如果我們光之城要繼續發展
[00:01:41.000 --> 00:01:44.000]  我們一定要保留最好的東西在這裡
[00:01:44.000 --> 00:01:47.000]  將不好的東西我們要丟走
[00:01:47.000 --> 00:01:49.000]  接著運動家就說
[00:01:49.000 --> 00:01:56.000]  每次都說來不了開會的水泵佬和垃圾佬
[00:01:56.000 --> 00:02:00.000]  那些日做夜做的低下勞工階層
[00:02:00.000 --> 00:02:02.000]  他們來不了不更好
[00:02:02.000 --> 00:02:07.000]  令到他們將我們的質素拉低了
[00:02:07.000 --> 00:02:09.000]  外交家就說
[00:02:09.000 --> 00:02:15.000]  是的 尤其是處理有毒廢料的垃圾佬
[00:02:15.000 --> 00:02:19.000]  我想在他那裡的地方
[00:02:19.000 --> 00:02:22.000]  一定又毒又臭
[00:02:22.000 --> 00:02:24.000]  這些是掩護性行業
[00:02:24.000 --> 00:02:27.000]  真是影響市容
[00:02:27.000 --> 00:02:30.000]  這些說話很快很快就傳到
[00:02:30.000 --> 00:02:34.000]  水泵工人和垃圾工人的耳裡了
[00:02:34.000 --> 00:02:36.000]  垃圾工人就說
[00:02:36.000 --> 00:02:40.000]  是的 我都沒有外交家那麼可愛
[00:02:40.000 --> 00:02:43.000]  我又粗魯又不懂得表達
[00:02:43.000 --> 00:02:46.000]  如果他覺得我不屬於這個城市
[00:02:46.000 --> 00:02:49.000]  那我就走 我不再做了
[00:02:49.000 --> 00:02:52.000]  水泵工人也說
[00:02:52.000 --> 00:02:56.000]  是的 人家運動家劍擊打波舉重
[00:02:56.000 --> 00:02:57.000]  樣樣都那麼厲害
[00:02:57.000 --> 00:03:00.000]  我就只是在這裡日做夜做
[00:03:00.000 --> 00:03:02.000]  日泵夜泵
[00:03:02.000 --> 00:03:05.000]  好 那我就順下你們
[00:03:05.000 --> 00:03:08.000]  不做那麼多 休息一下 罷工
[00:03:08.000 --> 00:03:11.000]  那也好
[00:03:11.000 --> 00:03:14.000]  各位小朋友 大朋友
[00:03:14.000 --> 00:03:16.000]  如果光之城沒有了
[00:03:16.000 --> 00:03:19.000]  垃圾工人和水泵工人
[00:03:19.000 --> 00:03:23.000]  你猜這個城市會變成怎樣呢
[00:03:23.000 --> 00:03:25.000]  行不行啊
[00:03:25.000 --> 00:03:29.000]  我的大朋友很有反應啊
[00:03:29.000 --> 00:03:32.000]  是的 不知道這個城市
