
[00:00:00.000 --> 00:00:03.080]  Hello 大家好 各位聽眾姊妹 早安
[00:00:03.080 --> 00:00:04.620]  早安
[00:00:04.620 --> 00:00:09.760]  在網上才見到真人的樣子
[00:00:09.760 --> 00:00:13.460]  如果我們在實體裏面見面 已經遮了一半
[00:00:13.460 --> 00:00:17.040]  現在在網上 可能這個都是新神態
[00:00:17.040 --> 00:00:19.840]  今天的題目是《新時代的福音使者》
[00:00:19.840 --> 00:00:23.680]  我差點搞錯了
[00:00:23.680 --> 00:00:28.100]  新華有一套跟風沒有關係的卡通片
[00:00:28.100 --> 00:00:30.100]  就是《新時代》 好不好記得?
[00:00:30.100 --> 00:00:31.880]  就是類似這樣的東西
[00:00:31.880 --> 00:00:35.280]  不過我想今天的題目跟大家分享
[00:00:35.280 --> 00:00:39.840]  其實就是特別是講我們現在這個時代
[00:00:39.840 --> 00:00:43.460]  那個環境的變化 其實很多東西都在變
[00:00:43.460 --> 00:00:47.340]  唯一不變的就是神的認許
[00:00:47.340 --> 00:00:50.460]  對我們基督徒來說 很重要的就是
[00:00:50.460 --> 00:00:53.480]  神給我們的使命 可能是千變萬變
[00:00:53.480 --> 00:00:56.200]  什麼都變的時候 唯一不變的東西
[00:00:56.200 --> 00:00:58.820]  特別是在今天那個社會環境
[00:00:58.820 --> 00:01:02.640]  無論你自己的感覺如何
[00:01:02.640 --> 00:01:06.200]  不過在這個周邊給我們的訊息
[00:01:06.200 --> 00:01:11.300]  和身邊的朋友 似乎都瀰漫著一種不安
[00:01:11.300 --> 00:01:15.620]  無論是你身邊 我不知道你的身邊
[00:01:15.620 --> 00:01:18.440]  會不會有很多人都在講移民的問題
[00:01:18.440 --> 00:01:23.400]  又或者是對於現在的疫情的影響
[00:01:23.400 --> 00:01:27.720]  可能近來見到大家 見到面就會問
[00:01:27.720 --> 00:01:29.720]  你打了針沒有?
[00:01:29.720 --> 00:01:33.760]  我跟我的女兒說 如果我要出行的話
[00:01:33.760 --> 00:01:36.960]  我還沒有打的 如果要出行的話 必須要打
[00:01:36.960 --> 00:01:38.660]  打了針之後 就要麼耶路撒冷見
[00:01:38.660 --> 00:01:40.660]  要麼就天家見
[00:01:40.660 --> 00:01:44.520]  可能這個都是我們的新的常態
[00:01:44.520 --> 00:01:47.920]  我想今天和大家分享的這段的訊息
[00:01:47.920 --> 00:01:52.120]  特別是關於一個聖經人物叫做「肥利」
[00:01:52.120 --> 00:01:56.580]  經文剛才已經讀了出來 我在這裡不讀了
[00:01:56.580 --> 00:02:01.080]  我想我們要明白一點 就是在這個背景裏面
[00:02:01.080 --> 00:02:04.920]  其實是在講初期教會所親處的時代
[00:02:04.920 --> 00:02:08.120]  其實我們有些時候會想
[00:02:08.120 --> 00:02:10.680]  當我們有部份的弟兄姊妹
[00:02:10.680 --> 00:02:13.000]  當你是覺得你是其中之一
[00:02:13.000 --> 00:02:16.760]  覺得現在是比較差的、不理想的
[00:02:16.760 --> 00:02:19.000]  其實什麼叫理想呢?
[00:02:19.000 --> 00:02:21.960]  什麼叫好呢?
[00:02:21.960 --> 00:02:25.960]  我昨天在教會 其實這段時間也在做這一類的課程
[00:02:25.960 --> 00:02:28.760]  就是講中國教會的經驗
[00:02:28.760 --> 00:02:32.680]  教會找我講這些題目的原因就是
[00:02:32.680 --> 00:02:34.680]  「一國一制」嘛 是不是?
[00:02:34.680 --> 00:02:37.160]  如果大陸教會有的經驗
[00:02:37.160 --> 00:02:39.720]  其實我們有些什麼可以學習的呢?
[00:02:39.720 --> 00:02:41.000]  不過我想很重要的就是
[00:02:41.000 --> 00:02:45.080]  我們原來很多時候停留在我們所謂「Good old days」
[00:02:45.080 --> 00:02:47.320]  就是我們昔日是好的日子
[00:02:47.320 --> 00:02:50.040]  或者我覺得昔日是好的日子
[00:02:50.040 --> 00:02:52.760]  事實上也是在過去一段時間
[00:02:52.760 --> 00:02:55.800]  香港的處境或者我們的教會
[00:02:55.800 --> 00:02:59.320]  是在一個比較平順、安穩的日子
[00:02:59.320 --> 00:03:02.840]  可以這麼說 你想做什麼都可以
