
[00:00:00.000 --> 00:00:03.620]  讓我們先進入講道和聽道的服侍之先
[00:00:03.620 --> 00:00:05.380]  我們一起去低頭祈禱
[00:00:05.380 --> 00:00:10.520]  自我啟示的三一上帝
[00:00:10.520 --> 00:00:14.920]  感謝你藉著使徒和先知賜下你的話語
[00:00:14.920 --> 00:00:17.320]  求你使用孩子的口
[00:00:17.320 --> 00:00:19.320]  宣講你的說話
[00:00:19.320 --> 00:00:22.920]  又求你祝福在座的每一位
[00:00:22.920 --> 00:00:27.520]  幫助我們能夠聽見你的聲音
[00:00:27.920 --> 00:00:33.820]  又幫助我們的耳朵能夠聽清楚你背後的意思
[00:00:33.820 --> 00:00:37.320]  幫助我們在整個群體裡面
[00:00:37.320 --> 00:00:40.520]  我們每一個人的心都向你開放
[00:00:40.520 --> 00:00:43.920]  樂意回應你自己的心意
[00:00:43.920 --> 00:00:47.520]  我們的祈禱是奉主耶穌基督特聖名自己求
[00:00:47.520 --> 00:00:52.620]  在我們生活裡面
[00:00:52.620 --> 00:00:56.320]  我們經常要面對不同的選擇
[00:00:57.320 --> 00:01:00.520]  無論是你早上吃什麼做早餐
[00:01:00.520 --> 00:01:04.220]  或者你下午去哪一間酒樓喝茶
[00:01:04.220 --> 00:01:06.520]  又或者接下來的假期
[00:01:06.520 --> 00:01:09.120]  你要不要出國旅行
[00:01:09.120 --> 00:01:10.720]  如果要去
[00:01:10.720 --> 00:01:12.120]  你又要去哪裏
[00:01:12.120 --> 00:01:13.620]  買哪裏的機票
[00:01:13.620 --> 00:01:14.620]  去多久
[00:01:14.620 --> 00:01:18.320]  甚至人生一些重大決定
[00:01:18.320 --> 00:01:20.120]  譬如我們的職業
[00:01:20.120 --> 00:01:21.520]  感情
[00:01:21.520 --> 00:01:24.120]  或者一些想追逐的夢想
[00:01:24.620 --> 00:01:27.620]  往往都涉及很多的選擇
[00:01:27.620 --> 00:01:30.620]  在前幾年
[00:01:30.620 --> 00:01:34.520]  網上的世界流行著一張緊圖
[00:01:34.520 --> 00:01:35.920]  又稱 Meme 圖
[00:01:35.920 --> 00:01:38.820]  內容是我全部都要
[00:01:38.820 --> 00:01:47.020]  這是一個出自周星馳電影《九品芝麻官》的電影截圖
[00:01:47.020 --> 00:01:50.020]  這張 Meme 圖是怎樣用的呢
[00:01:50.520 --> 00:01:56.120]  就是當你要從幾項人事物當中作出選擇的時候
[00:01:56.120 --> 00:01:57.720]  它就可以大派用場
[00:01:57.720 --> 00:01:59.120]  舉個例子
[00:01:59.120 --> 00:02:04.220]  假如今早有人在一些討論區去發問
[00:02:04.220 --> 00:02:06.220]  去問買雞尾包好
[00:02:06.220 --> 00:02:07.920]  還是買菠蘿包好
[00:02:07.920 --> 00:02:11.320]  這個時候就不會有人跟他理性分析一下
[00:02:11.320 --> 00:02:13.620]  買哪一個包更加划算
[00:02:13.620 --> 00:02:15.820]  或者更加有營養價值
[00:02:16.520 --> 00:02:22.620]  可能網民都只會用這個「我全部都要」的 Meme 圖作一個回覆
[00:02:22.620 --> 00:02:28.220]  後來這個 Meme 圖更加衍生出另一個網絡術語
[00:02:28.220 --> 00:02:30.820]  叫做「小朋友先做選擇」
[00:02:30.820 --> 00:02:32.520]  「我全部都要」
[00:02:32.520 --> 00:02:36.920]  大概的意思是反問為什麼要去選擇
