
[00:00:00.000 --> 00:00:04.080]  我們深信今天耶穌的愛在我們當中
[00:00:04.080 --> 00:00:08.240]  讓我們想起耶穌是神的兒子
[00:00:08.240 --> 00:00:12.560]  但祂甘願成為人子來到這個世上
[00:00:12.560 --> 00:00:16.320]  祂不是像我們古代聽中國歷史
[00:00:16.320 --> 00:00:20.800]  中國的皇帝在皇宮做皇帝做得滿滿的
[00:00:20.800 --> 00:00:25.840]  於是祂出來看看這個世界有多精彩
[00:00:25.840 --> 00:00:27.840]  看看這個世界有多美
[00:00:27.840 --> 00:00:29.600]  祂不是那些
[00:00:29.600 --> 00:00:33.520]  祂是祂願意賭上肉身來到這個世上
[00:00:33.520 --> 00:00:37.600]  而且祂願意成為僕人的樣式
[00:00:37.600 --> 00:00:41.440]  祂願意將自己的身體寫寄
[00:00:41.440 --> 00:00:43.440]  祂為要成就這個舊人
[00:00:43.440 --> 00:00:47.920]  為要將我們的生命和神的生命再一次連結
[00:00:47.920 --> 00:00:50.720]  和神復和的關係
[00:00:50.720 --> 00:00:53.680]  耶穌就是一個僕人的生命
[00:00:53.680 --> 00:00:55.840]  我們今天要去預備
[00:00:55.840 --> 00:00:57.680]  我們繼續用馬可福音
[00:00:57.680 --> 00:00:59.920]  我們今年整個教會
[00:00:59.920 --> 00:01:02.480]  牧師帶領我們所有的港元
[00:01:02.480 --> 00:01:03.760]  在銅鑼灣的港元
[00:01:03.760 --> 00:01:05.200]  我們會用馬可福音
[00:01:05.200 --> 00:01:07.840]  去講一個僕人的生命的時候
[00:01:07.840 --> 00:01:11.440]  我都預備了這一首的回應詩歌
[00:01:11.440 --> 00:01:14.400]  詩歌是在我預備講章的時候
[00:01:14.400 --> 00:01:16.880]  上網在搜尋的時候
[00:01:16.880 --> 00:01:19.840]  發現有一首詩歌叫《人子》
[00:01:19.840 --> 00:01:23.760]  我發覺裡面的歌詞寫得很好
[00:01:23.760 --> 00:01:25.440]  很感動到我
[00:01:25.440 --> 00:01:28.880]  很希望和大家一起去學習這一首新的詩歌
[00:01:28.880 --> 00:01:30.640]  亦都盼望如果合適的話
[00:01:30.640 --> 00:01:33.920]  我是將未來今年餘下的港島的時候
[00:01:33.920 --> 00:01:37.520]  我都希望可以拿到這一首詩歌來作為我的回應詩
[00:01:37.520 --> 00:01:39.520]  最終就是成就了耶穌
[00:01:39.520 --> 00:01:42.080]  一個赦罪和醫治的神蹟
[00:01:42.080 --> 00:01:44.320]  但是同時間
[00:01:44.320 --> 00:01:47.440]  亦都令到當時的宗教領袖
[00:01:47.440 --> 00:01:50.160]  越發對耶穌的不滿
[00:01:50.160 --> 00:01:51.200]  我們可以看
[00:01:51.200 --> 00:01:54.320]  有三個部分我們可以看一下這件事
[00:01:54.320 --> 00:01:57.120]  第一件事我們看到人的信心
[00:01:57.120 --> 00:02:00.160]  就是成就了耶穌
[00:02:00.160 --> 00:02:01.680]  在三卷福音裡面
