
[00:00:00.000 --> 00:00:05.000]  在我們看《創世紀》的第三章第八節開始
[00:00:05.000 --> 00:00:07.000]  在犯罪之後
[00:00:07.000 --> 00:00:10.000]  神和人的對話
[00:00:10.000 --> 00:00:12.000]  祂的互動
[00:00:12.000 --> 00:00:13.000]  神對人
[00:00:13.000 --> 00:00:15.000]  對魔鬼撒旦
[00:00:15.000 --> 00:00:17.000]  的一些宣判
[00:00:17.000 --> 00:00:20.000]  我們去看神的信實
[00:00:20.000 --> 00:00:22.000]  神的屬性
[00:00:22.000 --> 00:00:23.000]  祂是一個恩賜
[00:00:23.000 --> 00:00:25.000]  又是憐憫
[00:00:25.000 --> 00:00:26.000]  又是一個公義
[00:00:26.000 --> 00:00:28.000]  而且是一個公認我們的神
[00:00:28.000 --> 00:00:31.000]  我們首先看神是一個恩賜的神
[00:00:31.000 --> 00:00:33.000]  第八節講天起了良風
[00:00:33.000 --> 00:00:36.000]  耶和華神在園中行走
[00:00:36.000 --> 00:00:39.000]  那人和祂的妻子聽見神的聲音
[00:00:39.000 --> 00:00:42.000]  就藏在園裡的樹林中
[00:00:42.000 --> 00:00:44.000]  躲避耶和華的面
[00:00:44.000 --> 00:00:47.000]  耶和華神呼喚那人對祂說
[00:00:47.000 --> 00:00:48.000]  「你在那裡」
[00:00:48.000 --> 00:00:49.000]  祂說
[00:00:49.000 --> 00:00:52.000]  「我在園中聽見你的聲音」
[00:00:52.000 --> 00:00:53.000]  「我就害怕」
[00:00:53.000 --> 00:00:58.000]  「因為我赤身露體」
[00:00:58.000 --> 00:01:00.000]  犯罪之後
[00:01:00.000 --> 00:01:01.000]  第一句聖經出現
[00:01:01.000 --> 00:01:03.000]  就是天起了良風
[00:01:03.000 --> 00:01:05.000]  究竟我們看這段經文
[00:01:05.000 --> 00:01:08.000]  其實可以從很多的角度
[00:01:08.000 --> 00:01:10.000]  去看這段經文
[00:01:10.000 --> 00:01:12.000]  我們可以看一下的是
[00:01:12.000 --> 00:01:15.000]  究竟氣候的改變
[00:01:15.000 --> 00:01:16.000]  土壤的改變
[00:01:16.000 --> 00:01:18.000]  對世界有什麼影響
[00:01:18.000 --> 00:01:20.000]  我們可以看一下人的罪
[00:01:20.000 --> 00:01:22.000]  可以專注於人的罪
[00:01:22.000 --> 00:01:24.000]  我們也可以看一下蛇
[00:01:24.000 --> 00:01:26.000]  看一下撒旦的作為
[00:01:26.000 --> 00:01:28.000]  但我們這次主要是說
[00:01:28.000 --> 00:01:31.000]  神的屬性
[00:01:31.000 --> 00:01:32.000]  天起了良風
[00:01:32.000 --> 00:01:34.000]  風一直都是神創造
[00:01:34.000 --> 00:01:36.000]  一直都存在
[00:01:36.000 --> 00:01:39.000]  只是人的感覺上的改變
[00:01:39.000 --> 00:01:41.000]  當人離開了神
[00:01:41.000 --> 00:01:43.000]  失去了神的溫暖
[00:01:43.000 --> 00:01:45.000]  失去了神的保護
[00:01:45.000 --> 00:01:47.000]  其實在《創世紀》裡面說
[00:01:47.000 --> 00:01:50.000]  神的創造原是美好
