
[00:00:00.000 --> 00:00:06.000]  我哋一齊同心禱告
[00:00:06.000 --> 00:00:10.000]  教會主我們獻上感恩
[00:00:10.000 --> 00:00:13.000]  你將我哋朝聚一起
[00:00:13.000 --> 00:00:16.000]  我哋本來唔認識對方
[00:00:16.000 --> 00:00:20.000]  我哋嚟自唔同嘅背景
[00:00:20.000 --> 00:00:22.000]  但因著我哋信你嘅命
[00:00:22.000 --> 00:00:24.000]  今日我哋能夠被朝聚
[00:00:24.000 --> 00:00:28.000]  我哋獻上感謝
[00:00:28.000 --> 00:00:31.000]  亦感謝你讓我哋
[00:00:31.000 --> 00:00:34.000]  當中有唔同嘅年齡
[00:00:34.000 --> 00:00:37.000]  喺人生唔同嘅階段裏面
[00:00:37.000 --> 00:00:40.000]  彼此嘅學習
[00:00:40.000 --> 00:00:43.000]  求主幫助我哋
[00:00:43.000 --> 00:00:44.000]  教導我哋
[00:00:44.000 --> 00:00:48.000]  你要朝聚我哋嘅目的
[00:00:48.000 --> 00:00:53.000]  你要我哋唔同嘅年齡層走埋一齊
[00:00:53.000 --> 00:00:56.000]  你要我哋點樣嘅成長呢
[00:00:56.000 --> 00:00:57.000]  求主你教導我哋
[00:00:57.000 --> 00:00:59.000]  咁祈禱奉耶穌基督的名
[00:00:59.000 --> 00:01:00.000]  阿們
[00:01:00.000 --> 00:01:04.000]  有人用四季去比喻人生
[00:01:04.000 --> 00:01:06.000]  春夏秋冬
[00:01:06.000 --> 00:01:10.000]  如果春天你會諗起人生邊個階段
[00:01:10.000 --> 00:01:13.000]  BB仔出世
[00:01:13.000 --> 00:01:14.000]  好好奇
[00:01:14.000 --> 00:01:17.000]  好春天嘅成件事
[00:01:17.000 --> 00:01:18.000]  真係好好
[00:01:18.000 --> 00:01:20.000]  好有朝氣
[00:01:20.000 --> 00:01:22.000]  夏天呢
[00:01:22.000 --> 00:01:23.000]  夏天諗起青年
[00:01:23.000 --> 00:01:25.000]  好有活力嘅
[00:01:25.000 --> 00:01:29.000]  好鍾意見到陽光嘅
[00:01:29.000 --> 00:01:33.000]  好shy嘅
[00:01:33.000 --> 00:01:36.000]  到到秋天
[00:01:36.000 --> 00:01:39.000]  你會諗起邊個年齡層呢
[00:01:39.000 --> 00:01:44.000]  秋天成熟
[00:01:44.000 --> 00:01:48.000]  呢個階段嘅人都幾唔容易
[00:01:48.000 --> 00:01:50.000]  好似甲新階層
[00:01:50.000 --> 00:01:52.000]  上有高堂
[00:01:52.000 --> 00:01:54.000]  下有兒女
[00:01:54.000 --> 00:01:57.000]  但係唔係淨係咁簡單
[00:01:57.000 --> 00:01:59.000]  將呢兩個年齡層
[00:01:59.000 --> 00:02:02.000]  背負喺自己嘅背脊裏面
[00:02:02.000 --> 00:02:03.000]  去承擔
[00:02:03.000 --> 00:02:04.000]  所以呢
[00:02:04.000 --> 00:02:05.000]  個人呢
[00:02:05.000 --> 00:02:07.000]  邁向成熟
[00:02:07.000 --> 00:02:10.000]  去到冬天
[00:02:10.000 --> 00:02:12.000]  冬天係我哋
[00:02:12.000 --> 00:02:13.000]  即係
[00:02:13.000 --> 00:02:14.000]  中國人不嬲呢
[00:02:14.000 --> 00:02:15.000]  好重視嘅
[00:02:15.000 --> 00:02:16.000]  點解呀
[00:02:16.000 --> 00:02:17.000]  因為呢
[00:02:17.000 --> 00:02:19.000]  我哋會喺個時候呢
[00:02:19.000 --> 00:02:22.000]  就會一家人團聚
