
[00:00:00.000 --> 00:00:03.960]  今天我們看貼撒諾尼加前書五章十九至二十二節
[00:00:03.960 --> 00:00:08.480]  先我們看貼撒諾尼加前書五章十九節到二十二節
[00:00:08.480 --> 00:00:12.280]  不要消滅聖靈的感動
[00:00:12.280 --> 00:00:15.920]  不要藐視先知的講論
[00:00:15.920 --> 00:00:21.320]  貼撒諾尼加教會有聖靈的工作
[00:00:21.320 --> 00:00:26.000]  英文翻譯就是有聖靈的火
[00:00:26.000 --> 00:00:32.120]  另外一方面信徒他們有些特別的彰顯
[00:00:32.120 --> 00:00:33.800]  譬如他們會講方言
[00:00:33.800 --> 00:00:38.280]  另外一方面教會的信徒有特別的彰顯
[00:00:38.280 --> 00:00:39.720]  比如說他們會講方言
[00:00:39.720 --> 00:00:42.680]  甚至他們會唱靈歌
[00:00:42.680 --> 00:00:46.400]  其中甚至有能夠作先知性的宣講話語
[00:00:46.400 --> 00:00:50.320]  甚至他們有能力作先知性的講論
[00:00:50.320 --> 00:00:53.400]  總之聖靈的工作
[00:00:53.400 --> 00:00:55.080]  就有一些特別的彰顯出來
[00:00:55.080 --> 00:00:56.920]  就有一些特別的彰顯出來
[00:00:56.920 --> 00:01:00.480]  保羅在這裏提醒貼撒諾尼加教會的弟兄姐妹
[00:01:00.480 --> 00:01:02.880]  保羅在這裏提醒貼撒諾尼加教會的弟兄姐妹
[00:01:02.880 --> 00:01:05.240]  你不要否認
[00:01:05.240 --> 00:01:07.280]  你不要藐視
[00:01:07.280 --> 00:01:09.600]  你不要消滅
[00:01:09.600 --> 00:01:11.600]  你不要看輕
[00:01:11.600 --> 00:01:15.080]  不過有一件事你要留意
[00:01:15.080 --> 00:01:19.160]  你要有一個廣闊的空間
[00:01:19.160 --> 00:01:23.440]  去接受這些聖靈的工作
[00:01:23.440 --> 00:01:26.800]  去接受這些先知的講論
[00:01:26.800 --> 00:01:29.080]  但是有一件事請你留意
[00:01:29.080 --> 00:01:31.440]  就是你要謹慎
[00:01:31.440 --> 00:01:35.960]  凡事你都要測驗
[00:01:35.960 --> 00:01:41.920]  聖靈感動之後或者先知教導之後
[00:01:41.920 --> 00:01:43.800]  你要去測驗
[00:01:43.800 --> 00:01:45.640]  你要去辨別
[00:01:45.640 --> 00:01:47.200]  你要去分辨
[00:01:47.200 --> 00:01:49.000]  你要去考察
[00:01:49.000 --> 00:01:53.280]  到底是合不合格的
[00:01:53.280 --> 00:01:54.920]  是不是真正的
[00:01:54.920 --> 00:01:57.040]  是不是美好的
[00:01:57.040 --> 00:01:58.040]  如果是的話
[00:01:58.040 --> 00:01:59.600]  應該要持守
[00:01:59.600 --> 00:02:01.920]  應該要擁有
[00:02:01.920 --> 00:02:06.280]  所以
[00:02:06.280 --> 00:02:07.680]  義師這句話是怎麼說的呢
[00:02:07.680 --> 00:02:09.880]  所以義師這句話怎麼說呢
[00:02:09.880 --> 00:02:12.000]  各樣壞的
[00:02:12.000 --> 00:02:14.160]  就要遠避
[00:02:14.160 --> 00:02:16.200]  這個就是一個很好的屬靈原則
[00:02:16.200 --> 00:02:17.480]  這個就是很好的屬靈的原則
[00:02:17.480 --> 00:02:20.200]  值得我們謹記的一個原則
[00:02:20.200 --> 00:02:24.560]  甚至我覺得很值得成爲一個很普及的原則
[00:02:24.560 --> 00:02:27.680]  甚至我覺得是一個值得很普及的原則
[00:02:27.680 --> 00:02:29.080]  特別在香港這個社會
