
[00:00:00.000 --> 00:00:05.260]  今天是第五天 主耶穌是誰呢?
[00:00:05.260 --> 00:00:10.900]  就是創造者 創造者不是父上帝嗎?
[00:00:10.900 --> 00:00:12.900]  是主耶穌嗎?
[00:00:12.900 --> 00:00:18.180]  我們看看聖經吧 我們先禱告
[00:00:18.180 --> 00:00:22.060]  願以天父幫助我們更多明白
[00:00:22.060 --> 00:00:31.020]  你是將你自己的全部萬有 所有你的都放在主耶穌裏面
[00:00:31.020 --> 00:00:33.540]  其實主耶穌就是你自己
[00:00:33.540 --> 00:00:40.220]  只不過是曾經化身成為一個肉身來到我們當中
[00:00:40.220 --> 00:00:42.940]  幫助我們更多認識主耶穌
[00:00:42.940 --> 00:00:44.460]  從來沒有人見過神
[00:00:44.460 --> 00:00:49.380]  不過是父懷裡的獨生子將你表明出來
[00:00:49.380 --> 00:00:55.220]  幫助我們更多從不同角度去思考主耶穌你的兒子
[00:00:55.220 --> 00:01:01.400]  以致我們更多認識 明白你 敬拜你 又敬畏你
[00:01:01.400 --> 00:01:03.880]  求聖靈幫助我們
[00:01:03.880 --> 00:01:09.100]  讓我們在讀聖經之前先來靈修敬拜個人道主面前
[00:01:09.100 --> 00:01:13.500]  獻上我們的屈膝 獻上我們心裏面的稱頌
[00:01:13.500 --> 00:01:18.700]  獻上我們的高舉 獻上我們的尊崇
[00:01:18.700 --> 00:01:20.780]  願你崇高
[00:01:20.780 --> 00:01:25.500]  你自己本身就是色在今在以後永在的上主
[00:01:25.500 --> 00:01:31.580]  是你讓這個世界生成 是你讓這個世界持續
[00:01:31.580 --> 00:01:37.180]  是你有一天要回來審判與結束這個世界
[00:01:37.180 --> 00:01:39.820]  幫助我們謙卑的苦逢
[00:01:39.820 --> 00:01:46.780]  很多時候世界的王這個魔鬼會令我們認為自己就是世界的王
[00:01:46.780 --> 00:01:49.380]  這個世界是隨著我轉的 其實不是
[00:01:49.380 --> 00:01:51.780]  世界是屬於你的
[00:01:51.780 --> 00:01:55.100]  所有世代都是屬於你的
[00:01:55.100 --> 00:01:59.260]  讚美你 色在 今在 以後永在
[00:01:59.260 --> 00:02:02.860]  但願權柄榮耀 尊貴全屬於你
[00:02:02.860 --> 00:02:08.660]  國道權柄榮耀 全是你的 直到永遠 阿門
[00:02:08.660 --> 00:02:13.900]  我們讚美主 然後我們來讀聖經
[00:02:13.900 --> 00:02:17.940]  你是誰? 耶穌 主耶穌 你是哪位?
[00:02:17.940 --> 00:02:24.180]  創造者 是我第五個跟大家看的一個層面
[00:02:24.180 --> 00:02:26.700]  或者叫做角度
[00:02:26.700 --> 00:02:30.100]  《約翰福音》第一章第三節是這樣的
[00:02:30.100 --> 00:02:34.140]  我們也讀過了 不過可能不特別十分留意
[00:02:34.140 --> 00:02:35.900]  其實已經說過了
[00:02:35.900 --> 00:02:37.660]  一章第三節是說
[00:02:37.660 --> 00:02:41.660]  萬物是藉著他做的
[00:02:41.660 --> 00:02:47.260]  凡被做的 會有一樣不是藉著他做的
[00:02:47.260 --> 00:02:51.820]  萬物是藉著他 這個他就是主耶穌
[00:02:51.820 --> 00:02:56.380]  凡被做的是沒有一樣不是他做的
[00:02:56.380 --> 00:02:59.940]  不過這裡留意兩個字是藉著
[00:02:59.940 --> 00:03:02.860]  看看經文解釋一下
[00:03:02.860 --> 00:03:04.980]  《約翰福音》一章第三節
[00:03:04.980 --> 00:03:24.460]  萬物是藉著他做的 藉著是透過因著
[00:03:24.460 --> 00:03:30.940]  或者是through 所有東西都是透過他而做的
[00:03:30.940 --> 00:03:36.780]  好了 哇 一間大樓建好了
[00:03:36.780 --> 00:03:40.060]  那誰要建這一間大樓?
[00:03:40.060 --> 00:03:45.180]  有一個老闆他擁有這塊地
[00:03:45.180 --> 00:03:47.100]  又擁有資本
[00:03:47.100 --> 00:03:50.700]  於是他有很多的材料可以獲得
[00:03:50.700 --> 00:03:54.380]  然後他就找人
[00:03:54.380 --> 00:03:58.380]  那些人其實是他自己的人來的
[00:03:58.380 --> 00:04:05.980]  他請也好 他生也好 有他的人來將這個大樓建好了
[00:04:05.980 --> 00:04:10.780]  當然我們今天建一間大樓就要透過很多人
[00:04:10.780 --> 00:04:13.780]  各類不同的工種建好它
[00:04:13.780 --> 00:04:17.180]  由設計至到完成 至到裝修
[00:04:17.180 --> 00:04:22.220]  至到驗收等等 哇 搞了幾年都還沒有搞好
[00:04:22.220 --> 00:04:29.820]  但是如果說是一個非常厲害的由設計至施工
[00:04:29.820 --> 00:04:32.740]  一句話就做好了 哇 這麼厲害的?
[00:04:32.740 --> 00:04:38.100]  是啊 這個就是上帝本身就是他的遺旨了
[00:04:38.100 --> 00:04:41.700]  他的說話 造神說
[00:04:41.700 --> 00:04:45.580]  這個說就是昨天說的Word Logos
[00:04:45.580 --> 00:04:50.940]  或者是背後維持著宇宙萬物運作的那個神說
[00:04:50.940 --> 00:04:54.620]  他說怎樣就怎樣了 他說就行了
[00:04:54.620 --> 00:04:58.540]  因為他有這樣的力量 也有這樣的權能
[00:04:58.540 --> 00:05:03.740]  我們裝修這麼多房子 搞了三個月半年
[00:05:03.740 --> 00:05:06.580]  小小的那些香港小房子
[00:05:06.580 --> 00:05:10.860]  但是上帝創造這個世界宇宙萬物
[00:05:10.860 --> 00:05:12.900]  做一個宮殿給自己
[00:05:12.900 --> 00:05:16.140]  在裏面可以坐下做皇宮才行
[00:05:16.140 --> 00:05:21.380]  又有小小的一個好位置 一間上房叫做伊甸
[00:05:21.380 --> 00:05:27.260]  給他的兒子 人類 肉身的人類在那裏住
[00:05:27.260 --> 00:05:29.620]  那麼神造這個宮殿做了多久呢?
[00:05:29.620 --> 00:05:32.500]  浩瀚的宇宙 我做了七天
[00:05:32.500 --> 00:05:35.260]  不是 六天而已就做好了
[00:05:35.260 --> 00:05:40.420]  第七天已經坐下登基休息慶祝了 享用了
[00:05:40.420 --> 00:05:45.300]  哇 我那間房子要搞成半年都還沒有搞好
[00:05:45.300 --> 00:05:49.660]  你六天就做好了 連人都做好了
[00:05:49.660 --> 00:05:51.620]  那麼厲害 當然厲害了
[00:05:51.620 --> 00:05:53.500]  上主有這個能力
[00:05:53.500 --> 00:05:57.100]  他一出聲 他的說話就是能力
[00:05:57.100 --> 00:06:01.020]  其實就是這個意思「Word Logos」
[00:06:01.020 --> 00:06:06.580]  萬物所有東西都是透過「Logos」
[00:06:06.580 --> 00:06:11.300]  就是透過上主的兒子耶穌做的
[00:06:11.300 --> 00:06:15.700]  透過是因著他而有的
[00:06:15.700 --> 00:06:20.020]  這個「做」的意思就是來自希臘文這個字「Ginoma」
[00:06:20.020 --> 00:06:25.540]  「Ginoma」的過去式和過去被動式
[00:06:25.540 --> 00:06:30.820]  「Agenital」意思就是「做」這個字
[00:06:30.820 --> 00:06:32.780]  其實來自「Ginoma」這個字
[00:06:32.780 --> 00:06:36.020]  不過變成了過去被動式
[00:06:36.020 --> 00:06:41.380]  就是「被生成」「被成為」「Became」
[00:06:41.380 --> 00:06:46.580]  這個意思 所有東西都是他做的
[00:06:46.580 --> 00:06:50.980]  萬物所有事都是透過「因著」
[00:06:50.980 --> 00:06:55.420]  透過他 是因為他而被生成的
[00:06:55.420 --> 00:06:57.660]  被成為的
[00:06:57.660 --> 00:07:00.100]  凡是被生成被做的
[00:07:00.100 --> 00:07:03.060]  沒有一樣不是透過他被生成被做的
[00:07:03.060 --> 00:07:08.060]  即是說全部是 所以第二句是回應第一句
[00:07:08.060 --> 00:07:10.140]  這個是用疊句的意思
[00:07:10.140 --> 00:07:13.060]  不過就不是像詩篇那樣疊法那麼像的字
[00:07:13.060 --> 00:07:14.340]  不過那些字都像
[00:07:14.340 --> 00:07:16.780]  譬如「做」和「直著他做」那樣
[00:07:16.780 --> 00:07:22.340]  都是疊句 是用後半句來補充第一句
[00:07:22.340 --> 00:07:24.500]  加強第一句的力量
[00:07:24.500 --> 00:07:30.060]  萬物是直著他而被生成的
[00:07:30.060 --> 00:07:35.500]  凡是被做的沒有一樣不是透過他而被生成的
[00:07:35.500 --> 00:07:38.300]  其實是第二句加強第一句
[00:07:38.300 --> 00:07:42.380]  因此由這一句我們就知道主耶穌是哪一位?
[00:07:42.380 --> 00:07:44.660]  創造者
[00:07:44.660 --> 00:07:48.020]  我們很少從這個角度來看主耶穌的
[00:07:48.020 --> 00:07:51.380]  因為主耶穌我們都說他是拯救者
[00:07:51.380 --> 00:07:54.660]  但其實主耶穌是創造者
[00:07:54.660 --> 00:07:56.820]  「啊?有這樣的聖經的嗎?」
[00:07:56.820 --> 00:08:01.500]  是的 就是這一節 約翰一章第三節說得很清楚
[00:08:01.500 --> 00:08:03.340]  直接的
[00:08:03.340 --> 00:08:05.340]  好了 再看下一節
[00:08:05.340 --> 00:08:08.860]  希伯來書第一章第一第二節
[00:08:08.860 --> 00:08:12.420]  特別第二節的 不過要看完第一節就明白一點
[00:08:12.420 --> 00:08:16.180]  「慎記在古時直著中先知
[00:08:16.180 --> 00:08:20.060]  是多次多方地曉遇列祖」
[00:08:20.060 --> 00:08:21.820]  古時
[00:08:21.820 --> 00:08:25.340]  然後第二節就說「就在這末世」
[00:08:25.340 --> 00:08:29.540]  所以古時和末世在這兩節裏面就有個對比了
[00:08:29.540 --> 00:08:33.020]  古時是神跟人說話是怎麼說的?
[00:08:33.020 --> 00:08:36.100]  叫誰說?我派一個人來說
[00:08:36.100 --> 00:08:39.220]  就是直著中先知 是不是一次?不是
[00:08:39.220 --> 00:08:41.860]  「多次多方」說到氣都咳嗽
[00:08:41.860 --> 00:08:44.220]  說到氣都吐 派很多人去
[00:08:44.220 --> 00:08:46.980]  「曉遇」其實是「talk to」
[00:08:46.980 --> 00:08:49.700]  是跟他以色列的列祖
[00:08:49.700 --> 00:08:53.020]  即以色列人的列祖說話
[00:08:53.020 --> 00:08:56.820]  「不過在今日末世
[00:08:56.820 --> 00:08:59.300]  直著祂兒子曉遇我們」
[00:08:59.300 --> 00:09:01.980]  以前叫古時
[00:09:01.980 --> 00:09:03.660]  但是主耶穌一來
[00:09:03.660 --> 00:09:07.220]  希伯來書就開始叫祂做「末世」了
[00:09:07.220 --> 00:09:09.060]  所以我們在末世沒有?
[00:09:09.060 --> 00:09:11.060]  末世已經有二千年了
[00:09:11.060 --> 00:09:15.020]  「就在末世直著祂兒子和我們說話」
[00:09:15.020 --> 00:09:18.620]  以前叫先知 現在祂親自來
[00:09:18.620 --> 00:09:19.940]  兒子自己來
[00:09:19.940 --> 00:09:23.780]  這個兒子你知道是父上帝本身
[00:09:23.780 --> 00:09:25.900]  是道
[00:09:25.900 --> 00:09:30.020]  上主化成肉身來到我們當中
[00:09:30.020 --> 00:09:31.060]  道就是神
