
[00:00:00.000 --> 00:00:01.800]  孤單之輩,聖誕快樂!
[00:00:01.800 --> 00:00:03.500]  永遠姐妹,聖誕快樂!
[00:00:03.500 --> 00:00:06.500]  每一年我們都過聖誕節
[00:00:06.500 --> 00:00:08.300]  每一年都過聖誕節
[00:00:08.300 --> 00:00:11.900]  很多時候聖誕節我們只是圍繞著
[00:00:11.900 --> 00:00:14.100]  究竟在碼頭發生了什麼事
[00:00:14.100 --> 00:00:16.700]  有時候孤單之輩只是圍繞著
[00:00:16.700 --> 00:00:18.500]  碼頭發生了什麼事情
[00:00:18.500 --> 00:00:21.000]  但是其實聖誕不是
[00:00:21.000 --> 00:00:24.000]  只是碼頭那一刻所發生的事這麼簡單
[00:00:24.000 --> 00:00:26.200]  聖誕不只是在碼頭那一刻
[00:00:26.200 --> 00:00:27.500]  發生的事情這麼簡單
[00:00:27.500 --> 00:00:30.200]  在不同的福音書裡面都有不同的記載
[00:00:30.200 --> 00:00:32.300]  在不同的福音書有不同的記載
[00:00:32.300 --> 00:00:36.600]  也都補充了有關聖誕這件事發生的來龍去脈
[00:00:36.600 --> 00:00:39.500]  也補充了聖誕發生的來龍去脈
[00:00:39.500 --> 00:00:41.400]  今天我們會看一段聖經
[00:00:41.400 --> 00:00:42.900]  今天我們看一段聖經
[00:00:42.900 --> 00:00:45.300]  是隨著聖誕而有發的事情
[00:00:45.300 --> 00:00:47.300]  是隨著聖誕而引發的事情
[00:00:47.300 --> 00:00:50.800]  讓我們更擴闊地了解聖誕是一件什麼事
[00:00:50.800 --> 00:00:53.500]  讓我們更擴闊地了解聖誕是什麼事情
[00:00:53.500 --> 00:00:56.000]  讓我們一起同心去聽道的意思
[00:00:56.000 --> 00:00:57.300]  我們才會同心圖告
[00:00:57.300 --> 00:00:58.900]  在我們聽道之前先同心圖告
[00:00:58.900 --> 00:01:00.500]  將我們的心交給我們的主
[00:01:00.500 --> 00:01:01.600]  將我們的心交給我們的主
[00:01:01.600 --> 00:01:03.000]  讓祂引導我們的心
[00:01:03.000 --> 00:01:06.500]  讓祂引導我們的心
[00:01:06.500 --> 00:01:07.700]  慈悲的天父多謝祢
[00:01:07.700 --> 00:01:10.900]  讓我們能夠再次打開聖經
[00:01:10.900 --> 00:01:14.500]  在聖誕節的節期裡面
[00:01:14.500 --> 00:01:16.500]  讓我們更深入
[00:01:16.500 --> 00:01:22.300]  或者更詳細地去了解聖誕本身的意義
[00:01:22.300 --> 00:01:24.100]  我們再次懇求祢
[00:01:24.100 --> 00:01:27.800]  在我們每一個所賦予的聖靈
[00:01:27.800 --> 00:01:29.900]  都能夠幫助我們
[00:01:29.900 --> 00:01:33.300]  打開我們對聖誕本身的意義
[00:01:33.300 --> 00:01:35.700]  那份的認識
[00:01:35.700 --> 00:01:39.000]  讓我們更深層次地去明白到
[00:01:39.000 --> 00:01:42.500]  上帝祢是怎樣去看待
[00:01:42.500 --> 00:01:47.100]  接待我們這班原本在罪當中的人
[00:01:47.100 --> 00:01:48.800]  求祢與我們同在
[00:01:48.800 --> 00:01:52.400]  讓你獨生兒子耶穌基督所成就的救恩
[00:01:52.400 --> 00:01:54.000]  不會變得徒然
[00:01:54.000 --> 00:01:57.200]  而是著實地在我們生命當中
[00:01:57.200 --> 00:01:59.100]  去生根建築
[00:01:59.100 --> 00:02:00.400]  我們親愛的天父
[00:02:00.400 --> 00:02:03.000]  感謝祢給我們今天能夠再次打開
[00:02:03.000 --> 00:02:04.400]  祢的說話
[00:02:04.400 --> 00:02:08.000]  讓我們明白到聖誕的意義
[00:02:08.000 --> 00:02:10.600]  讓我們能夠更深入
[00:02:10.600 --> 00:02:14.300]  也更廣闊地來到明白
[00:02:14.300 --> 00:02:17.600]  聖誕所帶來的本身的意思
[00:02:17.600 --> 00:02:19.500]  也讓我們更明白
[00:02:19.500 --> 00:02:21.500]  主祢是怎樣來到
[00:02:21.500 --> 00:02:25.500]  看待我們這班原本是沉淪在
[00:02:25.500 --> 00:02:27.200]  罪當中的人
[00:02:27.200 --> 00:02:30.900]  讓我們今天再次在聖誕節的時間
[00:02:30.900 --> 00:02:34.900]  我們更有把握地來到明白
[00:02:34.900 --> 00:02:37.200]  救恩是怎樣透過
[00:02:37.200 --> 00:02:39.600]  你獨生兒子耶穌基督
[00:02:39.600 --> 00:02:42.300]  成就在我們身上面
[00:02:42.300 --> 00:02:45.800]  也現在我們同心懇求你的聖名
[00:02:45.800 --> 00:02:47.400]  幫助我們
[00:02:47.400 --> 00:02:50.800]  把我們說明白的
[00:02:50.800 --> 00:02:53.500]  聽進去的聖經
[00:02:53.500 --> 00:02:57.400]  都能夠覺醒成為我們生命的一部分
[00:02:57.400 --> 00:02:58.900]  求你的幫助
[00:02:58.900 --> 00:03:00.300]  我們的禱告
[00:03:00.300 --> 00:03:02.100]  奉主耶穌的名臣
[00:03:02.100 --> 00:03:04.800]  Amen
[00:03:04.800 --> 00:03:07.100]  上個星期我們去看到
[00:03:07.100 --> 00:03:09.900]  聖誕主題的第一部分
[00:03:09.900 --> 00:03:12.700]  上個星期我們看到聖誕主題的第一部分
[00:03:12.700 --> 00:03:16.900]  是從路加福音的第二章22節到40節
[00:03:16.900 --> 00:03:20.500]  從路加福音的二章22節到40節
[00:03:20.500 --> 00:03:21.900]  在這段聖經裡面
