
[00:00:00.000 --> 00:00:02.000]  你有沒有想到
[00:00:02.000 --> 00:00:04.000]  忽然間
[00:00:04.000 --> 00:00:06.000]  如果我們現在停了電會怎麼樣
[00:00:06.000 --> 00:00:14.000]  你們真聰明
[00:00:14.000 --> 00:00:16.000]  現在是時代進步
[00:00:16.000 --> 00:00:18.000]  我記得
[00:00:18.000 --> 00:00:20.000]  應該我們試過一次
[00:00:20.000 --> 00:00:22.000]  不知道大家有沒有記得我們曾經
[00:00:22.000 --> 00:00:24.000]  曾經在崇拜的時候停了電
[00:00:24.000 --> 00:00:26.000]  真的黑了
[00:00:26.000 --> 00:00:28.000]  那時候手機還沒那麼流行
[00:00:28.000 --> 00:00:30.000]  就馬上要找什麼電筒
[00:00:30.000 --> 00:00:32.000]  蠟燭
[00:00:32.000 --> 00:00:34.000]  最大問題就是
[00:00:34.000 --> 00:00:36.000]  沒有光
[00:00:36.000 --> 00:00:38.000]  前兩三個禮拜
[00:00:38.000 --> 00:00:40.000]  我參加過
[00:00:40.000 --> 00:00:42.000]  晚宴
[00:00:42.000 --> 00:00:44.000]  不知道
[00:00:44.000 --> 00:00:46.000]  大家有沒有記得
[00:00:46.000 --> 00:00:48.000]  或者你在其中
[00:00:48.000 --> 00:00:50.000]  或者在Plaza
[00:00:50.000 --> 00:00:52.000]  忽然間停電
[00:00:52.000 --> 00:00:54.000]  我們喫到一半
[00:00:54.000 --> 00:00:56.000]  你們有沒有試過這樣的情況
[00:00:56.000 --> 00:00:58.000]  結果
[00:00:58.000 --> 00:01:00.000]  停了電會怎麼樣
[00:01:00.000 --> 00:01:02.000]  很聰明
[00:01:02.000 --> 00:01:04.000]  每個人拿手機出來開
[00:01:04.000 --> 00:01:06.000]  但問題是廚房沒有電
[00:01:06.000 --> 00:01:08.000]  就沒有光
[00:01:08.000 --> 00:01:10.000]  所以只能
[00:01:10.000 --> 00:01:12.000]  喫到一半就停止
[00:01:12.000 --> 00:01:14.000]  所以原來
[00:01:14.000 --> 00:01:16.000]  真的發覺
[00:01:16.000 --> 00:01:18.000]  原來有光
[00:01:18.000 --> 00:01:20.000]  不是必然的
[00:01:20.000 --> 00:01:22.000]  也是發現
[00:01:22.000 --> 00:01:24.000]  原來這麼重要
[00:01:24.000 --> 00:01:26.000]  現在停了電
[00:01:26.000 --> 00:01:28.000]  就算我們有手機都好
[00:01:28.000 --> 00:01:30.000]  都很難
[00:01:30.000 --> 00:01:32.000]  像現在這樣進行
[00:01:32.000 --> 00:01:34.000]  所以我們
[00:01:34.000 --> 00:01:36.000]  真的發覺原來這個光
[00:01:36.000 --> 00:01:38.000]  對於我們是很重要
[00:01:38.000 --> 00:01:40.000]  這個世界
[00:01:40.000 --> 00:01:42.000]  不單止是
[00:01:42.000 --> 00:01:44.000]  充滿了
[00:01:44.000 --> 00:01:46.000]  敗壞
[00:01:46.000 --> 00:01:48.000]  也表示當中的黑暗
[00:01:48.000 --> 00:01:50.000]  在約翰福音第一章一開始
[00:01:50.000 --> 00:01:52.000]  就是這麼說
[00:01:52.000 --> 00:01:54.000]  這個世界充滿黑暗
[00:01:54.000 --> 00:01:56.000]  所以真光要來到這個世界
[00:01:56.000 --> 00:01:58.000]  很可惜
[00:01:58.000 --> 00:02:00.000]  世人不願意接受光
[00:02:00.000 --> 00:02:02.000]  所以仍在黑暗裏
[00:02:02.000 --> 00:02:04.000]  其實
[00:02:04.000 --> 00:02:06.000]  約翰福音裏面也說到
[00:02:06.000 --> 00:02:08.000]  那種黑暗的情況
[00:02:08.000 --> 00:02:10.000]  魔鬼掌權
[00:02:10.000 --> 00:02:12.000]  人在
[00:02:12.000 --> 00:02:14.000]  罪的裏面
[00:02:14.000 --> 00:02:16.000]  黑暗的裏面
[00:02:16.000 --> 00:02:18.000]  耶穌基督來到這個世界
[00:02:18.000 --> 00:02:20.000]  祂說祂就是世上的光
