
[00:00:00.000 --> 00:00:08.640]  好,今天我們繼續來看馬太福音的八福當中的第五個福氣
[00:00:08.640 --> 00:00:12.480]  我再一次的提醒,我們來看八福的時候
[00:00:12.480 --> 00:00:19.200]  不單只是看到神給不同的我們的福氣
[00:00:19.200 --> 00:00:23.120]  其實最重要的是我們反思我們生命當中作為一個基督徒
[00:00:23.120 --> 00:00:27.760]  作為天國子民,我們這個生命的素質是怎麼樣
[00:00:27.760 --> 00:00:33.840]  所以不曉得你對八福能夠把它記得多少
[00:00:33.840 --> 00:00:39.280]  今天我們進到第五個福,那個耶穌所講的
[00:00:39.280 --> 00:00:47.280]  我剛好上禮拜來蒲松的時候就聽那個宋君母學他講雅各書
[00:00:47.280 --> 00:00:52.480]  我猜他可能也有跟各位講到那個雅各書
[00:00:52.480 --> 00:00:55.600]  其實在我們來看那個新約聖經的時候
[00:00:55.600 --> 00:00:58.400]  雅各書把那個登山寶訓
[00:00:58.400 --> 00:01:01.760]  耶穌在馬太福音第五到第七章那個登山寶訓
[00:01:01.760 --> 00:01:04.880]  其實一個互相呼應
[00:01:04.880 --> 00:01:06.480]  如果你看雅各書的時候
[00:01:06.480 --> 00:01:10.800]  其實你可以多看那個馬太福音的第五到第七章
[00:01:10.800 --> 00:01:14.480]  這個是在我們去多讀聖經的時候
[00:01:14.480 --> 00:01:19.920]  你可以更深化那個更認識到雅各他的教訓
[00:01:19.920 --> 00:01:24.800]  其實是在馬太福音耶穌的那個教導底下來幫助我們的
[00:01:24.800 --> 00:01:29.760]  所以如果大家繼續在崇拜領受神的信息的時候
[00:01:29.760 --> 00:01:31.280]  你看雅各書
[00:01:31.280 --> 00:01:35.840]  你可以回去好好的去把馬太福音第五到第七章來看
[00:01:35.840 --> 00:01:39.280]  我們接下來看馬太福音第五章的第七節
[00:01:39.280 --> 00:01:42.720]  蓮舒之心人皆有記
[00:01:42.720 --> 00:01:48.320]  這個大概我相信我們都聽過這句說話
[00:01:48.320 --> 00:01:50.880]  在馬太福音第五章第七節
[00:01:50.880 --> 00:01:55.520]  和本跟和本的修訂版大概有一點點的不同
[00:01:55.520 --> 00:01:57.520]  其實那個意思都是一樣
[00:01:57.520 --> 00:01:59.520]  如果我們看到的話
[00:01:59.520 --> 00:02:01.520]  我邀請各位我們來念一遍
[00:02:01.520 --> 00:02:03.520]  那個和本也讀一遍
[00:02:03.520 --> 00:02:05.520]  那個和修版的聖經也讀一遍
[00:02:05.520 --> 00:02:07.520]  我們一起來讀一遍
[00:02:07.520 --> 00:02:08.720]  預備來
[00:02:08.720 --> 00:02:11.520]  蓮舒人的人有福了
[00:02:11.520 --> 00:02:14.640]  因為他們閉蒙蓮舒
[00:02:14.640 --> 00:02:17.520]  憐憫人的人有福了
[00:02:17.520 --> 00:02:20.640]  因為他們閉蒙憐憫
[00:02:20.640 --> 00:02:23.920]  所以在我們用詞當中
[00:02:23.920 --> 00:02:28.320]  蓮舒跟憐憫它是同一個意思
[00:02:28.320 --> 00:02:30.320]  所以這個對我們來說
[00:02:30.320 --> 00:02:33.680]  有時候可能是現代比較多用憐憫
[00:02:33.680 --> 00:02:35.680]  蓮舒比較少用
[00:02:35.680 --> 00:02:39.600]  但我相信這個就是對我們一個很重要的提醒
[00:02:39.600 --> 00:02:44.960]  在馬太福音第五章講到八福的時候
[00:02:44.960 --> 00:02:48.800]  大家也可以從多一個角度來看
[00:02:48.800 --> 00:02:50.800]  怎麼樣看呢
[00:02:50.800 --> 00:02:55.680]  如果你還記得第一個福到第四個福
[00:02:55.680 --> 00:02:57.680]  包括第一個是什麼
[00:02:57.680 --> 00:02:59.680]  都忘了
[00:02:59.680 --> 00:03:01.680]  那很正常
[00:03:01.680 --> 00:03:03.680]  聽太早
[00:03:03.680 --> 00:03:05.680]  去年十一月份的時候
[00:03:05.680 --> 00:03:07.680]  第一個是什麼
[00:03:07.680 --> 00:03:09.680]  虛心嗎
[00:03:09.680 --> 00:03:11.680]  第二個呢
[00:03:11.680 --> 00:03:13.680]  哀動的人或是哀傷的人
[00:03:13.680 --> 00:03:15.680]  第三個呢
[00:03:15.680 --> 00:03:17.680]  溫柔的人
[00:03:17.680 --> 00:03:19.680]  傳道來講
[00:03:19.680 --> 00:03:21.680]  他也是蠻溫柔的
[00:03:21.680 --> 00:03:23.680]  第四個呢
[00:03:23.680 --> 00:03:27.680]  饑渴不已的人
[00:03:27.680 --> 00:03:31.680]  所以這個是前面那四個福氣
[00:03:31.680 --> 00:03:33.680]  如果你可以分的話
[00:03:33.680 --> 00:03:35.680]  如果你可以聽到或是你領受的話
[00:03:35.680 --> 00:03:37.680]  其實第一個到第四個福
[00:03:37.680 --> 00:03:39.680]  比較是
[00:03:39.680 --> 00:03:43.680]  我們個人生命的素質來講
[00:03:43.680 --> 00:03:45.680]  他是比較個人的
[00:03:45.680 --> 00:03:47.680]  如果大概是你是不是一個虛心的人
[00:03:47.680 --> 00:03:49.680]  你是不是一個溫柔的人
[00:03:49.680 --> 00:03:53.680]  你是一個為罪哀傷悲痛的人
[00:03:53.680 --> 00:03:55.680]  你不是一個饑渴不已
[00:03:55.680 --> 00:03:59.680]  來實行神的旨意的生活的人
[00:03:59.680 --> 00:04:03.680]  然後從第五福到第八福當中
[00:04:03.680 --> 00:04:05.680]  如果我們繼續來看的時候
[00:04:05.680 --> 00:04:07.680]  你可以多想到
[00:04:07.680 --> 00:04:09.680]  這個不單只是一個人的生命素質
[00:04:09.680 --> 00:04:11.680]  他是要放在一個群體當中
[00:04:11.680 --> 00:04:13.680]  他在人群當中
[00:04:13.680 --> 00:04:15.680]  才會多一點經歷到
[00:04:15.680 --> 00:04:17.680]  你怎麼樣做一個有憐惜的人
[00:04:17.680 --> 00:04:19.680]  有憐憫的人呢
[00:04:19.680 --> 00:04:21.680]  如果只有你一個人的話
[00:04:21.680 --> 00:04:23.680]  你可以做到嗎
[00:04:23.680 --> 00:04:25.680]  其實不太容易
[00:04:25.680 --> 00:04:27.680]  就是一個人
[00:04:27.680 --> 00:04:29.680]  你一定是跟人與人之間的一個互動
[00:04:29.680 --> 00:04:31.680]  所以是與人有關的
[00:04:31.680 --> 00:04:33.680]  在後面從第五個福氣
[00:04:33.680 --> 00:04:35.680]  到第八個福氣
[00:04:35.680 --> 00:04:37.680]  大家回去可以試試看
[00:04:37.680 --> 00:04:39.680]  你去想一下
[00:04:39.680 --> 00:04:41.680]  我怎麼樣可以做一個有憐憫的人
[00:04:41.680 --> 00:04:43.680]  如果只有你一個人
[00:04:43.680 --> 00:04:45.680]  你不用憐憫
[00:04:45.680 --> 00:04:47.680]  可能都有啦
[00:04:47.680 --> 00:04:49.680]  你需要憐憫自己
[00:04:49.680 --> 00:04:51.680]  他是比較互動
[00:04:51.680 --> 00:04:53.680]  你跟人與人之間
[00:04:53.680 --> 00:04:55.680]  在後面四個福比較多一些方面
[00:04:55.680 --> 00:04:57.680]  我們來看
[00:04:57.680 --> 00:04:59.680]  憐憫或連續人的人
[00:04:59.680 --> 00:05:01.680]  他們的一個結果
[00:05:01.680 --> 00:05:03.680]  我們先看這個結果
[00:05:03.680 --> 00:05:05.680]  當聖經講到
[00:05:05.680 --> 00:05:07.680]  我們是一個憐憫人的人
[00:05:07.680 --> 00:05:09.680]  我們就能夠
[00:05:09.680 --> 00:05:11.680]  得到憐憫
[00:05:11.680 --> 00:05:13.680]  所以這個
[00:05:13.680 --> 00:05:15.680]  我先從後面的一個
[00:05:15.680 --> 00:05:17.680]  結果來看一下
[00:05:17.680 --> 00:05:19.680]  並蒙連續或是
[00:05:19.680 --> 00:05:21.680]  並蒙憐憫的一個正確的認識
[00:05:21.680 --> 00:05:23.680]  是怎麼樣呢
[00:05:23.680 --> 00:05:25.680]  這個我們一聽到的時候
[00:05:25.680 --> 00:05:27.680]  有可能我們會有這樣子的
[00:05:27.680 --> 00:05:29.680]  是一種回報
[00:05:29.680 --> 00:05:31.680]  因為我想得到憐憫
[00:05:31.680 --> 00:05:33.680]  那我就要怎麼樣
[00:05:33.680 --> 00:05:35.680]  我要先做一個憐憫的人
[00:05:35.680 --> 00:05:37.680]  這大概是
[00:05:37.680 --> 00:05:39.680]  這個經文很簡單
[00:05:39.680 --> 00:05:41.680]  直接我們可以
[00:05:41.680 --> 00:05:43.680]  領受到
[00:05:43.680 --> 00:05:45.680]  這個
[00:05:45.680 --> 00:05:47.680]  並蒙憐憫連續的是
[00:05:47.680 --> 00:05:49.680]  從神給的
[00:05:49.680 --> 00:05:51.680]  並蒙憐憫是從神
[00:05:51.680 --> 00:05:53.680]  給我們有這份的憐憫
[00:05:53.680 --> 00:05:55.680]  所以有時候我們有其他經文
[00:05:55.680 --> 00:05:57.680]  大概我們有一點印象就是說
[00:05:57.680 --> 00:05:59.680]  你怎麼樣對人
[00:05:59.680 --> 00:06:01.680]  神就怎麼樣對你
[00:06:01.680 --> 00:06:03.680]  在聖經當中大概有點印象
[00:06:03.680 --> 00:06:05.680]  所以如果這樣子的話
[00:06:05.680 --> 00:06:07.680]  有點像一個回報的心態
[00:06:07.680 --> 00:06:09.680]  就像我需要神的憐憫
[00:06:09.680 --> 00:06:11.680]  我很想得到神的憐憫
[00:06:11.680 --> 00:06:13.680]  得到神的接納
[00:06:13.680 --> 00:06:15.680]  得到神的幫助
[00:06:15.680 --> 00:06:17.680]  得到神的恩戴
[00:06:17.680 --> 00:06:19.680]  這就是蒙憐憫的意思
[00:06:19.680 --> 00:06:21.680]  那如果我要得到神的憐憫的時候
[00:06:21.680 --> 00:06:23.680]  好像這裡說
[00:06:23.680 --> 00:06:25.680]  耶穌說
[00:06:25.680 --> 00:06:27.680]  那你要先要憐憫人
[00:06:27.680 --> 00:06:29.680]  是不是這樣子呢
[00:06:29.680 --> 00:06:31.680]  當然這個也是有影響
[00:06:31.680 --> 00:06:33.680]  但我最主要是說
[00:06:33.680 --> 00:06:35.680]  不要是一種求回報的心態
[00:06:35.680 --> 00:06:37.680]  你去做一個憐憫人的人
[00:06:37.680 --> 00:06:41.680]  這個要明白
[00:06:41.680 --> 00:06:43.680]  要不然你就會很容易
[00:06:43.680 --> 00:06:45.680]  落在一個
[00:06:45.680 --> 00:06:49.680]  你自己有點會很疑惑的地步
[00:06:49.680 --> 00:06:53.680]  所以不要是一種
[00:06:53.680 --> 00:06:55.680]  求回報的心態
[00:06:55.680 --> 00:06:57.680]  當然這些經文有可能讓我們
[00:06:57.680 --> 00:06:59.680]  是有點這樣子的印象
