
[00:00:00.000 --> 00:00:05.240]  《羅馬書》是我們基督徒信仰的一個經典作品
[00:00:05.240 --> 00:00:08.460]  我們經常說如果沒有《羅馬書》
[00:00:08.460 --> 00:00:10.880]  《馬丁路德》不會是一種宗教改革
[00:00:10.880 --> 00:00:15.080]  歷代所有基督徒的教會裏面
[00:00:15.080 --> 00:00:17.880]  一些重要的點《羅馬書》都會出來
[00:00:17.880 --> 00:00:18.800]  聖經學者告訴我們
[00:00:18.800 --> 00:00:22.400]  《羅馬書》大概是公元57年所寫的
[00:00:22.400 --> 00:00:26.000]  保羅是公元57年的時候所寫
[00:00:26.000 --> 00:00:30.200]  照他們估計保羅當時是50出頭
[00:00:30.200 --> 00:00:34.000]  保羅可能是公元5年左右出世
[00:00:34.000 --> 00:00:38.000]  即是說他當時可能51、52歲左右
[00:00:38.000 --> 00:00:45.200]  而保羅當時已經為主奔跑受苦大約20年
[00:00:45.200 --> 00:00:48.000]  在他為主奔跑的過程裏面
[00:00:48.000 --> 00:00:52.800]  他有三個比較漫長的宣教旅程
[00:00:52.800 --> 00:00:58.400]  大家如果看過《蕭恆傳》都有少許印象
[00:00:58.400 --> 00:01:02.600]  保羅寫《羅馬書》的時候的地點
[00:01:02.600 --> 00:01:07.200]  最有可能是在哥倫多
[00:01:07.200 --> 00:01:11.200]  在保羅寫《羅馬書》之前幾年
[00:01:11.200 --> 00:01:14.600]  他在哥倫多碰到一對情侶
[00:01:14.600 --> 00:01:17.000]  一個猶太人的夫婦
[00:01:17.000 --> 00:01:19.200]  名字叫做Aquila和Brasila
[00:01:19.200 --> 00:01:22.000]  我想你大概都有些記憶
[00:01:22.000 --> 00:01:26.800]  中文是阿居拉和伯基拉
[00:01:26.800 --> 00:01:28.200]  他怎會碰到他們呢?
[00:01:28.200 --> 00:01:33.000]  因為他們當時Aquila和Brasila本來是住在羅馬的
[00:01:33.000 --> 00:01:35.400]  但當時歷史上
[00:01:35.400 --> 00:01:40.200]  當時的羅馬君王趕走了一些猶太人離開羅馬
[00:01:40.200 --> 00:01:42.600]  於是他們來到哥倫多
