
[00:00:00.000 --> 00:00:01.640]  頂尖會平安
[00:00:01.640 --> 00:00:05.600]  雖然大家在家裡我們一起敬拜
[00:00:05.600 --> 00:00:08.600]  但我們心信神的靈在我們當中
[00:00:08.600 --> 00:00:11.200]  我們一起領受神自己的恩典
[00:00:11.200 --> 00:00:15.400]  在網上看到幾句很有意思的話想跟大家分享
[00:00:15.400 --> 00:00:16.600]  裡面怎麼說
[00:00:16.600 --> 00:00:17.400]  他說
[00:00:17.400 --> 00:00:19.000]  聚會停止
[00:00:19.000 --> 00:00:20.600]  停不了敬拜
[00:00:20.600 --> 00:00:22.000]  好像我們現在一樣
[00:00:22.000 --> 00:00:23.800]  雖然革會的聚會停了
[00:00:23.800 --> 00:00:26.200]  但我們不會停止敬拜
[00:00:26.200 --> 00:00:28.200]  封城封路
[00:00:28.200 --> 00:00:32.200]  封不住人心
[00:00:32.200 --> 00:00:35.200]  防疫隔離
[00:00:35.200 --> 00:00:38.000]  隔不斷基督的愛
[00:00:38.000 --> 00:00:39.400]  就好像聖經說
[00:00:39.400 --> 00:00:43.600]  今天沒有東西能夠讓我們跟基督的愛隔絕
[00:00:43.600 --> 00:00:44.800]  頂尖姊妹
[00:00:44.800 --> 00:00:47.400]  今天我們都可能
[00:00:47.400 --> 00:00:51.000]  大部分人都好像這個絲巾一樣
[00:00:51.000 --> 00:00:55.200]  怎麼樣
[00:00:55.200 --> 00:00:57.400]  愁眉苦臉
[00:00:57.400 --> 00:00:59.600]  我們都愁眉苦臉的
[00:00:59.600 --> 00:01:03.200]  都好像沒什麼人可以有笑容
[00:01:03.200 --> 00:01:05.800]  但我們心信
[00:01:05.800 --> 00:01:08.800]  今天我們改變不了環境
[00:01:08.800 --> 00:01:10.800]  但神可以幫助我們什麼
[00:01:10.800 --> 00:01:15.000]  幫助我們改變面對環境的心
[00:01:15.000 --> 00:01:17.400]  讓我們因著倚靠主
[00:01:17.400 --> 00:01:19.200]  我們能夠怎麼樣
[00:01:19.200 --> 00:01:23.400]  我們能夠開開心心的
[00:01:23.400 --> 00:01:25.200]  一起在網上
[00:01:25.200 --> 00:01:27.200]  一起的敬拜
[00:01:27.200 --> 00:01:28.800]  生活雖然困難
[00:01:28.800 --> 00:01:31.000]  但主的恩典總是夠用
[00:01:31.000 --> 00:01:33.800]  我們一起低頭禱告
[00:01:33.800 --> 00:01:35.200]  創造天地的主
[00:01:35.200 --> 00:01:36.400]  似人恩典的神
[00:01:36.400 --> 00:01:38.200]  我們多謝讚美你
[00:01:38.200 --> 00:01:41.200]  在這個疫情嚴峻的時刻裏面
[00:01:41.200 --> 00:01:44.000]  我們心裏面難免有擔心
[00:01:44.000 --> 00:01:46.000]  但主求你幫助我們
[00:01:46.000 --> 00:01:49.000]  沒有東西能夠隔絕我們跟神的愛
[00:01:49.000 --> 00:01:52.200]  環境雖然暫時改變不了
[00:01:52.200 --> 00:01:54.200]  但我們心信神的恩典
[00:01:54.200 --> 00:01:58.200]  讓我們能夠改變我們面對環境的心
[00:01:58.200 --> 00:02:00.200]  聖經耶穌應許說
[00:02:00.200 --> 00:02:02.800]  在世界上我們充滿著苦難
[00:02:02.800 --> 00:02:05.800]  但在裏面我們有平安
[00:02:05.800 --> 00:02:08.200]  天父求祢的令就與我們同在
[00:02:08.200 --> 00:02:11.000]  讓我們一起的將榮耀頌讚
[00:02:11.000 --> 00:02:12.800]  都歸過給主
[00:02:12.800 --> 00:02:14.800]  求祢的令對我們說話
[00:02:14.800 --> 00:02:17.800]  教徒祈禱奉耶穌名求
[00:02:17.800 --> 00:02:18.800]  阿門
[00:02:18.800 --> 00:02:21.200]  今年燒酒的目標
[00:02:21.200 --> 00:02:23.800]  因為我們慶祝五十週年
[00:02:23.800 --> 00:02:25.800]  所以我們希望
[00:02:25.800 --> 00:02:28.800]  蒙神恩祐五十載
[00:02:28.800 --> 00:02:31.800]  然後燃點靈火
[00:02:31.800 --> 00:02:33.800]  愛相繫
[00:02:33.800 --> 00:02:39.800]  今天我們需要成為一間愛的教會
[00:02:39.800 --> 00:02:40.800]  弟兄姊妹
[00:02:40.800 --> 00:02:43.800]  所以今天要和大家思想的題目
[00:02:43.800 --> 00:02:44.800]  愛的教會
[00:02:44.800 --> 00:02:49.800]  經文就在亞國書一章十九至二十節
[00:02:49.800 --> 00:02:51.800]  我們一起來讀一次
[00:02:51.800 --> 00:02:52.800]  我親愛的弟兄們
[00:02:52.800 --> 00:02:54.800]  這是你們所知道的
[00:02:54.800 --> 00:02:56.800]  但你們個人要快快的聽
[00:02:56.800 --> 00:02:57.800]  慢慢的說
[00:02:57.800 --> 00:02:59.800]  慢慢的動腦
[00:02:59.800 --> 00:03:00.800]  一人的怒氣
[00:03:00.800 --> 00:03:03.800]  並不成就神的義
[00:03:03.800 --> 00:03:06.800]  一個很出名的牧者
[00:03:06.800 --> 00:03:08.800]  華利克牧師
[00:03:08.800 --> 00:03:10.800]  他分享說一個新朋友
