
[00:00:00.000 --> 00:00:02.640]  各位你們好 我很高興 多謝你們給我機會
[00:00:02.640 --> 00:00:05.040]  為甚麼呢 有兩件事要感恩的
[00:00:05.040 --> 00:00:06.560]  旁邊的人可以轉過來
[00:00:06.560 --> 00:00:08.040]  不要看我 看我已經飽了
[00:00:08.040 --> 00:00:09.320]  因為我已經飽了
[00:00:09.320 --> 00:00:11.640]  第一 你們帶給我很多童年的回憶
[00:00:11.640 --> 00:00:13.520]  因為我是在上環長大的
[00:00:13.520 --> 00:00:15.680]  有哪些人住上環的
[00:00:15.680 --> 00:00:17.880]  知不知道有一條叫摩羅街
[00:00:17.880 --> 00:00:20.000]  現在還有摩羅上街
[00:00:20.000 --> 00:00:23.120]  但我們住摩羅下街 27號2樓
[00:00:23.120 --> 00:00:25.600]  所以我們有點像摩羅
[00:00:25.600 --> 00:00:28.600]  大家知不知道這裡以前是甚麼地方
[00:00:28.600 --> 00:00:30.480]  港澳碼頭對出叫大達地
[00:00:30.480 --> 00:00:31.920]  平民夜總會
[00:00:31.920 --> 00:00:34.120]  是我的童年的回憶
[00:00:34.120 --> 00:00:36.520]  所以今次是借給我的童年回憶
[00:00:36.520 --> 00:00:37.920]  第二 原來很開心
[00:00:37.920 --> 00:00:38.880]  我來到原來
[00:00:38.880 --> 00:00:40.360]  我以為有些方便餐
[00:00:40.360 --> 00:00:41.360]  說完才可以吃
[00:00:41.360 --> 00:00:42.520]  原來是吃一半的
[00:00:42.520 --> 00:00:43.560]  我只是跟牧師說
[00:00:43.560 --> 00:00:44.640]  哎呀 感恩
[00:00:44.640 --> 00:00:47.200]  可以幫到我這個基民
[00:00:47.200 --> 00:00:48.800]  就是鎮制基民
[00:00:48.800 --> 00:00:51.120]  是基督的子民
[00:00:51.120 --> 00:00:53.560]  OK 很開心
[00:00:53.560 --> 00:00:54.960]  我想講一講
[00:00:54.960 --> 00:00:56.480]  今天我特別自己定的題目
[00:00:56.480 --> 00:00:58.480]  就叫「難得團聚」
