
[00:00:00.000 --> 00:00:02.000]  等節目讓我們先聽詳細的說話
[00:00:02.000 --> 00:00:05.000]  讓我們先從心的再次禱告
[00:00:05.000 --> 00:00:07.000]  打開今天聆聽主導的時間
[00:00:07.000 --> 00:00:09.000]  電視機前讓我們聽到之前
[00:00:09.000 --> 00:00:11.000]  先讓我們聆聽禱告
[00:00:11.000 --> 00:00:14.000]  打開我們的心思 請主導
[00:00:14.000 --> 00:00:19.000]  股神多謝你讓我們再一次打開你的說話
[00:00:19.000 --> 00:00:23.000]  讓我們能夠真是對你有更深一步的認識
[00:00:23.000 --> 00:00:26.000]  讓我們學曉怎樣藉著
[00:00:26.000 --> 00:00:30.000]  忠心於你的仕途保羅
[00:00:30.000 --> 00:00:32.000]  他怎樣的見證
[00:00:32.000 --> 00:00:35.000]  讓他對上帝你的明白
[00:00:35.000 --> 00:00:38.000]  今天亦都剖白在我們面前
[00:00:38.000 --> 00:00:39.000]  讓我們學曉
[00:00:39.000 --> 00:00:43.000]  這位怎樣忠心於主你的一位報人
[00:00:43.000 --> 00:00:45.000]  讓我們作為神理的子民
[00:00:45.000 --> 00:00:49.000]  讓我們亦都同樣擁有這份心身靈
[00:00:49.000 --> 00:00:52.000]  好使我們能夠在主你的當中
[00:00:52.000 --> 00:00:55.000]  能夠活得屬於你所喜悅
[00:00:55.000 --> 00:00:59.000]  我們亦都將我們今天活在這個地上
[00:00:59.000 --> 00:01:02.000]  承擔主你的差命的時候
[00:01:02.000 --> 00:01:04.000]  所遇見的每一件事
[00:01:04.000 --> 00:01:05.000]  每一個經歷
[00:01:05.000 --> 00:01:07.000]  每一個心路歷程
[00:01:07.000 --> 00:01:09.000]  我們亦都將它恭敬地交上
[00:01:09.000 --> 00:01:11.000]  好似我們主一樣
[00:01:11.000 --> 00:01:13.000]  你的兒子被差派來
[00:01:13.000 --> 00:01:15.000]  其實並不好過
[00:01:15.000 --> 00:01:17.000]  但願我們亦都知道
[00:01:17.000 --> 00:01:18.000]  在這個地上
[00:01:18.000 --> 00:01:21.000]  要將主你的工作辦得妥當
[00:01:21.000 --> 00:01:24.000]  並非一定要我們心裏覺得好喜悅
[00:01:25.000 --> 00:01:27.000]  甚至有時候是一個很刁難
[00:01:27.000 --> 00:01:28.000]  或者困難的環境
[00:01:28.000 --> 00:01:31.000]  求主你仍然讓我們對你不離不棄
[00:01:31.000 --> 00:01:33.000]  忠心於你的委託
[00:01:33.000 --> 00:01:35.000]  不忘自己的身份
[00:01:35.000 --> 00:01:38.000]  能夠繼續行一條合神心意的道路
[00:01:38.000 --> 00:01:40.000]  求你永愛同在
[00:01:40.000 --> 00:01:41.000]  祈禱奉耶穌的名及
[00:01:41.000 --> 00:01:42.000]  阿們
[00:01:42.000 --> 00:01:48.000]  今天來到我們講這個系列的最後一課
[00:01:48.000 --> 00:01:50.000]  今天我們來到這個系列的最後一課
[00:01:50.000 --> 00:01:53.000]  就是向一些別有用心的人
[00:01:53.000 --> 00:01:56.000]  能不能夠有效地傳道呢?
[00:01:56.000 --> 00:01:57.000]  向別有用心的人
[00:01:57.000 --> 00:01:59.000]  能不能有效地傳道呢?
[00:01:59.000 --> 00:02:00.000]  我有一個副題
[00:02:00.000 --> 00:02:01.000]  我有一個副題
[00:02:01.000 --> 00:02:04.000]  叫做信徒交叉點
[00:02:04.000 --> 00:02:07.000]  這副題叫做信徒交叉點
[00:02:07.000 --> 00:02:09.000]  這個圖我特意將它改了
[00:02:09.000 --> 00:02:12.000]  做路途的圖
[00:02:12.000 --> 00:02:15.000]  這個圖我特意改成路途的圖
[00:02:15.000 --> 00:02:17.000]  因為每個基督徒的人生
[00:02:17.000 --> 00:02:20.000]  每個信徒的人生
