
[00:00:00.000 --> 00:00:05.280]  今天是大除夕 開始過新年了 開始過農曆新年
[00:00:05.280 --> 00:00:09.880]  那不少弟兄姊妹可能回去內地或者其他地方過新年
[00:00:09.880 --> 00:00:13.680]  說今天好像參加崇拜的弟兄姊妹不是太多
[00:00:13.680 --> 00:00:19.200]  在這裡我先祝福大家新年快樂 主恩常在
[00:00:19.200 --> 00:00:26.680]  那說起過年 不同民族有自己特殊的習慣還有故事
[00:00:26.680 --> 00:00:31.600]  那人們總不能媽哭過這個新年
[00:00:31.600 --> 00:00:37.400]  大家有不同的一個傳統跟方式在一起團聚
[00:00:37.400 --> 00:00:43.600]  那漁業節恰恰就是以色列人過的新年
[00:00:43.600 --> 00:00:47.560]  也是一年當中相當重要的一個節期
[00:00:47.560 --> 00:00:51.840]  雖然現在以色列國並沒有把漁業節當為新年
[00:00:51.840 --> 00:00:54.240]  但是從舊約聖經記載
[00:00:54.240 --> 00:00:59.060]  漁業節應當是作為他們一年之首
[00:00:59.060 --> 00:01:04.720]  以色列人在這個時期與家人相聚 團聚在一起吃飯
[00:01:04.720 --> 00:01:09.960]  也透過這個節日來紀念神將以色列民
[00:01:09.960 --> 00:01:14.360]  從埃及圍魯的狀態當中拯救出來
[00:01:14.360 --> 00:01:18.200]  在耶穌的時代 更有一個非常重要的意義
[00:01:18.200 --> 00:01:24.760]  因為當時猶太人都非常期待神在施行神蹟騎士
[00:01:24.760 --> 00:01:29.960]  把他們從羅馬的統治當中拯救出來
[00:01:29.960 --> 00:01:33.320]  那有人提過
[00:01:33.320 --> 00:01:37.000]  中國人在農曆新年上面
[00:01:37.000 --> 00:01:42.320]  很喜歡在門口上面貼一些窺春或者對聯
[00:01:42.320 --> 00:01:49.520]  那其實這一點跟猶太人過漁業節有點相似
[00:01:49.520 --> 00:01:53.400]  有個傳說 說中國過年的時候
[00:01:53.400 --> 00:01:57.440]  是曾經出現一個怪物叫鐮獸
[00:01:57.440 --> 00:02:02.080]  那年初夜的時候就跑出來吃人
[00:02:02.080 --> 00:02:06.600]  人們不知道從什麼地方就得到了一個信息
[00:02:06.600 --> 00:02:11.200]  如果你把一些紅色的對聯貼在門框上面
[00:02:11.200 --> 00:02:15.160]  提前做好飯 然後傳家 老少關門
[00:02:15.160 --> 00:02:17.960]  熄火 然後守歲的話
[00:02:17.960 --> 00:02:22.520]  那鐮獸就越過他們 不會攻擊他們
[00:02:22.520 --> 00:02:26.720]  那至於以色列人過漁業節
[00:02:26.720 --> 00:02:29.960]  同樣也是有類似的地方
[00:02:29.960 --> 00:02:34.080]  我們記得摩西當初帶領以色列民出埃及之後
[00:02:34.080 --> 00:02:36.600]  出埃及之前 法老不允許
[00:02:36.600 --> 00:02:42.120]  那神就藉著摩西降下十災
[00:02:42.120 --> 00:02:45.680]  前九災法老心還是剛硬
[00:02:45.680 --> 00:02:51.480]  一直到最後將埃及的長子全部滅絕的時候
[00:02:51.480 --> 00:02:55.160]  法老才讓以色列民離開
[00:02:55.160 --> 00:02:58.000]  在那一夜 神吩咐以色列民
[00:02:58.000 --> 00:03:01.360]  每家都要宰殺一隻羊羔
[00:03:01.360 --> 00:03:05.160]  在門框上面塗了一些羊羔的血
[00:03:05.160 --> 00:03:10.260]  那滅人命的看見就愉悅過去
[00:03:10.260 --> 00:03:13.820]  因此就叫漁業節
[00:03:13.820 --> 00:03:18.040]  那漁業節其實跟中國的春節
[00:03:18.040 --> 00:03:22.080]  有不少令人驚奇的相似的地方
[00:03:22.080 --> 00:03:25.120]  那上面就列了一點 雖然字不是太大
[00:03:25.120 --> 00:03:26.960]  但我可以告訴大家 就是有一些
[00:03:26.960 --> 00:03:30.320]  比如說 都是一年當中最大的節日
[00:03:30.320 --> 00:03:34.280]  大家一起團聚 那也是一年之首
