
[00:00:00.000 --> 00:00:02.000]  各位頂尖會員
[00:00:02.000 --> 00:00:04.000]  過去的裏面
[00:00:04.000 --> 00:00:08.000]  在新聞的報道裏面
[00:00:08.000 --> 00:00:13.000]  發生過一些令人髮指的殺人事件
[00:00:13.000 --> 00:00:17.000]  令人髮指的殺人事件
[00:00:17.000 --> 00:00:21.000]  有一個高官
[00:00:21.000 --> 00:00:24.000]  馬路上開車的時候
[00:00:24.000 --> 00:00:26.000]  撞低了一個人
[00:00:26.000 --> 00:00:31.000]  撞傷了他還在馬路上顛簸的時間
[00:00:31.000 --> 00:00:35.000]  這個司機不單沒有下車
[00:00:35.000 --> 00:00:40.000]  他還將車子繼續再硬過他
[00:00:40.000 --> 00:00:45.000]  前後前後滾了幾次
[00:00:45.000 --> 00:00:49.000]  將這個傷者滾死了
[00:00:49.000 --> 00:00:53.000]  然後開車離開
[00:00:53.000 --> 00:00:57.000]  但整個事件被人看到
[00:00:57.000 --> 00:01:01.000]  放在網上
[00:01:01.000 --> 00:01:03.000]  頂尖會員我想問大家
[00:01:03.000 --> 00:01:07.000]  有幾個人覺得這個司機應判死刑
[00:01:07.000 --> 00:01:11.000]  可不可以舉手
[00:01:11.000 --> 00:01:13.000]  很多
[00:01:13.000 --> 00:01:20.000]  另一個令人髮指的一些事件
[00:01:20.000 --> 00:01:26.000]  是最近在加拿大發生的
[00:01:26.000 --> 00:01:30.000]  有一個大學生
[00:01:30.000 --> 00:01:33.000]  因為女朋友移情別戀
[00:01:33.000 --> 00:01:35.000]  喜歡上了另一個人
[00:01:35.000 --> 00:01:37.000]  是中國的留學生
[00:01:37.000 --> 00:01:39.000]  他生氣起來
[00:01:39.000 --> 00:01:42.000]  殺死了女生
[00:01:42.000 --> 00:01:45.000]  另外殺了她的男朋友
[00:01:45.000 --> 00:01:50.000]  還將男朋友鋸開幾截
[00:01:50.000 --> 00:01:54.000]  試圖毀屍滅證
[00:01:54.000 --> 00:01:57.000]  很可惜天網恢恢疏而不漏
[00:01:57.000 --> 00:01:59.000]  是被發現
[00:01:59.000 --> 00:02:01.000]  我想問問大家
[00:02:01.000 --> 00:02:06.000]  有幾個人覺得這個人應該被判死刑
[00:02:06.000 --> 00:02:09.000]  可不可以舉手
[00:02:09.000 --> 00:02:11.000]  大部分
[00:02:11.000 --> 00:02:12.000]  第三
[00:02:12.000 --> 00:02:15.000]  Oslo發生一個殺人事件
[00:02:15.000 --> 00:02:18.000]  大家知道這個白人主義者
[00:02:18.000 --> 00:02:21.000]  他宣稱為上帝執行一個公義
[00:02:21.000 --> 00:02:24.000]  將有色人種和支持有色人種
[00:02:24.000 --> 00:02:28.000]  在他們國家的人殺死為止
[00:02:28.000 --> 00:02:30.000]  結果殺了十幾人
[00:02:30.000 --> 00:02:32.000]  捉到的時候非常鎮靜
[00:02:32.000 --> 00:02:36.000]  他還說
[00:02:36.000 --> 00:02:39.000]  我的計劃未完
[00:02:39.000 --> 00:02:41.000]  我會再繼續
[00:02:41.000 --> 00:02:43.000]  我不繼續
[00:02:43.000 --> 00:02:47.000]  我的同志們
[00:02:47.000 --> 00:02:51.000]  他們會執行這個計劃
[00:02:51.000 --> 00:02:52.000]  我想問問大家
[00:02:52.000 --> 00:02:55.000]  有幾個人認為這個人應該被判死刑
[00:02:55.000 --> 00:02:57.000]  可不可以舉手
[00:02:57.000 --> 00:02:59.000]  很多
[00:02:59.000 --> 00:03:03.000]  等下我講到剛才那些殺人事件的時候
[00:03:03.000 --> 00:03:06.000]  我們可以看到人類自第二代開始
[00:03:06.000 --> 00:03:10.000]  已經出現殺人的事件
[00:03:10.000 --> 00:03:14.000]  就那個哥哥
[00:03:14.000 --> 00:03:20.000]  殺死他的弟弟
[00:03:20.000 --> 00:03:22.000]  我們今天
[00:03:22.000 --> 00:03:25.000]  我們要問一個問題
