
[00:00:00.000 --> 00:00:02.440]  今天是十二月的第一個禮拜
[00:00:02.440 --> 00:00:05.440]  當我思想要講什麼道的時候
[00:00:05.440 --> 00:00:08.840]  我相信神很想我們思想耶穌基督
[00:00:08.840 --> 00:00:10.840]  祂來到這個世界是一個目的
[00:00:10.840 --> 00:00:12.760]  聖誕不單只是慶祝
[00:00:12.760 --> 00:00:14.320]  也更加要想
[00:00:14.320 --> 00:00:18.080]  我們說聖誕不是等於耶穌這個月份出世
[00:00:18.080 --> 00:00:20.920]  但是一個紀念祂降生的日子
[00:00:20.920 --> 00:00:22.480]  當我想到這個紀念的時候
[00:00:22.480 --> 00:00:25.200]  我想其中一段經文是
[00:00:25.200 --> 00:00:27.760]  路加福音剛才讀出來的一段經文
[00:00:27.760 --> 00:00:30.480]  我們說這是祂的使命宣言
[00:00:30.480 --> 00:00:33.320]  意思就是說祂來到這個世界要做什麼呢?
[00:00:33.320 --> 00:00:36.480]  這段經文其實也很特別
[00:00:36.480 --> 00:00:39.800]  這個字眼是低端人口
[00:00:39.800 --> 00:00:43.880]  這是最近很潮語的
[00:00:43.880 --> 00:00:47.280]  我相信耶穌基督當時就是對著這個低端人口
[00:00:47.280 --> 00:00:50.560]  有一個很大的福音要跟他們宣告
[00:00:50.560 --> 00:00:53.400]  這段經文分別記載馬太福音十三章
[00:00:53.400 --> 00:00:56.000]  馬可福音第六章都有記載
[00:00:56.000 --> 00:00:58.400]  當耶穌做完這個行動
[00:00:58.400 --> 00:00:59.400]  讀完聖經
[00:00:59.400 --> 00:01:01.160]  有一點點講解完
[00:01:01.160 --> 00:01:03.720]  其實反應很大
[00:01:03.720 --> 00:01:07.120]  甚至在其中一段經文說
[00:01:07.120 --> 00:01:08.680]  那些人要把祂推下山
[00:01:08.680 --> 00:01:10.040]  差不多要殺死祂
[00:01:10.040 --> 00:01:11.880]  拉祂到一個懸崖
[00:01:11.880 --> 00:01:13.600]  其實不是一個山的懸崖
[00:01:13.600 --> 00:01:17.320]  可能是一個從高處推祂到低處
[00:01:17.320 --> 00:01:18.960]  然後可能用石頭扔祂
[00:01:18.960 --> 00:01:21.040]  有一點點這樣的反應
[00:01:21.040 --> 00:01:24.080]  究竟為什麼耶穌講完這麼好的事情
[00:01:24.080 --> 00:01:27.280]  那些人會有這樣的反應呢
[00:01:27.280 --> 00:01:30.280]  講之前引用馬丁路德金
[00:01:30.280 --> 00:01:32.960]  在1968年其中一句這樣的說話
[00:01:32.960 --> 00:01:35.120]  他說每個人都可以是偉大的
[00:01:35.120 --> 00:01:37.160]  因為每個人都可以服侍
[00:01:37.160 --> 00:01:39.160]  你不需要大學文憑
[00:01:39.160 --> 00:01:42.160]  你不需要明白很深的句子
[00:01:42.160 --> 00:01:46.040]  你不需要知道柏拉圖或阿里士多德是誰
[00:01:46.040 --> 00:01:49.680]  你只要一個充滿感恩的心
[00:01:49.680 --> 00:01:53.120]  一個被愛激勵的靈魂
[00:01:53.120 --> 00:01:55.560]  其實我們每個人都可以成為偉大的人物
[00:01:55.560 --> 00:01:57.680]  因為正如馬丁路德金所說
[00:01:57.680 --> 00:02:00.200]  你不需要很高尚的學識
[00:02:00.200 --> 00:02:03.120]  剛才說的話你真的不知道是無所謂的
[00:02:03.120 --> 00:02:06.800]  因為你完全不知道為什麼柏拉圖或阿里士多德
[00:02:06.800 --> 00:02:08.600]  除了Kenny熟悉之外
[00:02:08.600 --> 00:02:09.840]  其他人都不太熟悉的
[00:02:09.840 --> 00:02:11.840]  因為他讀哲學,他認識他們
[00:02:11.840 --> 00:02:15.040]  最重要的是你愛上帝
[00:02:15.040 --> 00:02:15.960]  愛靈魂
[00:02:15.960 --> 00:02:19.120]  一個感恩感謝耶穌基督去拯救你
[00:02:19.120 --> 00:02:22.760]  這個生命足夠驅使我們服侍
[00:02:22.760 --> 00:02:23.920]  很多人
[00:02:23.920 --> 00:02:25.920]  經文剛才提到耶穌
[00:02:25.920 --> 00:02:27.920]  進入會堂裡面
[00:02:27.920 --> 00:02:30.640]  在會堂裡面有一個環節
[00:02:30.640 --> 00:02:34.240]  其中一個是讀不同的聖經的部分
[00:02:34.240 --> 00:02:36.800]  有讀摩西五經,有讀詩篇
[00:02:36.800 --> 00:02:38.800]  有讀先知書其中一個部分
[00:02:38.800 --> 00:02:40.520]  有祈禱,有祝福
[00:02:40.520 --> 00:02:42.160]  有幾個這樣的步驟
[00:02:42.160 --> 00:02:45.200]  耶穌就在其中一個過程裡面參與了
[00:02:45.200 --> 00:02:49.920]  就是拿先知書,以塞瓦書來讀經文
[00:02:49.920 --> 00:02:53.560]  以前經卷是這樣的,卷軸
[00:02:53.560 --> 00:02:55.560]  大概兩尺這麼闊
[00:02:55.560 --> 00:02:56.680]  高或者闊
[00:02:56.680 --> 00:03:00.120]  卷著回去一個部分
[00:03:00.120 --> 00:03:03.400]  耶穌基督就回到其中一段的經文裡面
[00:03:03.400 --> 00:03:04.600]  其實是兩段經文
[00:03:04.600 --> 00:03:07.280]  他將兩段經文集合了來讀
[00:03:07.280 --> 00:03:09.600]  在以塞瓦書裡面讀出
[00:03:09.600 --> 00:03:13.400]  五十八章第六節和六十一章第一第二節
[00:03:13.400 --> 00:03:16.720]  有少許的集合了來讀
[00:03:16.720 --> 00:03:22.800]  當時那段經文是離塞瓦要來到要成就的事情
[00:03:22.800 --> 00:03:24.440]  耶穌讀了那些經文
[00:03:24.440 --> 00:03:26.800]  最令人驚訝的就是說
[00:03:26.800 --> 00:03:29.680]  今天這些經文已經應驗在當中了
[00:03:29.680 --> 00:03:32.840]  就是說耶穌就是這個離塞瓦
[00:03:32.840 --> 00:03:35.120]  剛才說過有些人反應很不溢
[00:03:35.120 --> 00:03:37.560]  有些人很歡迎,有些人很拒絕
[00:03:37.560 --> 00:03:38.480]  為什麼要拒絕呢?
[00:03:38.480 --> 00:03:41.360]  其中一個拒絕的原因就是他們不相信
[00:03:41.360 --> 00:03:42.880]  這個他們熟悉的耶穌
[00:03:42.880 --> 00:03:45.840]  因為這是回到他們家鄉拿撒勒的裡面
