
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹我們一起來禱告
[00:00:02.000 --> 00:00:06.740]  主啊 今天祢教導我們要小心
[00:00:06.740 --> 00:00:11.740]  免得我們失去了在工作中的滿足
[00:00:11.740 --> 00:00:15.100]  我願我們在淑麟家裡面的兒女們
[00:00:15.100 --> 00:00:18.380]  我們時刻能夠在妳的面前
[00:00:18.380 --> 00:00:20.580]  了解妳的心意
[00:00:20.580 --> 00:00:25.380]  以後在我們生命中大小的事情上
[00:00:25.380 --> 00:00:29.680]  都能夠顯露主已經見察了我們的心腸
[00:00:30.080 --> 00:00:35.820]  讓我們能夠在容易讓我們思迷的世代裡面
[00:00:35.820 --> 00:00:42.100]  能夠認清楚主耶穌基督在我們生命中的心意
[00:00:42.100 --> 00:00:45.500]  我願今天主祢賜下的言語
[00:00:45.500 --> 00:00:49.700]  讓我們能夠保得上帝的教導跟慈愛
[00:00:49.700 --> 00:00:53.060]  也幫助我們能在祢話語中
[00:00:53.060 --> 00:00:55.560]  曉得如何分辨出來
[00:00:55.560 --> 00:00:58.360]  成為神國的兒女
[00:00:58.660 --> 00:01:00.660]  又能為主徵贊
[00:01:00.660 --> 00:01:03.660]  成為這個世代的見證人
[00:01:03.660 --> 00:01:08.660]  幫助我們讓我們的心靈與聖靈同工
[00:01:08.660 --> 00:01:10.660]  好教在妳的手中
[00:01:10.660 --> 00:01:14.660]  我們常經歷主帶領中的奇妙
[00:01:14.660 --> 00:01:19.660]  感恩禱告靠恩主耶穌基督的聖靈
[00:01:19.660 --> 00:01:22.660]  今天因為時間的關係
[00:01:22.660 --> 00:01:24.660]  所以我會在今天
[00:01:24.660 --> 00:01:27.660]  不能夠把整個信息跟大家來分享
[00:01:27.660 --> 00:01:30.660]  剛才我們的長職會的主席
[00:01:30.660 --> 00:01:34.660]  特別的講到我們在聘募裡面所走過的道路
[00:01:34.660 --> 00:01:38.660]  很簡單的缺要的跟大家來講
[00:01:38.660 --> 00:01:41.660]  就是我們經過了大概一年多的時間
[00:01:41.660 --> 00:01:47.660]  我們在當中我們覺得有一位的神的僕人
[00:01:47.660 --> 00:01:49.660]  我們希望在這個時候
[00:01:49.660 --> 00:01:52.660]  我們帶到教會的長職會
[00:01:52.660 --> 00:01:58.660]  我們推薦他成為我們團七部牧師的候選的牧師
[00:01:58.660 --> 00:02:01.660]  那麼他五月初的時候會來
[00:02:01.660 --> 00:02:06.660]  之前我們會有教會的諮詢的會議
[00:02:06.660 --> 00:02:08.660]  在21號跟28號
[00:02:08.660 --> 00:02:14.660]  委員弟兄姊妹在當中帶著尋求神心意的心
[00:02:14.660 --> 00:02:18.660]  一同來在神的面前尋求
[00:02:18.660 --> 00:02:21.660]  也在當中能夠在五月的時候
[00:02:21.660 --> 00:02:25.660]  他來的時候我們有機會能夠跟他會面
[00:02:25.660 --> 00:02:28.660]  能夠了解他的生命
[00:02:28.660 --> 00:02:30.660]  能夠了解他的負擔
[00:02:30.660 --> 00:02:36.660]  也能夠了解他在牧養中的一些的看見
[00:02:36.660 --> 00:02:39.660]  願我們都在主的手中
[00:02:39.660 --> 00:02:41.660]  我們都贖福神家的
[00:02:41.660 --> 00:02:44.660]  好讓我們一起走過這個道路
[00:02:44.660 --> 00:02:47.660]  尋求他明白他的心意
[00:02:47.660 --> 00:02:52.660]  也在當中能夠看見神穩定的手
[00:02:52.660 --> 00:02:54.660]  在我們教會中來帶領
[00:02:54.660 --> 00:02:59.660]  今天我跟大家來分享的題目叫做真愛的察驗
[00:02:59.660 --> 00:03:01.660]  過去幾個月跟大家來分享
[00:03:01.660 --> 00:03:03.660]  關於約翰一書的信息
[00:03:03.660 --> 00:03:05.660]  其實很簡單的來說
[00:03:05.660 --> 00:03:07.660]  有三個很重要的地方
[00:03:07.660 --> 00:03:09.660]  當我們明白主愛的時候
[00:03:09.660 --> 00:03:12.660]  我們發現原來主愛是這樣子真實的
[00:03:12.660 --> 00:03:15.660]  這個是約翰一書裡面跟我們講
[00:03:15.660 --> 00:03:19.660]  不是思想、不是我的取向、不是我自由的選擇
[00:03:19.660 --> 00:03:22.660]  乃是這個真實無比的上帝
[00:03:22.660 --> 00:03:27.660]  竟然把道成肉身的主帶在我們的生命裡面
[00:03:27.660 --> 00:03:29.660]  當我們認識這個真愛
[00:03:29.660 --> 00:03:31.660]  上帝的真愛的時候我們也曉得
[00:03:31.660 --> 00:03:35.660]  原來他的真愛是具有救贖性
[00:03:35.660 --> 00:03:39.660]  我們可能會懷疑我們的經驗
[00:03:39.660 --> 00:03:43.660]  我們可能會懷疑世上很多的事情
[00:03:43.660 --> 00:03:45.660]  但是神告訴我們
[00:03:45.660 --> 00:03:47.660]  因做他真實的愛
[00:03:47.660 --> 00:03:50.660]  我們有一位完備的珠寶
[00:03:50.660 --> 00:03:53.660]  在我們的生命中來行走
[00:03:53.660 --> 00:03:55.660]  約翰一書第三章裡面
[00:03:55.660 --> 00:03:59.660]  特別講到原來這一份的真愛是讓我們有觸動
[00:03:59.660 --> 00:04:02.660]  所以我們不僅僅是接受了神的愛
[00:04:02.660 --> 00:04:04.660]  我們受他的愛的激動
[00:04:04.660 --> 00:04:06.660]  受他的愛的激勵
[00:04:06.660 --> 00:04:08.660]  我們要彼此的相愛
[00:04:08.660 --> 00:04:13.660]  所以今天我願意跟大家來分享這個第四個主要的題目
[00:04:13.660 --> 00:04:19.660]  就是神所給我們的這個真愛是具有察驗能力的
