
[00:00:00.000 --> 00:00:04.160]  剛才我見到有些朋友是我昨晚見到的
[00:00:04.160 --> 00:00:07.160]  但我知道他不是太喜歡聽我說話
[00:00:07.160 --> 00:00:10.440]  因為他想帶些朋友來
[00:00:10.440 --> 00:00:14.920]  為何聽福音主日是基督徒喜歡聽呢
[00:00:14.920 --> 00:00:18.160]  其實就是剛才說的聖經
[00:00:18.160 --> 00:00:21.440]  信了耶穌之後 你還有苦難
[00:00:21.440 --> 00:00:24.800]  你還有哭的時間 還有不如意的時間
[00:00:24.800 --> 00:00:30.360]  不過他已經將你的哀哭變成跳舞
[00:00:30.360 --> 00:00:35.840]  去年我在福音主日講的題目叫做
[00:00:35.840 --> 00:00:40.920]  你不記得吧 叫做「給我好日子」
[00:00:40.920 --> 00:00:43.320]  當時我在想續集是甚麼呢
[00:00:43.320 --> 00:00:48.280]  當時我在想換個字眼叫做「哀哭變做跳舞」
[00:00:48.280 --> 00:00:52.880]  這個好日子其實變成了另一個喜劇的開始
[00:00:52.880 --> 00:00:56.440]  但在我講之前我一定想念一個朋友
[00:00:56.440 --> 00:00:57.920]  我不知道他今天有沒有來
[00:00:57.920 --> 00:01:01.600]  他是一個醫生 是我旁邊讀中學的師兄
[00:01:01.600 --> 00:01:06.240]  他經常都想問我怎樣可以信耶穌
[00:01:06.240 --> 00:01:07.320]  他問我問得很特別
[00:01:07.320 --> 00:01:11.200]  他說如果他上天堂
[00:01:11.200 --> 00:01:14.120]  回答我的名字會否比較容易
[00:01:14.120 --> 00:01:17.880]  我說你以為醫院referral嗎
[00:01:17.880 --> 00:01:19.240]  我說不是的
[00:01:19.240 --> 00:01:23.240]  他說有個辦法就是你去教會聽半小時而已
[00:01:23.240 --> 00:01:25.560]  不是很長的 福音主日
[00:01:25.560 --> 00:01:27.760]  我鼓勵他今天來
[00:01:27.760 --> 00:01:30.720]  其實聽半小時聽甚麼呢
[00:01:30.720 --> 00:01:32.960]  不是一定很長的
[00:01:32.960 --> 00:01:37.160]  因為其實生命是一個希望
[00:01:37.160 --> 00:01:40.440]  你聽到那個希望其實你就聽到了
[00:01:40.440 --> 00:01:41.480]  希望是甚麼呢
[00:01:41.480 --> 00:01:43.880]  就是如果我告訴你
[00:01:43.880 --> 00:01:48.000]  你下星期有間新的屋是送給你住的
[00:01:48.000 --> 00:01:50.080]  好住過現在很多的
[00:01:50.080 --> 00:01:53.520]  還有就是你家裏面最快樂的東西會出現
[00:01:53.520 --> 00:01:55.480]  就是你家裏有個大的影院
[00:01:55.480 --> 00:01:56.600]  有個大的泳池
[00:01:56.600 --> 00:01:57.760]  說著說著你都覺得
[00:01:57.760 --> 00:02:00.520]  不如不要下星期了 現在就這樣
[00:02:00.520 --> 00:02:01.360]  希望是甚麼呢
[00:02:01.360 --> 00:02:04.480]  希望就是你很想它出現
[00:02:04.480 --> 00:02:06.360]  如果你現在人生裏面
[00:02:06.360 --> 00:02:09.080]  還有些東西很想遲些出現是好的
[00:02:09.080 --> 00:02:12.080]  你會很樂意活下去的
[00:02:12.080 --> 00:02:14.000]  但如果你天天都覺得
[00:02:14.000 --> 00:02:15.280]  跟昨天差不多而已
[00:02:15.280 --> 00:02:17.880]  我只是生活而已
[00:02:17.880 --> 00:02:19.320]  兩餐而已
[00:02:19.320 --> 00:02:22.200]  你會慢慢覺得都是沒甚麼興趣
[00:02:22.200 --> 00:02:23.880]  我相信今天你坐在這裏
[00:02:23.880 --> 00:02:26.120]  你都是很希望找到
[00:02:26.120 --> 00:02:28.960]  一個下一步是甚麼呢
[00:02:28.960 --> 00:02:31.280]  我見過一個測驗這樣說
[00:02:31.280 --> 00:02:33.440]  我以前是教心理學的
[00:02:33.440 --> 00:02:36.520]  測驗經常都想計算一些統計
[00:02:36.520 --> 00:02:39.000]  最吸引我的統計就是
[00:02:39.000 --> 00:02:44.400]  人最開心是多少歲
[00:02:44.400 --> 00:02:48.240]  你知道多少歲嗎
[00:02:48.240 --> 00:02:50.680]  你已經渡過了
[00:02:50.680 --> 00:02:55.400]  那個年歲是八歲
[00:02:55.400 --> 00:02:57.800]  我和你想一想
[00:02:57.800 --> 00:03:00.080]  八歲的時候你又上學了
[00:03:00.080 --> 00:03:03.640]  你上學就會收到一張紙
[00:03:03.640 --> 00:03:06.960]  那張紙是你鄰居給你的
[00:03:06.960 --> 00:03:10.520]  他說我媽媽很胖
[00:03:10.520 --> 00:03:13.000]  你又回一張紙給他
[00:03:13.000 --> 00:03:15.480]  我爸爸吸煙
[00:03:15.480 --> 00:03:18.280]  你很開心說一些東西給別人聽
[00:03:18.280 --> 00:03:20.280]  是別人喜歡聽的
[00:03:20.280 --> 00:03:22.640]  別人是跟你交換的
[00:03:22.640 --> 00:03:23.600]  你很開心
[00:03:23.600 --> 00:03:25.920]  你認識了一個朋友
[00:03:25.920 --> 00:03:28.480]  當時是否叫知己呢
[00:03:28.480 --> 00:03:30.200]  現在我們覺得不算
[00:03:30.200 --> 00:03:31.960]  但當時覺得是的
[00:03:31.960 --> 00:03:33.880]  你很喜歡這幾個好朋友
[00:03:33.880 --> 00:03:36.000]  可能坐在你隔壁的位置
[00:03:36.000 --> 00:03:38.040]  你感覺到很親愛
[00:03:38.040 --> 00:03:40.480]  找到一班人對你有興趣
[00:03:40.480 --> 00:03:42.160]  聽你說話
[00:03:42.160 --> 00:03:47.320]  但是人生最不開心是多少歲呢
[00:03:47.320 --> 00:03:48.560]  你猜得到嗎
[00:03:48.560 --> 00:03:50.400]  你又渡過了
[00:03:50.400 --> 00:03:53.480]  就是十五歲
[00:03:53.480 --> 00:03:55.360]  為甚麼十五歲最不開心呢
[00:03:55.360 --> 00:03:57.160]  就是十五歲你認識很多人
[00:03:57.160 --> 00:03:59.720]  你對他們有期望
[00:03:59.720 --> 00:04:01.920]  你覺得他應該掛念你的
[00:04:01.920 --> 00:04:03.720]  他應該幫助你的
[00:04:03.720 --> 00:04:07.600]  以及應該為你赴湯蹈火的
[00:04:07.600 --> 00:04:09.800]  但現在你說離家出走
[00:04:09.800 --> 00:04:10.760]  他約了在哪裏等
[00:04:10.760 --> 00:04:11.720]  他沒有去到
[00:04:11.720 --> 00:04:13.520]  你已經一個人了
[00:04:13.520 --> 00:04:15.520]  你發現這班好朋友
[00:04:15.520 --> 00:04:17.600]  其實都不是太能教的
[00:04:17.600 --> 00:04:19.280]  是說話的
[00:04:19.280 --> 00:04:20.480]  有時令你失望
[00:04:20.480 --> 00:04:22.240]  雖然玩的時候嘻嘻哈哈
