
[00:00:00.000 --> 00:00:02.600]  跟旁邊的八位早年,好嗎?
[00:00:02.600 --> 00:00:05.480]  很難得大家看到這麼多人在我們當中
[00:00:05.480 --> 00:00:10.040]  今天是說三代同堂的祝福
[00:00:10.040 --> 00:00:11.600]  很少聽到這些字眼,是吧?
[00:00:11.600 --> 00:00:13.800]  三代同堂,幾代同堂那些
[00:00:13.800 --> 00:00:17.440]  一般我們新年都是說一些比較新潮的
[00:00:17.440 --> 00:00:19.960]  即是叫做恭賀語的,OK?
[00:00:19.960 --> 00:00:23.520]  但想問一下有沒有人見過這種東西的?
[00:00:23.520 --> 00:00:25.200]  這隻叫什麼?
[00:00:25.200 --> 00:00:26.760]  五代同堂
[00:00:26.760 --> 00:00:30.360]  想問一下大家有多少人有五代同堂的?
[00:00:30.360 --> 00:00:34.520]  有沒有?知不知道五代是指哪五代?
[00:00:34.520 --> 00:00:36.160]  有五代同堂嗎?
[00:00:36.160 --> 00:00:38.080]  哇!給點掌聲恭賀一下
[00:00:38.080 --> 00:00:39.760]  真是不簡單
[00:00:39.760 --> 00:00:45.120]  因為以前說有五代同堂,五世祈昌
[00:00:45.120 --> 00:00:47.840]  即是這樣的恭賀語,很久沒有聽過了
[00:00:47.840 --> 00:00:51.320]  找一些長輩圖看看
[00:00:51.320 --> 00:00:52.800]  其實什麼叫五代呢?
[00:00:52.800 --> 00:00:56.440]  簡單來說,我們自己是一代
[00:00:56.440 --> 00:00:59.240]  如果我們上面有爸爸媽媽的,OK?
[00:00:59.240 --> 00:01:00.560]  有多一代了
[00:01:00.560 --> 00:01:03.600]  然後我們的祖父母
[00:01:03.600 --> 00:01:05.800]  祖母祖父母、祖母祖父母那些
[00:01:05.800 --> 00:01:06.800]  仍然存在的
[00:01:06.800 --> 00:01:08.640]  我們已經有三代的
[00:01:08.640 --> 00:01:12.480]  如果你又更加有,是什麼?
[00:01:12.480 --> 00:01:13.960]  曾祖父母
[00:01:13.960 --> 00:01:17.760]  即是太爺、太祖母、太婆、太公那些
[00:01:17.760 --> 00:01:20.240]  我自己就真的沒有見過
[00:01:20.240 --> 00:01:22.560]  我自己上面這個所謂阿太那些的
[00:01:22.560 --> 00:01:25.040]  其實他叫什麼名字都沒有提過的
[00:01:25.040 --> 00:01:26.320]  不太知道,OK?
[00:01:26.320 --> 00:01:29.560]  然後如果我們自己生了子女,OK?
[00:01:29.560 --> 00:01:32.640]  全部都齊齊的時候
[00:01:32.640 --> 00:01:35.200]  那你至少就是有五代
[00:01:35.200 --> 00:01:39.520]  或者你自己已經是生孫了,行不行?
[00:01:39.520 --> 00:01:41.520]  那你也照舊叫做五代
[00:01:41.520 --> 00:01:44.000]  其實是一件真是不容易的事
[00:01:44.000 --> 00:01:48.120]  我想在香港一般三代就比較容易一點,是嗎?
[00:01:48.120 --> 00:01:50.400]  有多少已經是三代同堂的?
[00:01:50.400 --> 00:01:51.240]  舉手吧
[00:01:51.240 --> 00:01:54.000]  不,你對上三代,或者你去下三代,是吧
[00:01:54.000 --> 00:01:58.120]  即是我們要學習一下這些家庭的關係
[00:01:58.120 --> 00:02:00.160]  因為開始要去拜年
[00:02:00.160 --> 00:02:02.120]  某程度我不知道大家是
[00:02:02.120 --> 00:02:03.560]  拜年對你來說
[00:02:03.560 --> 00:02:06.920]  即是新年來說是一個開心還是不開心的日子
[00:02:06.920 --> 00:02:09.200]  對於我們做小朋友的時候
[00:02:09.200 --> 00:02:10.680]  拜年是很開心的
[00:02:10.680 --> 00:02:14.400]  因為新年才會穿新衫的
[00:02:14.400 --> 00:02:15.920]  但是現在我想都不會了
[00:02:15.920 --> 00:02:18.240]  我們平時已經穿新衫穿了很多
[00:02:18.240 --> 00:02:21.720]  很少特地為了新年去買什麼新衫
[00:02:21.720 --> 00:02:25.600]  不過小朋友開心是因為我們有利是豆,是嗎?
[00:02:25.600 --> 00:02:29.440]  那利是呢,知不知道以前是沒有錢的?
[00:02:29.440 --> 00:02:31.960]  原來最原始的利是是不入錢的
[00:02:31.960 --> 00:02:35.720]  他們說是入一個柏葉和一條紅繩的
[00:02:35.720 --> 00:02:38.520]  那然後就算是老一代的嬌童
[00:02:38.520 --> 00:02:42.440]  他們的利是就是會入一張金句卡的
[00:02:42.440 --> 00:02:46.760]  那大家試一下,這樣送給你的小朋友看他什麼面孔
[00:02:46.760 --> 00:02:48.400]  看這些困難,真是
[00:02:48.400 --> 00:02:52.040]  我們小時候其實年二十多已經是很忙的了
[00:02:52.040 --> 00:02:57.240]  因為就要開始蒸糕和開油鑊用來炸東西
[00:02:57.240 --> 00:03:02.760]  那我相信當今天下香港地就少開油鑊再炸東西的了
[00:03:02.760 --> 00:03:05.240]  我以前都是自己做蘿蔔糕,芋頭糕的
[00:03:05.240 --> 00:03:07.920]  但是都十年其實都沒有做了
[00:03:07.920 --> 00:03:09.560]  那就是一般是買的
[00:03:09.560 --> 00:03:10.880]  我想問一下家裡的全盒
[00:03:10.880 --> 00:03:12.480]  初二應該有的,是嗎?
[00:03:12.480 --> 00:03:14.640]  即是有個全盒出現的
[00:03:14.640 --> 00:03:15.920]  很坦白我還沒有的
[00:03:15.920 --> 00:03:16.960]  我明天才有人來
[00:03:16.960 --> 00:03:20.080]  因為今年這兩天都借著探訪
[00:03:20.080 --> 00:03:21.560]  因為全部是侍奉的嘛
[00:03:21.560 --> 00:03:26.720]  那所以你的年盒像不像這個?
[00:03:26.720 --> 00:03:28.440]  不像啦,是不是?
[00:03:28.440 --> 00:03:30.960]  應該我們都不是買這些的了
[00:03:30.960 --> 00:03:33.000]  全盒都有變化的
[00:03:33.000 --> 00:03:35.200]  因為我頭十年都有這些的
[00:03:35.200 --> 00:03:37.080]  但是都,接著就發覺
[00:03:37.080 --> 00:03:39.800]  每次完了之後剩下我們煲糖水而已
[00:03:39.800 --> 00:03:41.280]  都沒有人吃的
[00:03:41.280 --> 00:03:43.440]  那所以都不買這些的了
[00:03:43.440 --> 00:03:46.080]  那不過呢,我的全盒有兩樣東西一定有的
[00:03:46.080 --> 00:03:48.280]  第一個就叫做大白兔糖
[00:03:48.280 --> 00:03:49.640]  因為小時候,不知道為什麼
[00:03:49.640 --> 00:03:50.720]  總之家家戶戶都有這個
[00:03:50.720 --> 00:03:53.280]  這個是一個很好吃的回憶
[00:03:53.280 --> 00:03:56.040]  所以幾十歲的人都會擺大白兔糖的
[00:03:56.040 --> 00:03:58.440]  但是我家裡有一樣東西一定會擺的
[00:03:58.440 --> 00:04:00.760]  就是這一隻的杏仁糖
[00:04:00.760 --> 00:04:03.520]  那原因呢,其實你問它甜
[00:04:03.520 --> 00:04:06.400]  現在不吃甜的,就覺得它是甜的
[00:04:06.400 --> 00:04:09.160]  但是對於我們家裡來說
[00:04:09.160 --> 00:04:11.880]  我發現原來我們這麼多兄弟姐妹
[00:04:11.880 --> 00:04:15.440]  家裡的全盒都會擺這一隻糖的
[00:04:15.440 --> 00:04:17.160]  為什麼會擺這一隻杏仁糖呢
[00:04:17.160 --> 00:04:19.560]  因為當年我們小時候
[00:04:19.560 --> 00:04:21.600]  它是送一隻貴的糖來的
[00:04:21.600 --> 00:04:23.480]  我不知道有沒有我們這個年代
[00:04:23.480 --> 00:04:25.800]  它跟大白兔糖差很遠的
[00:04:25.800 --> 00:04:27.600]  就是它是貴的糖來的
[00:04:27.600 --> 00:04:29.120]  媽媽是不會買的
[00:04:29.120 --> 00:04:32.760]  不過呢,我們有一個很疼我們的阿姨
[00:04:32.760 --> 00:04:34.080]  阿姨來的時候
[00:04:34.080 --> 00:04:36.600]  就一定是買這一隻糖給我們
[00:04:36.600 --> 00:04:37.680]  因為那時候有一個口號
[00:04:37.680 --> 00:04:39.560]  送給你最愛的人的
[00:04:39.560 --> 00:04:41.560]  我不知道你還記得這個廣告
[00:04:41.560 --> 00:04:43.000]  那所以很有趣的
[00:04:43.000 --> 00:04:44.480]  突然間聊聊天
[00:04:44.480 --> 00:04:45.960]  原來我們長大了
[00:04:45.960 --> 00:04:49.640]  我幾兄弟姐妹一說起這個全盒的時候
[00:04:49.640 --> 00:04:52.920]  都會去預備這一隻杏仁糖的
[00:04:52.920 --> 00:04:55.040]  那我相信其實就是因為
[00:04:55.040 --> 00:04:56.840]  往往這些節日裡面
[00:04:56.840 --> 00:05:00.440]  都會勾起我們一些所謂兒時的回憶
[00:05:00.440 --> 00:05:02.920]  就是一些在家裡
[00:05:02.920 --> 00:05:05.840]  很開心快樂的食品、糖果
[00:05:05.840 --> 00:05:08.760]  我們都覺得是一個很好記憶的時間
