
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹各位朋友早晨
[00:00:02.000 --> 00:00:02.800]  早晨
[00:00:02.800 --> 00:00:04.000]  祝你們平安
[00:00:04.000 --> 00:00:06.000]  在這個聖誕假期
[00:00:06.000 --> 00:00:10.000]  不知道大家有沒有機會和親友一起去共聚
[00:00:10.000 --> 00:00:12.000]  你參加了什麼活動
[00:00:12.000 --> 00:00:15.000]  以及過程有什麼感受呢?
[00:00:15.000 --> 00:00:17.000]  我們的教會兒童堡
[00:00:17.000 --> 00:00:19.000]  我們每一年在十一、十二月
[00:00:19.000 --> 00:00:23.000]  都會和小朋友一起去旅行
[00:00:23.000 --> 00:00:26.000]  我們都出了幾隊
[00:00:26.000 --> 00:00:28.000]  過程都很開心
[00:00:28.000 --> 00:00:30.000]  有一次
[00:00:30.000 --> 00:00:32.000]  我們一起集了隊
[00:00:32.000 --> 00:00:34.000]  準備去搭車
[00:00:34.000 --> 00:00:36.000]  上車的時候
[00:00:36.000 --> 00:00:39.000]  可能因為和司機有些協調的時間
[00:00:39.000 --> 00:00:41.000]  有些誤會
[00:00:41.000 --> 00:00:44.000]  我們遲了十分鐘
[00:00:44.000 --> 00:00:46.000]  司機就很火爆
[00:00:46.000 --> 00:00:48.000]  我們一上車就開始罵我們
[00:00:48.000 --> 00:00:50.000]  「你為什麼遲了?」
[00:00:50.000 --> 00:00:52.000]  我們馬上道歉
[00:00:52.000 --> 00:00:54.000]  說不好意思
[00:00:54.000 --> 00:00:57.000]  可能有些事情沒有處理好
[00:00:57.000 --> 00:00:59.000]  在過程中
[00:00:59.000 --> 00:01:02.000]  司機一邊開車一邊都在罵
[00:01:02.000 --> 00:01:05.000]  車程大約二十分鐘
[00:01:05.000 --> 00:01:07.000]  我們很開心就去到目的地
[00:01:07.000 --> 00:01:10.000]  小朋友就陸續下車
[00:01:10.000 --> 00:01:13.000]  只剩下一批比較大的小朋友
[00:01:13.000 --> 00:01:16.000]  我們全程加上導師、小朋友
[00:01:16.000 --> 00:01:18.000]  也不多人的一次
[00:01:18.000 --> 00:01:20.000]  大約二十人左右
[00:01:20.000 --> 00:01:23.000]  最後下車的那批是比較大的小朋友
[00:01:23.000 --> 00:01:25.000]  他們很興奮
[00:01:25.000 --> 00:01:27.000]  到了目的地
[00:01:27.000 --> 00:01:29.000]  自然就跳了上來
[00:01:29.000 --> 00:01:32.000]  在車廂裡面跳了幾下
[00:01:32.000 --> 00:01:34.000]  誰知道
[00:01:34.000 --> 00:01:36.000]  氣死司機哥哥
[00:01:36.000 --> 00:01:37.000]  然後又罵
[00:01:37.000 --> 00:01:39.000]  車子是用來坐的
[00:01:39.000 --> 00:01:41.000]  不是給你跳的
[00:01:41.000 --> 00:01:45.000]  我們馬上叫小朋友安靜
[00:01:45.000 --> 00:01:47.000]  然後他就再罵
[00:01:47.000 --> 00:01:49.000]  「你這樣弄壞我的車子」
[00:01:49.000 --> 00:01:51.000]  我心想
[00:01:51.000 --> 00:01:53.000]  有點誇張
[00:01:53.000 --> 00:01:56.000]  後面的導師就快點叫孩子安靜
[00:01:56.000 --> 00:01:58.000]  誰知道
[00:01:58.000 --> 00:02:00.000]  趕了還刺激司機
[00:02:00.000 --> 00:02:02.000]  因為他誤會了
[00:02:02.000 --> 00:02:04.000]  我們叫他安靜
[00:02:04.000 --> 00:02:05.000]  那就大件事了
[00:02:05.000 --> 00:02:07.000]  其實當時的小朋友
[00:02:07.000 --> 00:02:09.000]  也不是跳了很多下
[00:02:09.000 --> 00:02:10.000]  一兩下也不是很誇張
[00:02:10.000 --> 00:02:11.000]  不過他不知道為什麼
[00:02:11.000 --> 00:02:13.000]  可能他有其他事情在說
[00:02:13.000 --> 00:02:14.000]  我們影響了他
[00:02:14.000 --> 00:02:16.000]  所以他就很生氣
[00:02:16.000 --> 00:02:18.000]  就罵了我們
[00:02:18.000 --> 00:02:20.000]  其實小朋友一講完
[00:02:20.000 --> 00:02:22.000]  他也沒有再去跳了
[00:02:22.000 --> 00:02:23.000]  也不是跳得很誇張
[00:02:23.000 --> 00:02:24.000]  輕輕跳了幾下
[00:02:24.000 --> 00:02:25.000]  他不喜歡
[00:02:25.000 --> 00:02:28.000]  導師就上前解釋
[00:02:28.000 --> 00:02:31.000]  「不是說你啊司機哥哥」
[00:02:31.000 --> 00:02:33.000]  他也不聽
[00:02:33.000 --> 00:02:35.000]  就繼續罵
[00:02:35.000 --> 00:02:37.000]  當時我站在車子的樓梯口
[00:02:37.000 --> 00:02:40.000]  等小朋友下來扶一扶他
[00:02:40.000 --> 00:02:41.000]  我看到這種情形
[00:02:41.000 --> 00:02:43.000]  也知道再說
[00:02:43.000 --> 00:02:45.000]  也沒有什麼效果
[00:02:45.000 --> 00:02:46.000]  我就叫導師
[00:02:46.000 --> 00:02:47.000]  「你下來吧」
[00:02:47.000 --> 00:02:48.000]  跟司機說
[00:02:48.000 --> 00:02:50.000]  「不好意思,影響了你」
[00:02:50.000 --> 00:02:55.000]  然後我們去了遊樂場
[00:02:55.000 --> 00:02:57.000]  玩了一個上午
[00:02:57.000 --> 00:03:00.000]  我們在過程中
[00:03:00.000 --> 00:03:02.000]  其實大家都玩得很開心
[00:03:02.000 --> 00:03:03.000]  但是經過這件事
[00:03:03.000 --> 00:03:06.000]  其實當時導師、孩子、我
[00:03:06.000 --> 00:03:08.000]  其實也有一點生氣
[00:03:08.000 --> 00:03:10.000]  就覺得很不合理
[00:03:10.000 --> 00:03:12.000]  你用不著這麼誇張罵我們
[00:03:12.000 --> 00:03:14.000]  但是在那時候
[00:03:14.000 --> 00:03:16.000]  我就記起神的說話
[00:03:16.000 --> 00:03:20.000]  他說:「回答又和」
[00:03:20.000 --> 00:03:22.000]  然後什麼呢?
[00:03:22.000 --> 00:03:24.000]  「使怒消氣」
[00:03:24.000 --> 00:03:26.000]  即是怒氣能夠消退
[00:03:26.000 --> 00:03:28.000]  但是如果我們相反來說
[00:03:28.000 --> 00:03:30.000]  言語暴躁就糟糕了
[00:03:30.000 --> 00:03:32.000]  「觸動怒氣」
[00:03:32.000 --> 00:03:35.000]  所以這也是提醒我們
[00:03:35.000 --> 00:03:36.000]  在日常生活當中
[00:03:36.000 --> 00:03:38.000]  如何跟別人溝通
[00:03:38.000 --> 00:03:40.000]  相處一個很重要的智慧
[00:03:40.000 --> 00:03:41.000]  在這件事中
[00:03:41.000 --> 00:03:44.000]  也在反映我們人性
[00:03:44.000 --> 00:03:46.000]  遇到一些不上心的事
[00:03:46.000 --> 00:03:47.000]  不如意的事
[00:03:47.000 --> 00:03:48.000]  我們也有時候
[00:03:48.000 --> 00:03:50.000]  可能未必很講理
[00:03:50.000 --> 00:03:53.000]  或者情緒也暴躁得很誇張
[00:03:53.000 --> 00:03:55.000]  反映我們人性的
[00:03:55.000 --> 00:03:57.000]  一些本相的狀況
[00:03:57.000 --> 00:03:59.000]  今天跟大家分享一個題目
[00:03:59.000 --> 00:04:03.000]  叫「靠神清義」
[00:04:03.000 --> 00:04:06.000]  期盼我們一起更加進深去認識
[00:04:06.000 --> 00:04:08.000]  究竟我們人呢?
[00:04:08.000 --> 00:04:09.000]  做了這麼多年人
[00:04:09.000 --> 00:04:11.000]  究竟我們人的本相
[00:04:11.000 --> 00:04:13.000]  我們的境況是怎樣的呢?
[00:04:13.000 --> 00:04:15.000]  並且我們靠著神
[00:04:15.000 --> 00:04:19.000]  可以讓我們得到寬恕接納
[00:04:19.000 --> 00:04:21.000]  今天我們繼續在
[00:04:21.000 --> 00:04:24.000]  我們早課午課主日這個時間
[00:04:24.000 --> 00:04:26.000]  繼續講羅馬書
[00:04:26.000 --> 00:04:29.000]  我們今天會講到
