
[00:00:00.000 --> 00:00:03.000]  大英之門平安
[00:00:03.000 --> 00:00:07.000]  今天我們一起來思想主義的基督為我們釘十字架
[00:00:07.000 --> 00:00:11.000]  今天我們一起思想主耶穌基督為我們釘十字架
[00:00:11.000 --> 00:00:14.000]  開始之前我們先低頭祈禱
[00:00:14.000 --> 00:00:16.000]  開始之前我們先低頭禱告
[00:00:16.000 --> 00:00:19.000]  天父我們多謝祢
[00:00:19.000 --> 00:00:21.000]  因為祢愛我們
[00:00:21.000 --> 00:00:24.000]  祢差遣祢的兒子為我們死在十字架上
[00:00:24.000 --> 00:00:27.000]  並差遣祢的兒子死在十字架上
[00:00:27.000 --> 00:00:30.000]  因祢的死我們可以得到生命
[00:00:30.000 --> 00:00:32.000]  我們可以得到生命
[00:00:32.000 --> 00:00:35.000]  今天我們一起來思想十字架的時候
[00:00:35.000 --> 00:00:38.000]  今天當我們一起思考十字架的時候
[00:00:38.000 --> 00:00:44.000]  讓我們不單止只是回顧一些以前發生了的事
[00:00:44.000 --> 00:00:48.000]  我們並不是只是一般的回想以前發生的事
[00:00:48.000 --> 00:00:53.000]  而是讓我們思想十字架今天怎樣承擔我們的重擔
[00:00:53.000 --> 00:00:57.000]  而是讓我們思想十字架今天怎樣承擔我們的重擔
[00:00:57.000 --> 00:01:00.000]  叫我們亦都是將我們的生命連在十字架上
[00:01:00.000 --> 00:01:04.000]  叫我們亦都是將我們的生命連在十字架上
[00:01:04.000 --> 00:01:07.000]  如果不是十字架的救贖
[00:01:07.000 --> 00:01:10.000]  我們都不是現在這樣的人
[00:01:10.000 --> 00:01:12.000]  如果不是祢在十字架上的救贖
[00:01:12.000 --> 00:01:14.000]  我們今天都不是這個樣子的
[00:01:14.000 --> 00:01:17.000]  願祢自己的十字架繼續冒著我們
[00:01:17.000 --> 00:01:20.000]  願祢的十字架時刻幫助我們
[00:01:20.000 --> 00:01:23.000]  奉耶穌基督的名祈求
[00:01:23.000 --> 00:01:26.000]  Amen
[00:01:26.000 --> 00:01:28.000]  今天大家都知道
[00:01:28.000 --> 00:01:31.000]  我們紀念耶穌基督為我們釘十字架
[00:01:31.000 --> 00:01:33.000]  當然今天我們都知道
[00:01:33.000 --> 00:01:37.000]  是紀念耶穌為我們釘十字架上
[00:01:37.000 --> 00:01:40.000]  有些時候作為一個牧師
[00:01:40.000 --> 00:01:45.000]  有一次我和其他牧者聊天的時候
[00:01:45.000 --> 00:01:47.000]  都發覺一件事
[00:01:47.000 --> 00:01:50.000]  有些時候作為一個牧師
[00:01:50.000 --> 00:01:53.000]  我跟其他人在談論的時候
[00:01:53.000 --> 00:01:55.000]  我都發現一件事
