
[00:00:00.000 --> 00:00:07.000]  今天我們要一同來思想的信息是在詩篇第十六篇
[00:00:07.000 --> 00:00:12.000]  我想這篇詩篇也是弟兄姊妹常常在讀
[00:00:12.000 --> 00:00:15.000]  也是很喜歡的詩篇
[00:00:15.000 --> 00:00:21.000]  這個詩篇我們要先把這篇我們一起來讀一遍
[00:00:21.000 --> 00:00:25.000]  我們從第一節一直讀到第十一節
[00:00:25.000 --> 00:00:30.000]  我們一起來
[00:00:55.000 --> 00:01:00.000]  我付現上 我嘴脣也不及臉色的很好
[00:01:00.000 --> 00:01:05.000]  約好是我的產業 是我背中的份
[00:01:05.000 --> 00:01:08.000]  我所得的 你爲我施捨
[00:01:08.000 --> 00:01:13.000]  用詞描繪我的第一屆 祝我再完美之處
[00:01:13.000 --> 00:01:16.000]  我的產業實在美好
[00:01:16.000 --> 00:01:20.000]  我必生送往教會我的煙花
[00:01:20.000 --> 00:01:24.000]  我的心腸在夜間也聽見我
[00:01:24.000 --> 00:01:28.000]  我將煙花常擺在我面前
[00:01:28.000 --> 00:01:32.000]  因它在我右邊 我便不時搖動
[00:01:32.000 --> 00:01:37.000]  因此我的心歡喜 我的靈快樂
[00:01:37.000 --> 00:01:40.000]  我的肉身也要安然居住
[00:01:40.000 --> 00:01:45.000]  因爲你已不將我的靈魂鐵在硬肩
[00:01:45.000 --> 00:01:48.000]  也不將你的聖者建起懷
[00:01:48.000 --> 00:01:52.000]  你已將生命的道路指示我
[00:01:52.000 --> 00:01:55.000]  在你面前有滿足的喜樂
[00:01:55.000 --> 00:01:59.000]  在你右手中有永遠的不樂
[00:02:22.000 --> 00:02:29.000]  那麼這樣的話呢 一共有六篇四篇
[00:02:29.000 --> 00:02:34.000]  這經是什麼意思 聖經裏頭並沒有明確地提出來
[00:02:34.000 --> 00:02:38.000]  但是我們可以來這麼體會
[00:02:38.000 --> 00:02:42.000]  一個是這個金子呢 是非常的寶貴
[00:02:42.000 --> 00:02:49.000]  一個呢 就是金子是經過煉 高溫煉出來的
[00:02:49.000 --> 00:02:54.000]  沒有說挖出來就是一塊金子 不像煤一樣的
[00:02:54.000 --> 00:02:59.000]  煤一挖出來就是一塊煤 就不需要再有什麼經煉了
[00:02:59.000 --> 00:03:02.000]  但是金子呢 你挖出了金礦以後
[00:03:02.000 --> 00:03:07.000]  還要經過很多的手續 把它給分出來
[00:03:07.000 --> 00:03:09.000]  金的一些小的顆粒
[00:03:09.000 --> 00:03:14.000]  然後最後把它用高溫煉出來 才能夠爲金子
[00:03:14.000 --> 00:03:19.000]  第三個意思呢 金子也是表示隱藏的
[00:03:19.000 --> 00:03:24.000]  因爲金子並不是很容易一下子就能看得到
[00:03:24.000 --> 00:03:27.000]  有的時候在山裏頭很深的地方
[00:03:27.000 --> 00:03:32.000]  有的時候在水邊 夾在沙子裏頭
[00:03:32.000 --> 00:03:34.000]  那麼就是隱藏的
[00:03:34.000 --> 00:03:39.000]  也說明到大魏的金子呢 也是很寶貴的
[00:03:39.000 --> 00:03:45.000]  它是經過很多的試煉 纔有這樣的經歷能夠顯出來
[00:03:45.000 --> 00:03:49.000]  另一方面呢 這些經歷也是隱藏的
[00:03:49.000 --> 00:03:54.000]  所以我們今天來看大魏的金詩第十六篇
[00:03:54.000 --> 00:03:58.000]  對我們來說是非常重要的
[00:03:58.000 --> 00:04:04.000]  這篇詩篇呢 一共有十一節
[00:04:04.000 --> 00:04:07.000]  我們可以分成兩個大段
[00:04:07.000 --> 00:04:11.000]  第一段呢 從第一節到第六節
[00:04:11.000 --> 00:04:16.000]  就是我們要以神做我們的至寶
[00:04:16.000 --> 00:04:20.000]  到下面第七節到第七節
[00:04:20.000 --> 00:04:23.000]  就是如果我們以神做我們的至寶
[00:04:23.000 --> 00:04:29.000]  我們就從神那裏得到今世的跟永遠的福樂
[00:04:29.000 --> 00:04:33.000]  不但是今生的 而且是永遠的福樂
[00:04:33.000 --> 00:04:39.000]  所以前面一段講到我們要以神做我們的至寶
[00:04:39.000 --> 00:04:48.000]  後面這一段就講到我們怎麼能夠得到神給我們的這些至寶
[00:04:48.000 --> 00:04:51.000]  這裏面一直講到有喜樂
[00:04:51.000 --> 00:04:54.000]  一直講到我們要蒙福
[00:04:54.000 --> 00:04:58.000]  這個我們可以回想到在第一電影的時候
[00:04:58.000 --> 00:05:05.000]  撒旦怎麼來引誘夏娃
[00:05:05.000 --> 00:05:09.000]  叫她喫了這個楓葉桑樹的果子
[00:05:09.000 --> 00:05:13.000]  她沒有聽神的話
[00:05:13.000 --> 00:05:18.000]  撒旦就跟她說 皇上你爲什麼神要跟你這麼說
[00:05:18.000 --> 00:05:20.000]  你不可以喫呢
[00:05:20.000 --> 00:05:23.000]  如果你喫的話 那不是你有快樂
[00:05:23.000 --> 00:05:28.000]  有很多的喜樂嗎 很多的福氣嗎
[00:05:28.000 --> 00:05:30.000]  夏娃上了魔鬼的當
[00:05:30.000 --> 00:05:33.000]  所以她就喫了桑樹的果子
[00:05:33.000 --> 00:05:36.000]  但是在第十六篇就指出來
[00:05:36.000 --> 00:05:39.000]  真正的福樂 真正的快樂
[00:05:39.000 --> 00:05:43.000]  一切好的東西都是在神裏面
[00:05:43.000 --> 00:05:48.000]  離開了神 什麼都不是我們的好處
[00:05:48.000 --> 00:05:50.000]  不是我們的福樂
[00:05:50.000 --> 00:05:53.000]  我們先來看第一段
[00:05:53.000 --> 00:05:59.000]  就是以神做我們的至寶
[00:05:59.000 --> 00:06:02.000]  以神做我們的至寶
[00:06:02.000 --> 00:06:05.000]  我們看到在這一段裏頭
[00:06:05.000 --> 00:06:12.000]  大衛從五方面來看見
[00:06:12.000 --> 00:06:14.000]  神怎麼成爲我們的至寶
[00:06:14.000 --> 00:06:16.000]  我們怎麼能抓住神
[00:06:16.000 --> 00:06:20.000]  讓他得到神 就得到他所要賜給的
[00:06:20.000 --> 00:06:27.000]  第一個就是神做我們的避難所和我們的救助
[00:06:27.000 --> 00:06:33.000]  這是第一節所說的
[00:06:33.000 --> 00:06:38.000]  第一節就說 神啊 求禰保佑我 因爲我投靠禰
[00:06:38.000 --> 00:06:43.000]  這我投靠禰 可以說是在英文裏頭也有意思
[00:06:43.000 --> 00:06:49.000]  在我的裏面 在你的裏面我能夠得到體會
[00:06:49.000 --> 00:06:52.000]  就是好像我是有難處的人
[00:06:52.000 --> 00:06:56.000]  我來到你裏面 你就保護了我
[00:06:56.000 --> 00:07:00.000]  好像我們看見有些小孩在玩遊戲
[00:07:00.000 --> 00:07:04.000]  老鷹要做小雞的遊戲
[00:07:04.000 --> 00:07:08.000]  那小雞就要躲到母雞的翅膀底下
[00:07:08.000 --> 00:07:10.000]  那麼老鷹就沒有辦法了
[00:07:10.000 --> 00:07:13.000]  我們也是碰到什麼難處
[00:07:13.000 --> 00:07:16.000]  有什麼需要的話 我們來到神底下
[00:07:16.000 --> 00:07:20.000]  求神保佑我們 因爲我投靠你
[00:07:20.000 --> 00:07:24.000]  我要來到你裏面得到你的庇護
[00:07:24.000 --> 00:07:29.000]  這個就是第一節所說的 要來投靠
[00:07:29.000 --> 00:07:33.000]  那麼這也是講到我們是罪人
[00:07:33.000 --> 00:07:35.000]  因爲在以色列的話
[00:07:35.000 --> 00:07:38.000]  他們在進了迦南以後
[00:07:38.000 --> 00:07:40.000]  他們封了地
[00:07:40.000 --> 00:07:42.000]  那麼神就告訴摩西說
[00:07:42.000 --> 00:07:44.000]  你要在封的地裏頭
[00:07:44.000 --> 00:07:50.000]  分別有六座城來做以色列的逃生
[00:07:50.000 --> 00:07:53.000]  在約旦河東面有三座
[00:07:53.000 --> 00:07:56.000]  在約旦河西邊也有三座
[00:07:56.000 --> 00:08:00.000]  這樣就方便在以色列全地
[00:08:00.000 --> 00:08:03.000]  如果有人陰作誤殺了人
[00:08:03.000 --> 00:08:05.000]  不是有心殺人
[00:08:05.000 --> 00:08:10.000]  那麼他已經不小心殺了人了
[00:08:10.000 --> 00:08:12.000]  死了人了 怎麼辦呢
[00:08:12.000 --> 00:08:14.000]  你到逃生裏頭
[00:08:14.000 --> 00:08:19.000]  那麼對方就不能夠進到逃生來治他的罪
[00:08:19.000 --> 00:08:21.000]  不能夠保護 不能殺他
[00:08:21.000 --> 00:08:23.000]  就逃生了
[00:08:23.000 --> 00:08:25.000]  就就約的逃生
[00:08:25.000 --> 00:08:27.000]  就是說被殺的人
[00:08:27.000 --> 00:08:29.000]  就殺人的人
[00:08:29.000 --> 00:08:31.000]  他可以得到安全
[00:08:31.000 --> 00:08:33.000]  就是你有罪
[00:08:33.000 --> 00:08:35.000]  但是呢
[00:08:35.000 --> 00:08:38.000]  你可以在逃生裏頭得到安全
[00:08:38.000 --> 00:08:42.000]  所以逃生也是預表主耶穌
[00:08:42.000 --> 00:08:44.000]  主耶穌就是我們的逃生
[00:08:44.000 --> 00:08:46.000]  我們有罪
[00:08:46.000 --> 00:08:47.000]  那我們怎麼辦呢
[00:08:47.000 --> 00:08:50.000]  我們進到耶穌這座逃生
[00:08:50.000 --> 00:08:55.000]  這樣的話我們可以避免審判
[00:08:55.000 --> 00:08:59.000]  尤其在我們有罪人
[00:08:59.000 --> 00:09:02.000]  將來神有罪我會審判
[00:09:02.000 --> 00:09:04.000]  那我們可以在審判的日子呢
[00:09:04.000 --> 00:09:07.000]  我們就能夠得到安全了
[00:09:07.000 --> 00:09:09.000]  所以第一句的話就是
[00:09:09.000 --> 00:09:12.000]  以神做我們的避難所
[00:09:12.000 --> 00:09:17.000]  以神做我們的救主
[00:09:17.000 --> 00:09:19.000]  第二節講到什麼呢
[00:09:19.000 --> 00:09:22.000]  以神做我們的指導
[00:09:22.000 --> 00:09:24.000]  第二節說我的心啊
[00:09:24.000 --> 00:09:26.000]  你曾對耶穌說
[00:09:26.000 --> 00:09:27.000]  你是我的主
[00:09:27.000 --> 00:09:33.000]  我的好處不在你以外
[00:09:33.000 --> 00:09:34.000]  你是我的主
[00:09:34.000 --> 00:09:37.000]  我的好處不在你以外
[00:09:37.000 --> 00:09:38.000]  意思就是說
[00:09:38.000 --> 00:09:40.000]  如果沒有神的話
[00:09:40.000 --> 00:09:44.000]  我們的好處都是一時的
[00:09:44.000 --> 00:09:45.000]  暫時的
[00:09:45.000 --> 00:09:47.000]  很快就過去了
[00:09:47.000 --> 00:09:50.000]  但是我們有了主的話
[00:09:50.000 --> 00:09:56.000]  一切的好處不在主耶穌以外
[00:09:56.000 --> 00:09:58.000]  這一方面
[00:09:58.000 --> 00:10:00.000]  這句話有兩方面的意思
[00:10:00.000 --> 00:10:01.000]  一方面就是說
[00:10:01.000 --> 00:10:03.000]  除了主以外
[00:10:03.000 --> 00:10:05.000]  沒有什麼是好處
[00:10:05.000 --> 00:10:06.000]  你說這個是好處
[00:10:06.000 --> 00:10:08.000]  但是不是主的意思
[00:10:08.000 --> 00:10:10.000]  不是主的
[00:10:10.000 --> 00:10:12.000]  那這個就不是好處
[00:10:12.000 --> 00:10:15.000]  那另一方面呢
[00:10:15.000 --> 00:10:20.000]  神也不需要我們給他什麼好處
[00:10:20.000 --> 00:10:21.000]  我們不需要
[00:10:21.000 --> 00:10:23.000]  神不需要我們的好處
[00:10:23.000 --> 00:10:26.000]  因爲神自己就是我們的好處
[00:10:26.000 --> 00:10:29.000]  神不需要我們有什麼好行爲
[00:10:29.000 --> 00:10:31.000]  來討他的喜悅
[00:10:31.000 --> 00:10:34.000]  他需要的就是我們來投靠他
[00:10:34.000 --> 00:10:38.000]  來在他裏面得到他的庇護
[00:10:38.000 --> 00:10:39.000]  這樣的話
[00:10:39.000 --> 00:10:43.000]  我們就能夠蒙福了
[00:10:43.000 --> 00:10:45.000]  那麼兩方面意思裏頭
[00:10:45.000 --> 00:10:46.000]  主要的還是說
[00:10:46.000 --> 00:10:48.000]  除了主以外
[00:10:48.000 --> 00:10:50.000]  我們沒有什麼好處
[00:10:50.000 --> 00:10:51.000]  我們仔細想一想
[00:10:51.000 --> 00:10:53.000]  在我們一生中間
[00:10:53.000 --> 00:10:54.000]  你說這個是好處
[00:10:54.000 --> 00:10:57.000]  但這個好處不是主給你的
[00:10:57.000 --> 00:11:00.000]  這好處跟主沒有關係
[00:11:00.000 --> 00:11:02.000]  那麼這個好處呢
[00:11:02.000 --> 00:11:03.000]  即使有的話
[00:11:03.000 --> 00:11:05.000]  也是很暫時
[00:11:05.000 --> 00:11:07.000]  很小的
[00:11:07.000 --> 00:11:10.000]  也就是很快就過去了
[00:11:10.000 --> 00:11:11.000]  所以保羅呢
[00:11:11.000 --> 00:11:19.000]  就是將基督看作至寶
[00:11:19.000 --> 00:11:22.000]  他以萬事當作有損的
[00:11:22.000 --> 00:11:26.000]  一切事情對保羅所都不是有益的
[00:11:26.000 --> 00:11:28.000]  只有認識基督呢
[00:11:28.000 --> 00:11:31.000]  纔是他的至寶
[00:11:31.000 --> 00:11:34.000]  所以在這節裏頭就說到了
