
[00:00:00.000 --> 00:00:02.880]  復活節主日
[00:00:02.880 --> 00:00:04.240]  弟兄姊妹
[00:00:04.240 --> 00:00:08.960]  復活節對你來說有甚麼意義呢?
[00:00:08.960 --> 00:00:13.000]  如果你在香港一路生活
[00:00:13.000 --> 00:00:13.840]  你一定知道
[00:00:13.840 --> 00:00:14.480]  復活節
[00:00:14.480 --> 00:00:17.840]  你打開新聞經常聽到以下幾個字
[00:00:17.840 --> 00:00:20.600]  復活節長假期
[00:00:20.600 --> 00:00:22.400]  長假期通常會外遊
[00:00:22.400 --> 00:00:26.200]  通常很多人會散心充電
[00:00:26.200 --> 00:00:29.480]  這年紀我們可能少了些機會
[00:00:29.480 --> 00:00:32.000]  但可能正正就是幫助我們
[00:00:32.000 --> 00:00:36.200]  沒有了這種外遊的心態
[00:00:36.200 --> 00:00:39.600]  可能我們再次去思想
[00:00:39.600 --> 00:00:42.880]  復活節對我們來說是甚麼回事
[00:00:42.880 --> 00:00:45.800]  復活節不可以沒有了主日
[00:00:45.800 --> 00:00:48.200]  不可以沒有了主的工作
[00:00:48.200 --> 00:00:50.200]  主耶穌的復活
[00:00:50.200 --> 00:00:51.600]  我想大家都耳熟能詳
[00:00:51.600 --> 00:00:53.040]  今天聽主席讀的經文
[00:00:53.040 --> 00:00:54.800]  其實我們都不陌生
[00:00:54.800 --> 00:00:57.680]  但為甚麼每一年的復活節
[00:00:57.680 --> 00:01:00.080]  我們都要去再次思想
[00:01:00.080 --> 00:01:03.400]  耶穌復活的事件和意義呢?
[00:01:03.400 --> 00:01:07.200]  因為如果復活節沒有了主的工作
[00:01:07.200 --> 00:01:10.280]  復活節就不是復活節了
[00:01:10.280 --> 00:01:13.480]  根據《司徒保羅在哥倫多前書15章》的說話
[00:01:13.480 --> 00:01:15.280]  基督如果沒有復活
[00:01:15.280 --> 00:01:17.080]  我們所傳的就是謊言
[00:01:17.080 --> 00:01:19.280]  你們所信的都是謊言
[00:01:19.280 --> 00:01:20.400]  弟兄姊妹
[00:01:20.400 --> 00:01:25.000]  復活節正正代表著主的說話沒有落空
[00:01:25.000 --> 00:01:26.600]  祂是死了
[00:01:26.600 --> 00:01:28.400]  祂是有復活
[00:01:28.400 --> 00:01:33.480]  再次幫助我們面對人生種種的迷惘、灰暗
[00:01:33.480 --> 00:01:36.680]  主的復活正正就是幫助我們
[00:01:36.680 --> 00:01:40.080]  見到祂作為初熟的果子會復活
[00:01:40.080 --> 00:01:42.080]  我們信靠祂的人
[00:01:42.080 --> 00:01:44.480]  都必然復活
[00:01:44.480 --> 00:01:46.680]  復活代表著盼望
[00:01:46.680 --> 00:01:48.480]  代表著新生
[00:01:48.480 --> 00:01:51.480]  今天復活傳統西方的節日
[00:01:51.480 --> 00:01:53.200]  是一種新生
[00:01:53.200 --> 00:01:54.880]  今天我們集體回憶
[00:01:54.880 --> 00:01:56.600]  2021年4月4日
[00:01:56.600 --> 00:01:58.400]  大家不要想著是兒童節
[00:01:58.400 --> 00:02:03.200]  記住我們可以一同回到上帝的聖所去敬拜祂
[00:02:03.200 --> 00:02:05.600]  是非常重要的一個日子
[00:02:05.600 --> 00:02:08.800]  今天我想從三點的角度
[00:02:08.800 --> 00:02:11.600]  去講今天我們聽到的一段經文
[00:02:11.600 --> 00:02:12.800]  非常熟悉
[00:02:12.800 --> 00:02:14.600]  第一個
[00:02:14.600 --> 00:02:19.000]  就是空憤帶來的困惑和挑戰
[00:02:19.000 --> 00:02:20.800]  這個圖畫
[00:02:20.800 --> 00:02:22.400]  大家可能見過很多次
[00:02:22.400 --> 00:02:23.800]  如果你去過聖地旅行
[00:02:23.800 --> 00:02:25.400]  或者你有朋友
[00:02:25.400 --> 00:02:27.800]  去完旅行拿手信給你
[00:02:27.800 --> 00:02:30.000]  一定有這幅圖畫
[00:02:30.000 --> 00:02:33.400]  當時有錢人的墓穴
[00:02:33.400 --> 00:02:35.000]  就類似這樣子
[00:02:35.000 --> 00:02:38.400]  安葬好之後
[00:02:38.400 --> 00:02:43.400]  就會把圓形的石門
[00:02:43.400 --> 00:02:45.800]  蓋著墓穴
[00:02:45.800 --> 00:02:50.800]  話說當時耶穌被亞利馬太人約瑟
[00:02:50.800 --> 00:02:53.800]  和尼哥底姆(即是有錢人)
[00:02:53.800 --> 00:02:56.000]  臨時安葬在這個地方
[00:02:56.000 --> 00:02:57.800]  所以是有錢人的墓穴
[00:02:57.800 --> 00:03:00.600]  穆達拉的瑪利亞打算清早
[00:03:00.600 --> 00:03:03.000]  天未亮就去掃墓
[00:03:03.000 --> 00:03:04.400]  很明顯我們知道
[00:03:04.400 --> 00:03:09.200]  他是對著主有很重的感情
[00:03:09.200 --> 00:03:13.200]  去懷念向這位救贖他的主
[00:03:13.200 --> 00:03:16.800]  帶他從黑暗脫離黑暗
[00:03:16.800 --> 00:03:19.400]  進入光明這位恩主的致敬
[00:03:19.400 --> 00:03:21.200]  所以他天空光就去到
[00:03:21.200 --> 00:03:23.200]  但去到的時候他何其震撼
[00:03:23.200 --> 00:03:24.200]  為什麼呢?
[00:03:24.200 --> 00:03:26.800]  他看到的不是石門封住
[00:03:26.800 --> 00:03:29.600]  他看到的是這一幕情景
[00:03:29.600 --> 00:03:30.800]  代表什麼呢?
[00:03:30.800 --> 00:03:32.200]  古時這些墓穴
[00:03:32.200 --> 00:03:37.400]  是很容易有盜墓者的
[00:03:37.400 --> 00:03:39.400]  會拿一些陪葬品
[00:03:39.400 --> 00:03:41.000]  會偷東西
[00:03:41.000 --> 00:03:43.800]  在今天我們所聽的經文
[00:03:43.800 --> 00:03:46.200]  瑪利亞多番的說話
