
[00:00:00.000 --> 00:00:01.200]  鄧小姐妹平安
[00:00:01.200 --> 00:00:02.400]  平安
[00:00:02.400 --> 00:00:04.000]  在農曆年之後
[00:00:04.000 --> 00:00:08.000]  我們香港的整體防疫政策都是放寬
[00:00:08.000 --> 00:00:12.600]  其中一項就是讓聚會崇拜的地方
[00:00:12.600 --> 00:00:15.200]  港元可以脫口罩
[00:00:15.200 --> 00:00:17.200]  所以我也很感恩
[00:00:17.200 --> 00:00:21.800]  三年後終於可以脫口罩跟大家講道了
[00:00:21.800 --> 00:00:22.600]  你不用怕
[00:00:22.600 --> 00:00:24.600]  我和你距離很遠的
[00:00:30.000 --> 00:00:35.000]  好久沒見了
[00:00:35.000 --> 00:00:48.000]  我們再一次為領袖神話語的時間去禱告
[00:00:48.000 --> 00:00:53.000]  天本上帝一切都是在你的掌管裏面
[00:00:53.000 --> 00:00:57.000]  所有的時間你都已經預定了
[00:00:57.000 --> 00:01:03.000]  願你讓我們在今天領受你十句說話裏面的第三句
[00:01:03.000 --> 00:01:06.000]  能夠有你的靈的指教
[00:01:06.000 --> 00:01:10.000]  在我們生命當中可以活現你的教導
[00:01:10.000 --> 00:01:14.000]  願聖靈引導我們進入你的真理
[00:01:14.000 --> 00:01:17.000]  我們的祈禱是奉主耶穌基督得勝名之祈求
[00:01:17.000 --> 00:01:21.000]  下門
[00:01:21.000 --> 00:01:24.000]  十句說話的第二句
[00:01:24.000 --> 00:01:26.000]  前個星期講的了
[00:01:26.000 --> 00:01:29.000]  不可為自己雕刻偶像
[00:01:29.000 --> 00:01:32.000]  也不可做什麼形象
[00:01:32.000 --> 00:01:36.000]  不可以做一些看得到的像
[00:01:36.000 --> 00:01:40.000]  你會留意到這是和人的感官的眼睛看到的東西有關
[00:01:40.000 --> 00:01:43.000]  或者甚至是和你的手觸碰到的物件
[00:01:43.000 --> 00:01:47.000]  不可以用手去做一個像來代表上帝
[00:01:47.000 --> 00:01:49.000]  或者其他的神
[00:01:49.000 --> 00:01:51.000]  或者假神
[00:01:51.000 --> 00:01:56.000]  上帝的第三言不是看到的
[00:01:56.000 --> 00:01:58.000]  是說話
[00:01:58.000 --> 00:01:59.000]  是聽的
[00:01:59.000 --> 00:02:01.000]  是講的
[00:02:01.000 --> 00:02:03.000]  是代表人的另一方面的感官
[00:02:03.000 --> 00:02:07.000]  既然上帝是不可以看到的
[00:02:07.000 --> 00:02:10.000]  我們不可以用一些看得到的東西去代表祂
[00:02:10.000 --> 00:02:15.000]  那怎樣讓我們很確實知道和祂有聯繫呢
[00:02:15.000 --> 00:02:18.000]  神賜下祂的名字
[00:02:18.000 --> 00:02:20.000]  讓我們去認識
[00:02:20.000 --> 00:02:21.000]  我們唱詩歌
[00:02:21.000 --> 00:02:23.000]  我不知道你有沒有細心留意
[00:02:23.000 --> 00:02:26.000]  我們還讚榮耀主
[00:02:26.000 --> 00:02:29.000]  但是我們還讚榮耀主的名
[00:02:29.000 --> 00:02:31.000]  意思就是上帝賜下祂的名
[00:02:31.000 --> 00:02:35.000]  讓我們可以很清晰地知道我們是信靠哪一個
[00:02:35.000 --> 00:02:36.000]  有個方向
[00:02:36.000 --> 00:02:38.000]  有個對象
[00:02:38.000 --> 00:02:43.000]  主的名往往在聖經裡面就代表主自己
[00:02:43.000 --> 00:02:46.000]  所以今天我們讀的十誡的第三言
[00:02:46.000 --> 00:02:49.000]  或者我們一起再念一念這一句
[00:02:49.000 --> 00:02:50.000]  預備起
[00:02:50.000 --> 00:02:54.000]  不可妄稱耶和華你神的名
[00:02:54.000 --> 00:02:57.000]  因為妄稱耶和華名的
[00:02:57.000 --> 00:03:00.000]  耶和華必不以他為無罪
[00:03:00.000 --> 00:03:01.000]  你看到了
[00:03:01.000 --> 00:03:04.000]  這裡是在講說話上的
[00:03:04.000 --> 00:03:08.000]  說話或者語言的溝通是人類一大特點
[00:03:08.000 --> 00:03:10.000]  世上很多的生物會有一些溝通方式
[00:03:10.000 --> 00:03:12.000]  有一些聲音
[00:03:12.000 --> 00:03:13.000]  叫聲
[00:03:13.000 --> 00:03:17.000]  但是只有人是能夠用很複雜的語言
[00:03:17.000 --> 00:03:19.000]  彼此來往溝通
[00:03:19.000 --> 00:03:25.000]  而且這也是我們跟神來往溝通的其中一個方向
[00:03:25.000 --> 00:03:29.000]  傳統上猶太人從利尾記的十九章十二節
[00:03:29.000 --> 00:03:31.000]  不可指著我的名起假誓
[00:03:31.000 --> 00:03:32.000]  涉俗你神的名
[00:03:32.000 --> 00:03:34.000]  我是耶和華
[00:03:34.000 --> 00:03:37.000]  來推敲到底第三誡講什麼
[00:03:37.000 --> 00:03:39.000]  在這一段經文裡
[00:03:39.000 --> 00:03:41.000]  利尾記上上下下
[00:03:41.000 --> 00:03:43.000]  其實是重複十誡不同的範疇
[00:03:43.000 --> 00:03:49.000]  所以拉比他們認為這裡是在講第三言裡所講的意思
[00:03:49.000 --> 00:03:51.000]  妄清神的名
[00:03:51.000 --> 00:03:54.000]  就是不可以用神的名去起假誓
[00:03:54.000 --> 00:03:56.000]  古人何時需要起誓呢
[00:03:56.000 --> 00:03:59.000]  就是他需要把自己的說話當作可信
