
[00:00:00.000 --> 00:00:06.300]  感謝神終於可以和大家講傳道書
[00:00:06.300 --> 00:00:12.000]  傳道書是我非常喜歡的一本書
[00:00:12.000 --> 00:00:15.400]  當我初初讀到這本書的時候
[00:00:15.400 --> 00:00:18.200]  這本書深深吸引我
[00:00:18.200 --> 00:00:23.000]  因為書裏所講的言論、教導
[00:00:23.000 --> 00:00:27.500]  令我心裏很自然起很大的共鳴
[00:00:27.500 --> 00:00:29.100]  和很感動
[00:00:29.100 --> 00:00:31.500]  我相信很多人都有同感
[00:00:31.500 --> 00:00:35.900]  因為他講的是大部份人人生所遇到的事
[00:00:35.900 --> 00:00:38.400]  和所思考的事
[00:00:38.400 --> 00:00:44.900]  就是思考人生、人生的目的
[00:00:44.900 --> 00:00:48.000]  或者尋求人生意義
[00:00:48.000 --> 00:00:50.800]  很多人就算信什麼教的人
[00:00:50.800 --> 00:00:57.000]  他們都有這種思想
[00:00:57.000 --> 00:01:00.300]  作者所遇到的問題
[00:01:00.300 --> 00:01:02.500]  也是我們所遇到的問題
[00:01:02.500 --> 00:01:04.300]  或者我們會想到的問題
[00:01:04.300 --> 00:01:08.500]  不過當然沒有他這麼詳細
[00:01:08.500 --> 00:01:14.100]  這麼深入去思考、去解釋
[00:01:14.100 --> 00:01:18.300]  所以這本書正正可以提供給我們
[00:01:18.300 --> 00:01:19.900]  大部份的答案
[00:01:19.900 --> 00:01:22.700]  或者我們可以說他好像沒有答案
[00:01:22.700 --> 00:01:29.000]  不過最後他有給答案
[00:01:29.000 --> 00:01:33.600]  傳道書是大衛的兒子
[00:01:33.600 --> 00:01:34.700]  在第一節那裏講
[00:01:34.700 --> 00:01:36.200]  大衛的兒子
[00:01:36.200 --> 00:01:39.000]  我們從後面各種證據證明
[00:01:39.000 --> 00:01:42.100]  應該是大衛的兒子所羅門王
[00:01:42.100 --> 00:01:46.900]  寫這個傳道書
[00:01:46.900 --> 00:01:52.400]  這個傳道書究竟是講什麼的呢?
[00:01:52.400 --> 00:01:56.400]  如果你是未曾看過這本書的
[00:01:56.400 --> 00:01:59.600]  你很可能會這樣想
[00:01:59.600 --> 00:02:04.600]  既然這本書是所羅門王寫的
[00:02:04.600 --> 00:02:09.300]  所羅門王是很威榮、很厲害的
[00:02:09.300 --> 00:02:12.800]  他必定會講他的威水史
[00:02:12.800 --> 00:02:15.400]  講他的豐功偉績
[00:02:15.400 --> 00:02:18.000]  或者講他的榮華富貴
[00:02:18.000 --> 00:02:21.100]  我記得小時候有些印象
[00:02:21.100 --> 00:02:25.900]  好像有一本書叫做所羅門王的寶藏
[00:02:25.900 --> 00:02:29.400]  就是講那些寶藏很厲害
[00:02:29.400 --> 00:02:34.700]  堆積如山的珠寶、那些財物
[00:02:34.700 --> 00:02:37.400]  我想電影也有很多套
[00:02:37.400 --> 00:02:39.200]  拍所羅門王的寶藏
[00:02:39.200 --> 00:02:43.500]  或者尋找所羅門王的寶藏
[00:02:43.500 --> 00:02:44.500]  是不是講這些呢?
[00:02:44.500 --> 00:02:45.700]  應該是講這些
[00:02:45.700 --> 00:02:46.700]  我們看回中國歷史
[00:02:46.700 --> 00:02:52.900]  帝王如果要講當然是講他的豐功偉績
[00:02:52.900 --> 00:02:55.500]  是不是這樣呢?
[00:02:55.500 --> 00:02:57.400]  我們知道不是
[00:02:57.400 --> 00:02:59.800]  如果我們有看過這本書的時候
[00:02:59.800 --> 00:03:01.200]  我們更加知道不是
[00:03:01.200 --> 00:03:06.800]  它是講他對人生意義的看法
[00:03:06.800 --> 00:03:09.300]  或者那個研究
[00:03:09.300 --> 00:03:12.800]  我相信從歷史的書看來
[00:03:12.800 --> 00:03:15.400]  所羅門研究科學
[00:03:15.400 --> 00:03:19.600]  可能他真的可以說是第一個
[00:03:19.600 --> 00:03:28.400]  如果看來他真的研究很多科學理論在裡面
[00:03:28.400 --> 00:03:33.000]  他是研究人生的真正意義
[00:03:33.000 --> 00:03:34.700]  或者目的是什麼呢?
