
[00:00:00.000 --> 00:00:03.240]  我們現在講到這個祈禱的功課
[00:00:03.240 --> 00:00:05.280]  講到這個祈禱的
[00:00:05.280 --> 00:00:07.720]  今天講的是代禱的竅門
[00:00:07.720 --> 00:00:09.280]  你們喜不喜歡祈禱的?
[00:00:09.280 --> 00:00:13.000]  不敢說不喜歡吧
[00:00:13.000 --> 00:00:15.560]  你喜不喜歡跟別人聊天的?
[00:00:15.560 --> 00:00:18.800]  當然喜歡了
[00:00:18.800 --> 00:00:21.480]  不喜歡跟別人聊天很糟糕的
[00:00:21.480 --> 00:00:24.360]  我也很喜歡跟別人聊天
[00:00:24.360 --> 00:00:25.720]  很多東西可以講
[00:00:25.720 --> 00:00:29.480]  我想我們可以跟神聊天
[00:00:29.720 --> 00:00:33.520]  其實主要的目的不是求這個求那個
[00:00:33.520 --> 00:00:37.720]  主要是表示我們對神的一種愛心
[00:00:37.720 --> 00:00:38.400]  是不是?
[00:00:38.400 --> 00:00:41.080]  如果你跟一個人有愛意
[00:00:41.080 --> 00:00:42.640]  你很想跟他聊天
[00:00:42.640 --> 00:00:43.880]  很想跟他交談
[00:00:43.880 --> 00:00:45.560]  如果你不太愛他
[00:00:45.560 --> 00:00:47.800]  你就開始不說話了
[00:00:47.800 --> 00:00:50.480]  所以夫婦吵架就開始冷戰
[00:00:50.480 --> 00:00:51.880]  大家就不說話了
[00:00:51.880 --> 00:00:53.440]  也挺可怕的
[00:00:53.440 --> 00:00:55.960]  最近天氣很冷
[00:00:55.960 --> 00:00:56.520]  是不是?
[00:00:56.520 --> 00:00:59.000]  現在我們最關心的事情
[00:00:59.000 --> 00:01:00.760]  最近最關心的事情是什麼呢?
[00:01:00.760 --> 00:01:01.280]  在美國
[00:01:01.280 --> 00:01:05.600]  流感現在傳到加州
[00:01:05.600 --> 00:01:07.560]  所以大家要多穿一件衣服
[00:01:07.560 --> 00:01:10.320]  希望我們不要有傷風感冒
[00:01:10.320 --> 00:01:11.960]  今天為了安全起見
