
[00:00:00.000 --> 00:00:02.240]  菩提師父讓我們在聆聽主的說話
[00:00:02.240 --> 00:00:04.040]  與先我們同心低頭禱告
[00:00:04.040 --> 00:00:05.480]  仰望著我們的神
[00:00:05.480 --> 00:00:09.600]  父神多謝祢
[00:00:09.600 --> 00:00:13.160]  讓我們再次回到祢寶貴說話的面前
[00:00:13.160 --> 00:00:16.400]  一同去思想上帝祢的啟示
[00:00:16.400 --> 00:00:18.960]  並且透過上帝祢在
[00:00:18.960 --> 00:00:21.360]  祢的子民當中的工作
[00:00:21.360 --> 00:00:23.960]  成為一個榜樣
[00:00:23.960 --> 00:00:26.160]  或者給我們一個
[00:00:26.160 --> 00:00:28.160]  好的學習的機會
[00:00:28.160 --> 00:00:29.960]  去監察上主祢怎樣
[00:00:29.960 --> 00:00:32.480]  與我們走這條屬靈的道路
[00:00:32.480 --> 00:00:34.240]  因此我們在這個時候
[00:00:34.240 --> 00:00:37.200]  我們懇求上主祢的靈與我們同在
[00:00:37.200 --> 00:00:39.200]  誘導我們每人的心
[00:00:39.200 --> 00:00:40.720]  好像經文所說的
[00:00:40.720 --> 00:00:44.640]  跟從智慧人的那份意義
[00:00:44.640 --> 00:00:47.200]  在上主祢的當中去學習
[00:00:47.200 --> 00:00:48.560]  求祢的帶領
[00:00:48.560 --> 00:00:50.840]  讓我們所行所想所作的
[00:00:50.840 --> 00:00:53.760]  盡都是上帝祢所啟示
[00:00:53.760 --> 00:00:56.480]  不論我們在任何的時間空間
[00:00:56.480 --> 00:00:59.800]  在網上或在實體崇拜的每一個
[00:00:59.800 --> 00:01:02.760]  讓我們在今天同夢主理的恩福
[00:01:02.760 --> 00:01:04.960]  我們禱告奉靠主耶穌基督
[00:01:04.960 --> 00:01:06.360]  得勝名自求
[00:01:06.360 --> 00:01:07.360]  阿們
[00:01:07.360 --> 00:01:10.880]  好 今天我們會繼續去看
[00:01:10.880 --> 00:01:13.120]  路加福音的第一章
[00:01:13.120 --> 00:01:16.240]  雖然我們不是從第五節開始看
[00:01:16.240 --> 00:01:19.240]  我們今天是從第21節至第25節
[00:01:19.240 --> 00:01:21.840]  但是我們同樣繼續去思想這個題目
[00:01:21.840 --> 00:01:25.720]  叫做有承擔的祝福的第二講
[00:01:25.720 --> 00:01:29.720]  我們小小簡單些去重溫一下
[00:01:29.720 --> 00:01:34.440]  上文從第五節至第20節裏面的經文
[00:01:34.440 --> 00:01:39.160]  我們所聽過、看過經文的介紹
[00:01:39.160 --> 00:01:40.720]  我們在這段聖經裏面
[00:01:40.720 --> 00:01:45.360]  我們知道上帝在一個祭司的家庭
[00:01:45.360 --> 00:01:47.760]  叫做撒加利亞裏面
[00:01:47.760 --> 00:01:51.040]  作了一個很大的一個應許
[00:01:51.040 --> 00:01:55.320]  並且向他們兩個的家人
