
[00:00:00.000 --> 00:00:01.540]  丙姐妹晚安
[00:00:01.540 --> 00:00:07.100]  好,我們今天來講一個題目,叫做"自己人"
[00:00:07.100 --> 00:00:12.620]  我想問一下,在在有沒有當中是潮州人啊?
[00:00:12.620 --> 00:00:16.460]  嘿!兩個,自己的語言
[00:00:16.460 --> 00:00:17.880]  有沒有兩個?
[00:00:17.880 --> 00:00:20.860]  沒有啊?全部都沒有?
[00:00:20.860 --> 00:00:23.220]  只有潮州,外面有沒有?
[00:00:23.220 --> 00:00:24.840]  有沒有潮州人?有哦!
[00:00:24.840 --> 00:00:26.700]  有哦,大家先看一下潮州人
[00:00:26.700 --> 00:00:28.740]  哇,很多,外面潮州人
[00:00:28.740 --> 00:00:30.980]  咦,阿師長也是潮州人啊?
[00:00:30.980 --> 00:00:34.960]  嘿,我偷說這句潮州話,大家明不明白啊?
[00:00:34.960 --> 00:00:38.260]  "自己人,自己的語言"
[00:00:38.260 --> 00:00:41.560]  明白,後面我說什麼啊?
[00:00:41.560 --> 00:00:44.740]  對了,真正的潮州妹啊,你真是
[00:00:44.740 --> 00:00:47.340]  外面那些,聽不聽得懂啊?
[00:00:47.340 --> 00:00:48.780]  聽得懂啊?對了
[00:00:48.780 --> 00:00:52.740]  阿師長,你是不是這個地帶的?
[00:00:52.740 --> 00:00:55.020]  明白啊你?明白啊?哦,是是是
[00:00:55.020 --> 00:00:57.020]  現在再說一點,明不明白啊?
[00:00:57.020 --> 00:01:00.820]  潮州人,潮州人,要不要說潮州話,聽潮州話啊?
[00:01:00.820 --> 00:01:02.220]  懂一點點啊,對吧?
[00:01:02.220 --> 00:01:06.260]  我以前就是,我不是以前潮州人,我現在也是
[00:01:06.260 --> 00:01:07.940]  我爸爸是潮州人來的
[00:01:07.940 --> 00:01:10.980]  我爸爸那一代的潮州人,是怎麼來香港的呢?
[00:01:10.980 --> 00:01:13.740]  就不是透過這個入境處
[00:01:13.740 --> 00:01:16.820]  那200個每天的quota來香港
[00:01:16.820 --> 00:01:19.020]  他是游水下來的
[00:01:19.020 --> 00:01:21.380]  大家渡海一定是遊過啦
[00:01:21.380 --> 00:01:23.620]  我爸爸是揭陽,有沒有揭陽?
[00:01:23.620 --> 00:01:25.300]  有沒有揭陽的朋友?
