
[00:00:00.000 --> 00:00:02.000]  親愛的觀眾朋友,早安!
[00:00:02.000 --> 00:00:07.000]  我們今天看Eastlight第八章
[00:00:07.000 --> 00:00:10.000]  有一幅圖片給大家看看
[00:00:10.000 --> 00:00:13.000]  請看這幅圖片
[00:00:13.000 --> 00:00:18.000]  這就是青藏鐵路一段路
[00:00:18.000 --> 00:00:21.000]  大家有沒有去過青藏鐵路坐過?
[00:00:21.000 --> 00:00:24.000]  我一年左右坐過一次
[00:00:24.000 --> 00:00:32.000]  可以說是被世界稱為最高海拔路線最長的高原鐵路
[00:00:32.000 --> 00:00:35.000]  在五千零七十二米高
[00:00:35.000 --> 00:00:38.000]  即是三千多米已經有高原反應
[00:00:38.000 --> 00:00:43.000]  所以你坐車的時候就開始有高原反應
[00:00:43.000 --> 00:00:46.000]  那時的反應是頭痛、心跳
[00:00:46.000 --> 00:00:48.000]  我當時師母是比較厲害
[00:00:48.000 --> 00:00:54.000]  嘔吐、很不自然的情況
[00:00:54.000 --> 00:01:00.000]  但在這條青藏鐵路就不是這麼簡單
[00:01:00.000 --> 00:01:07.000]  總工程師說這段工程有幾樣東西是很大的挑戰難題
[00:01:07.000 --> 00:01:11.000]  第一是因為高原氧氣不是很高
[00:01:11.000 --> 00:01:18.000]  相比於地上來說空氣上只有40%的氧氣
[00:01:18.000 --> 00:01:20.000]  所以工程很辛苦
[00:01:20.000 --> 00:01:25.000]  所以要設立很多高壓氧倉、十七座製氧站
[00:01:25.000 --> 00:01:28.000]  讓人們有足夠的氧氣幫助
[00:01:28.000 --> 00:01:32.000]  另外他又發現在這過程中發生凍土
[00:01:32.000 --> 00:01:37.000]  文字說凍土的意思是夏天的時候泥土會全部淋掉
[00:01:37.000 --> 00:01:41.000]  那時候鐵路很危險
[00:01:41.000 --> 00:01:44.000]  他們要解決這個問題
[00:01:44.000 --> 00:01:47.000]  另外還有一個問題就是生態問題
[00:01:47.000 --> 00:01:51.000]  因為很多是很原始的地方
[00:01:51.000 --> 00:01:54.000]  有野生動物在裡面生活
[00:01:54.000 --> 00:01:56.000]  不能破壞這個環境
[00:01:56.000 --> 00:01:57.000]  因為有環保的觀念
[00:01:57.000 --> 00:02:00.000]  所以要避免很多這樣的情況
[00:02:00.000 --> 00:02:04.000]  甚至中途有些地方要讓動物可以走過鐵路
[00:02:04.000 --> 00:02:09.000]  不用跨過去,下面走過去,避免受損
[00:02:09.000 --> 00:02:13.000]  另外還有就是去到唐古拉山地區附近
[00:02:13.000 --> 00:02:15.000]  原來那裡有地震區
[00:02:15.000 --> 00:02:17.000]  那裡會出現地震
[00:02:17.000 --> 00:02:19.000]  地震會影響整條鐵路的運作
[00:02:19.000 --> 00:02:21.000]  於是要設立很多不同的
[00:02:21.000 --> 00:02:25.000]  十幾個、幾十個的自動地震監視儀器
[00:02:25.000 --> 00:02:28.000]  讓有些日後的防禦在裡面
[00:02:28.000 --> 00:02:32.000]  原來一件工程要完成已經不簡單
[00:02:32.000 --> 00:02:35.000]  因為過程裡面總有很多的問題出現
[00:02:35.000 --> 00:02:37.000]  很多的困難會呈現
[00:02:37.000 --> 00:02:39.000]  這些困難你是預先會知道
[00:02:39.000 --> 00:02:43.000]  但是這些困難你是做下去的時候才發現
[00:02:43.000 --> 00:02:44.000]  是不知道的
[00:02:44.000 --> 00:02:46.000]  去到那裡可能有些困難
[00:02:46.000 --> 00:02:48.000]  有些困難是怎樣呢?
[00:02:48.000 --> 00:02:52.000]  面對,迎難而上,克服它
[00:02:52.000 --> 00:02:53.000]  今天我相信弟兄姊妹
[00:02:53.000 --> 00:02:56.000]  我們都有時候有不同的工作上要承擔
[00:02:56.000 --> 00:02:59.000]  或者有時候有一個新的項目給你
[00:02:59.000 --> 00:03:01.000]  又或者有些特別的任務要交給你的時候
[00:03:01.000 --> 00:03:04.000]  你發覺都很多困難
[00:03:04.000 --> 00:03:07.000]  困難的問題不單止是預先看到
[00:03:07.000 --> 00:03:12.000]  甚至你發覺做著做著又有另外的問題出現的時候
[00:03:12.000 --> 00:03:15.000]  有時候都會有些什麼辛苦
[00:03:15.000 --> 00:03:18.000]  但是我們又需要去面對它
[00:03:18.000 --> 00:03:19.000]  不單止我們會遇到
[00:03:19.000 --> 00:03:24.000]  我們看那段聖經人物以斯拉記
[00:03:24.000 --> 00:03:26.000]  你看到以色列人要重建聖殿
[00:03:26.000 --> 00:03:28.000]  在一召第六章裡面已經告訴他
[00:03:28.000 --> 00:03:32.000]  起初容許他們建,後來就被人攻擊
[00:03:32.000 --> 00:03:33.000]  於是禁止再建
[00:03:33.000 --> 00:03:37.000]  又經過很多年之後又要重新挑釁那個心智
